Libellé de l'espace numérique;Adresse;Commune;Code postal;Code Insee;Téléphone;Fax;E mail;Site web;Contact 1;Contact 2;Fonction contact 1;Porteur;Statut;Latitude;Longitude
Point Cybercantal d'Aurillac;Médiathèque communautaire, Rue du 139ème Régiment d'Infanterie;AURILLAC;15000;15014;04 71 46 86 36;;mediatheque@agglo-aurillac.org;www.mediatheque.caba.fr/Ateliers_Multimedia-96-194-322.html;Nicolas BENARIAC;;;;;44.9246303;2.4430043
Point d'accès Saint-Christophe;Le Bourg;PLEAUX;15700;15153;04 71 40 41 18;;;;Nadia GASQUET;;;;;45.140882;2.253056
Cyber-Base;Maison Pour Tous - 1 Route de Coubon;BRIVES-CHARENSAC;43700;43041;04 71 02 45 69;04 71 09 46 29;laurie.cartal@wanadoo.fr;www.maisonpourtous-brives43.fr;Laurie MOURGUES;;Responsable;Maison Pour Tous;Association;45.045540614622;3.9254879951477
PRATIC Auvergne;16 Boulevard Bertrand;LE PUY EN VELAY;43000;43157;04 71 04 04 40;04 71 02 77 58;cmasclaux@auvergne.cci.fr;www.pratic.org;Cédric MASCLAUX;;Conseiller TIC (Technologies de l'Information et de la Communication);;Association;45.0361092;3.8840648
PRATIC Auvergne;14 Rue Jean Claret;CLERMONT FERRAND;63000;63113;04 73 15 06 10;;cfaure@auvergne.cci.fr;www.pratic.org/;Claire FAURE;;Directrice;;Association;45.767435445737;3.1327638425751
Ecole Victor Duruy;30 Rue Châteaudun;CLERMONT-FERRAND;63000;63113;04 73 91 56 93;;ecole-elem.v-duruy.clermont.63@ac-clermont.fr;www3.ac-clermont.fr/etabliss/ecole-victorduruy-clfd63/index.htm;Sidi AMMI;;Coordinateur du projet internet pour tous;Ville de Clermont-Ferrand;Association (Délégation de service public);45.780874920491;3.0995258688927
Centre Alphonse Daudet;Rue du moulin du Roy;GERZAT;63360;63164;04 73 25 00 14;;;;;;;;;45.8261581;3.15407809
Médiathèque de la Comté;Couvent des Dames;VIC LE COMTE;63270;63457;04 73 69 18 78;;media.comte@wanadoo.fr;;;;;;;45.644501;3.2427354
Espace Cyber-base Ysatis;Boulevard Jean-Moulin;YZEURE;3400;3321;04 70 34 05 67;;cyber-base@ville-yzeure.com;www.ville-yzeure.com/;Pierre AUZELLE;Brigitte BOUILLON;;;;46.553614;3.359056
Cyberespace de la FAL;Chalet des Galinottes, prairie des Sagnes;LAVEISSIERE;15300;15101;04 71 49 50 51;;chalet-des-galinottes@wanadoo.fr;www.galinottes.net/;Monsieur CARTIER;;;;;45.097889;2.784903
Bibliothèque de Valuéjols;Salle des Fêtes Valuéjols;VALUEJOLS;15300;15248;04 71 73 26 90;;;;Cécile BREGIROUD;;;;;45.054778;2.903948
Cyber-base d'Yssingeaux;La Grenette Place de la Victoire;YSSINGEAUX;43200;43268;04 71 65 79 22;;jpandraud@cyberbase.org;www.cyber-base.org;Jérémie PANTRAUD;;Annimateur et responsable de l'ENA (Ecole National d'Administration);Mairie d'Yssingeaux;Collectivité;45.143789053226;4.1244864463806
Ecole Anatole France;158 Rue Anatole France;CLERMONT-FERRAND;63000;63113;04 73 92 08 68;;msidiammi@ville-clermont-ferrand.fr;www.ville-clermont-ferrand.fr;Sidi AMMI;;Coordinateur du projet internet pour tous;Ville de Clermont-Ferrand;Association (Délégation de service public);45.778766732156;3.112006187439
Ecole Ferdinand Buisson;Rue Gustave Courbet;CLERMONT-FERRAND;63000;63113;04 73 24 84 15;;msidiammi@ville-clermont-ferrand.fr;www.ville-clermont-ferrand.fr;Sidi AMMI;;Coordinateur du projet internet pour tous;Ville de Clermont-Ferrand;Association (Délégation de service public);45.797531855175;3.1131568551064
Public Info;2, Rue tourette;CLERMONT-FERRAND;63100;63113;;;msidiammi@ville-clermont-ferrand.fr;www.ville-clermont-ferrand.fr;Sidi AMMI;;Coordinateur du projet internet pour tous;Ville de Clermont-Ferrand;Association (Délégation de service public);45.80006594048;3.1173519423279
Espace public numérique de Pont-du-Château;11, Rue de la poste;PONT DU CHATEAU;63430;63284;04 73 62 33 61;;;;;;;;Association (Délégation de service public);45.7980756;3.2496005
Point Information Jeunesse;Rue de l'Hôtel de Ville;COMMENTRY;3600;3082;04 70 09 28 36;;pijcommentry@wanadoo.fr;;Jean Louis GABY;;;;Collectivité;46.2890311;2.7411571
Salle Multimédia Trévol;2 Rue Four à Chaux;TREVOL;3460;3290;04 70 42 61 20;;;;Madame LAURENT;;;;;46.630226;3.303698
Maison des Services et du Tourisme;25, Avenue de la Gare;NEUSSARGUES-MOISSAC;15170;15141;;;;;;;;;;45.1252836;2.9751733
Point Cybercantal de Vic sur Cère;Collège Jean de la Fontaine, Rue des Vergnes;VIC SUR CERE;15800;15258;04 71 47 89 00;;;;Madame CLERGUE;;;;;44.971684;2.620242
Point Cyb;Place du châtelet;AMBERT;63600;63003;04 73 82 97 43;04 73 82 97 43;pointinfojeunes-ambert@orange.fr;www.pointinfojeunes-ambert.fr;Isabelle VIALLARD;;Chargée d'information;Bureau information jeunesse;Association;45.5502878;3.742061
EPN (Espace Public Numérique) Boissejour;Rue Frédéric Brunmurol;CEYRAT;63122;63070;06 79 05 61 58;;;;Nicolas LABORDE;;Animateur;;;45.73285;3.064486
Ecole Jean Jaurés;14 Rue Albert Mallet;CLERMONT-FERRAND;63000;63113;04 73 26 6002;;ecole-elem.j-jaures.clermont.63@ac-clermont.fr;www.perso.wanadoo.fr/ecole-jjaures.clfd63/;Sidi AMMI;;Coordinateur du projet internet pour tous;Ville de Clermont-Ferrand;Association (Délégation de service public);45.764454384967;3.0912244319916
Maison de quartier Saint-Jacques;Rue Baudelaire;CLERMONT-FERRAND;63000;63113;04 73 14 73 69;;mq.saint-jacques@ville-clermont-ferrand.fr;www.ville-clermont-ferrand.fr;Sidi AMMI;;Coordinateur du projet internet pour tous;Ville de Clermont-Ferrand;Association (Délégation de service public);45.759274;3.095022
Centre Social et Culturel Joseph Gaidier;A.R.A.S.C. 12 , Avenue de la Libération;RIOM;63200;63300;04 73 38 60 66;04 73 38 50 89;sophie@centregaidier.fr;http://www.centregaidier.fr;Olivier JUGE;;Directeur centres sociaux de Riom;;Association;45.8898811;3.1135233
