Nom;Descriptif;Type de pratique;Accompagnement;Accès;Usage spécifique;Public;Précisions sur le public;Tarif;Equipements et matériels;Lundi;Mardi;Mercredi;Jeudi;Vendredi;Samedi;Dimanche;Précisions sur les horaires;Adresse;Code postal;Ville;Téléphone 1;Téléphone 2;Mail;Web;Accès transports en commun;Label;Géolocalisation
UFUT44;Une Famille Un Toit 44 a pour objet principal de participer à la lutte contre l’exclusion, avec le concours des divers acteurs concernés, par une action sociale et humanitaire favorisant l’insertion par le logement, l’emploi et l’accès à la citoyenneté des personnes et des familles en difficultés. Depuis 2015, l’association développe le projet J’apprends le français et organise des stages de français visant l’accès à l’emploi et  l’accès à l’outil numérique pour une meilleure insertion en France des personnes ne parlant pas le français.;- Accéder à Internet- Être accompagné dans ses démarches administratives- Être initié aux outils informatiques- Être accompagné dans mon projet professionnel- Être sensibilisé aux risques d’Internet,- Pratiquer une activité ludique et éducative.;permanence connectée et stages de français numérique (découverte de l’ordinateur, création et gestion boîte mail, recherche emploi et logement sur Internet, création de document (CV), outils de rédaction et de traduction, utilisation d’une clé USB);sur inscription;;personnes en situation de précarité ne parlant pas le français;;gratuit;ordinateurs portables, imprimante, scanner, vidéoprojecteur, enceintes, clés USB;13h30-17h00;9h00-12h30 / 13h30-17h00;;;;;;;Maison de quartier de la Bottière, 147 route de Sainte-Luce,;44300;Nantes;09 72 31 44 13;;contact@unefamilleuntoit44.org;http://www.unefamilleuntoit44.org;Tramway 1 arrêt Souillarderie, Bus ligne 11 arrêt Bois Robillard;;47.235883,-1.518898
Fragil;Média culturel et social produit dans la métropole nantaise dans le style Do It Yourself à l’origine , Fragil accompagne également aujourd’hui des projets d’éducation aux médias et aux pratiques numériques à dimension régionale.Débutant ou aguerri, étudiant ou actif, Fragil propose un espace convivial et ouvert à tous, afin de développer des projets grâce à un collectif de bénévoles et de professionnels.;- Être initié aux outils numériques- Être accompagné dans son projet personnel ou professionnel- Pratiquer une activité ludique et éducative- Être sensibilisé aux risques d'Internet;- Assistance et conseil sur place- atelier : la maîtrise de son empreinte numérique, l’utilisation des réseaux sociaux , la recherche d'emploi sur le web , le décryptage de la culture numérique, la photo, la réalisation de capsules sonores ou vidéo, l’utilisation de son smartphone en reportage;sur inscription;;pour tous;à partir de 18 ans;payant (adhésion annuelle : de 31 à 90€ - tarif selon statut);ordinateurs équipés d’accès Internet, de logiciels bureautiques et de logiciels de graphisme, matériel de reportage (appareil photo, enregistreur, …);;;;;;;;Horaires variables en fonction des ateliers;La Fabrique Dervallières - 19 rue Jean Marc Nattier;44100;Nantes;02 40 86 37 03;;educationauxmedias@fragil.org;http://www.fragil.org/;Chronobus C3 (arrêt Delacroix);;47.225014,-1.591085
CPAM Beaulieu;La Caisse Primaire d’Assurance Maladie a aménagé des espaces libre-service dans ses points d'accueil pour permettre d'effectuer soi-même ses démarches les plus courantes. Animés par les agents d'accueil, ces espaces offrent la possibilité de mettre à jour sa carte Vitale, commander une Carte Européenne d'Assurance Maladie, imprimer ses attestations de droits ou de paiement d'indemnités journalières en utilisant les outils en libre-accès (borne multi-services ou ordinateur avec accès internet) reliés à une imprimante. Pour les dossiers complexes nécessitant une étude approfondie ainsi que pour les dossiers CMU ressources, un rendez-vous est proposé.;- Accéder à Internet- Être accompagné dans mes démarches administratives;Assistance et conseil sur place;libre;;pour tous;;gratuit;"Borne multi-services située à l'extérieur accessible 24h/24 et 7j/7 ; Ordinateur en libre-service avec accès Internet aux sites ameli.fr, caf.fr, pole-emploi.fr et carsat.fr, imprimante";8h30-12h15 / 13h30-17h00;8h30-12h15 / 13h30-17h00;8h30-12h15 / 13h30-17h00;8h30-12h15 / 13h30-17h00;8h30-12h15 / 13h30-17h00;;;;9 rue Gaëtan Rondeau;44200;Nantes;3646.0;;;http://www.ameli.fr/;Chronobus C5 (arrêt Conservatoire);;47.206557,-1.534359
Marie et Alphonse;L’atelier marie et alphonse, c’est une équipe de professionnels de l'image et du son qui a uni ses compétences au service de l’expérimentation des formes et des tendances. Le collectif a à coeur de favoriser le numérique dans ses projets, initier et encourager le jeune public dans ses pratiques et faciliter l'expression participative locale par le biais de le vidéo et du web.;- Pratiquer une activité ludique et éducative;Ateliers : vidéo, montage;sur inscription;;pour les jeunes de 10 à 14 ans;;payant (adhésion annuelle : de 31 à 90€) + prix des atelier;ordinateurs, caméra, stations de montage;;;;;;;;Horaires variables en fonction des atelier;Pole associatif des Hauts-Pavés - 42 Rue des Hauts Pavés;44000;Nantes;06 07 96 54 50;;info@letoilerie.comVirginie.lefebvre@marie-et-alphonse.com.;http://www.letoilerie.com/http://marie-et-alphonse.com/;L3 (arrêt Poitou);;47.224319,-1.564698
ID Numéric;Dans un esprit de partage et grâce à l'utilisation de méthodes pédagogiques actives, l'association ID Numéric favorise l'autonomie numérique dans tous les champs de la vie quotidienne. Le collectif propose des interventions (ateliers et formations) individuelles ou en petits groupes, en réponse aux attentes des habitants, des associations et de toutes personnes en besoin d’accompagnement.;- Accéder à l'Internet- Être initié aux outils numériques- Être accompagné dans mes démarches administratives- Être accompagné dans son projet personnel ou professionnel- Être sensibilisé aux risques d'Internet- Pratiquer une activité ludique et éducative;- Assistance et conseil sur place- Ateliers : alphabétisation numérique, être initié à l'ordinateur et aux outils bureautique, apprendre à taper du texte, écrire un courrier. Découvrir et connaître les bases du tableur. Accès  « internet  accompagné », aide et soutien dans les recherches et collectes d’informations ( vie quotidienne, accès au droit, accès à l'emploi, formation, ldémarches administratives, accès aux ressources locales …). Mails, création gestion et  aide à la rédaction de courrier types mails. Réseaux sociaux (prévention, accompagnement). Expéditions numériques », expérimenter la photo numérique sur différents supports (tablette, téléphone, appareil photo numérique) en partant à la découverte de Nantes et ses environs.- Ateliers périscolaires :  pratiques éducatives, ludiques et créatives des outils et usages numériques;libre, information  tous les 1er lundis du mois  (hors vacances scolaires) et les jeudis matins de 10h à 12h ou par téléphone;;pour tous;grands débutants;Adhésion, cotisation annuelle : de 0 à 15€. Ateliers tarifs adaptés en fonction des revenus (demandeur d'emploi, faible revenu). Formations professionnelles (études des besoins, salariés associations, demandeurs d'emplois).;salle numérique équipée d'ordinateurs, logiciels libres bureautiques, accès Internet (connexion Wifi). Matériels en prêts;;;;;;;;Libre, information  tous les 1er lundis du mois  (hors vacances scolaires) et les jeudis matins de 10h à 12h ou par téléphone;Maison des habitants et du citoyen - 1 place des Lauriers;44100;Nantes;07 51 67 30 75;;idnumeric.asso@gmail,com;http://www.idnumeric.fr/;Tramway L1 (arrêt Lauriers);;47.204709,-1.605251
Bibliothèque de la Manufacture;Ouvertes à tous, les bibliothèques municipales sont présentes dans les différents quartiers de la Ville de Nantes. Elles proposent un large catalogue de documents accessibles en ligne ainsi que des ordinateurs pour la consultation d'Internet dont certains disposent également de logiciels de bureautique.;Accéder à Internet;Assistance et conseil sur place;libre;;pour tous;;gratuit;ordinateurs équipés d’accès Internet et de logiciels bureautiques, photocopieur, imprimante, Wifi;;13h30-18h00;10h30-12h00 / 13h30-18h00;13h30-18h00;13h30-19h00;10h00-12h00 / 13h30-17h00;;;6 cour Jules Durand;44000;Nantes;02 40 41 95 65;;bm-est@mairie-nantes.fr;https://bm.nantes.fr;Tramway L1 et L12 (arrêt Manufacture);;47.219841,-1.536477
Plateforme Intermédia;La Plateforme Intermédia est une proposition artistique et culturelle d’APO33 à la Fabrique île de Nantes. L’objectif de ce lieu est de mettre en avant les modes de pratique actuelle, contemporaine croisant art, musique, technologie, philosophie, social et les liens qui existent entre ces disciplines. Avec la plateforme intermédia, APO33 créé un espace qui permet de rendre visible les genres de la création “intermédia”, d’inviter le grand public à découvrir des projets qui reflètent les innovations du quotidien et leurs importances dans la transformation de notre société.;Pratiquer une activité ludique et éducative;- Assistance et conseil sur place- Ateliers : Musique électronique et création numérique sonore;sur inscription;;pour tous;;atelier payant (de 31 à 90€);systéme informatique pour la création numérique – Apo33, imprimante 3D, caméra, enregistreur sonore, système amplification, vidéoprojecteur, station montage électronique, Fablab, bricolage, arduino, raspberry pi, Wifi;;;;;;;;Horaires variables en fonction des atelier;4 boulevard Léon Bureau;44200;Nantes;02 51 89 47 16;;orga@apo33.org;http://apo33.org/index.php/fr/;Tramway L1 (arrêt Chantiers Navals);;47.206011,-1.563948
FAImaison;"FAImaison promeut le développement d'un internet respectueux des droits et libertés et est à ce titre fournisseur d'accès à Internet (FAI). Le respect des droits sur internet étant conditionné par de nombreuses caractéristiques techniques (réseau, matériel, logiciels), l'association encourage sa réappropriation citoyenne à travers : la défense de la neutralité du réseau, indispensable à la liberté d'expression et à la vie privée ; la décentralisation humaine et technique pour réduire la contrôlabilité et démocratiser le savoir et l'accès au réseau ; le placement de l'utilisateur comme administrateur éclairé du réseau ; la promotion du logiciel libre pour que l'utilisateur ne soit pas captif d'une technologie.";- Accéder à Internet- Être sensibilisé aux risques d'Internet;- Assistance et conseil sur place- Ateliers et temps d’échange : fabrication d'accès à Internet, neutralité du réseau, protection de la vie privée.;- libre;;pour tous;;gratuit;Wifi;;;;19h00-22h00;;;;;Local associatif autogéré B17 - 17 rue Paul Bellamy -;44000;Nantes;07 82 32 42 38;;contact@faimaison.net;https://www.faimaison.net/;Chronobus C1 (arrêt Bel Air);;47.221887,-1.556405
Centre Socioculturel Accoord - Malakoff Pré Gauchet;L’Accoord a pour objectif de développer l’action éducative, sociale et culturelle pendant le temps libre à Nantes. L’association propose une offre de services autour de l'animation sociale, le développement culturel et les loisirs socio-éducatifs. Des espaces multimédias sont ouverts pour découvrir, utiliser et être aidé dans la pratique du multimédia. Le centre socioculturel Accoord Malakoff Pré Gauchet propose également un accompagnement à l’appropriation des usages numériques pour des projets personnels et professionnels.;- Accéder à Internet- Être initié aux outils numériques- Être sensibilisé aux risques d'Internet- Être accompagné dans mes démarches administratives- Pratiquer une activité ludique et éducative;- Assistance et conseil sur place- Ateliers : la découverte informatique et multimédia, Internet, la bureautique, la vidéo, la photo, les  jeux en réseau, la vidéo conférence, l’accompagnement de projets (création blog) et le dépannage.;sur inscription;;pour tous;;payant (adhésion annuelle : de 0 à 15€);ordinateurs équipés d’accès Internet, de logiciels bureautiques, de logiciel de retouche d'images et de logiciels de jeux, imprimante;10h00-12h00 / 16h30-18h00;16h30-18h00;10h00-12h00 / 14h00-16h30;16h30-18h00;;;;;1 bis boulevard de Berlin;44000;Nantes;02 40 47 70 53;;cyberaccoordmalakoff@gmail.com;http://csc-malakoff.blogspot.fr/;Chronobus C3 – C5 (arrêt Haubans);Label  NetPublic;47.213809,-1.529764
Centre Communal d'Action Social (CCAS);Rendre le numérique accessible à tous, notamment aux personnes les plus fragiles, en situation de précarité sociale, constitue l’une des orientations du Centre communal d’action sociale (CCAS). Engagé dans l’accompagnement de celles et ceux qui ont besoin d'être guidés dans l’usage du numérique, il développe  des actions de médiation et des ateliers pour faciliter l’accès des Nantais fragilisés aux outils numériques.;- Accéder à Internet - Être initié aux outils informatiques- Être accompagné dans mes démarches administratives;- Assistance et conseil sur place (créer son compte de messagerie, e-demarches ...)- atelier hebdomadaire (mardi matin) animé par la fondation de l’entreprise Orange - Orange Solidarité : découverte de l’ordinateur, navigation Internet, messagerie, les bases du traitement de texte, accéder et sauvegarder ses documents- Animations (mardi après-midi de novembre à fin mai) par l’association Unis-Cité pour faire découvrir des sites utiles dans la vie quotidienne;libre;Présentation à l’accueil. Pour les ateliers : inscription à l’accueil.;pour tous;;gratuit;ordinateurs équipés d’accès Internet et de logiciels bureautiques, photocopieur, imprimante, scanner, Wifi;10h00-16h30;10h00-16h30;10h00-16h30;10h00-16h30;10h00-16h30;10h00-16h30;;;1 bis place Saint Similien;44000;Nantes;02 40 99 27 00;;;http://www.nantes.fr/ccas;Tramway L3 (arrêt Bretagne), Tramway L2 (arrêt 50 otages), Chronobus C2 et L12 (arrêt Cirque-Marais);;47.220014,-1.55843
Dclic;Géré par un collectif de 5 associations (L.I.R.E, CSF, ALD, Espaces Formation, les 2 Rives), le pôle informatique Dclic des Dervallières est le lieu labellisé Espace Régional Numérique, sur Nantes, pour découvrir les Technologies de l'Information et de la Communication et les rendre accessibles à tous.;- Accéder à Internet- Être initié aux outils numériques- Être sensibilisé aux risques d'Internet- Être accompagné dans mes démarches administratives- Pratiquer une activité ludique et éducative;- Assistance et conseil sur place- atelier : l’initiation à l'informatique, la création de support de communication, le montage vidéo, la musique assistée par ordinateur, la création de blogs ou de sites web.- atelier d’initiation individuel - Fab Lab (atelier de création);libre (sous condition d’adhésion);;pour tous;;payant (adhésion annuelle : de 31 à 90€ - tarif en fonction de l’âge);ordinateurs équipés d’accès Internet et de logiciels bureautiques, imprimantes, scanner, photocopieur, Wifi;;;16h00-18h00;;14h00-16h00;;;;Pôle associatif de la Palmeraie - 19 rue Auguste Renoir;44100;Nantes;02 40 43 79 47;;dclic.dervallieres@wanadoo.fr;;Chronobus C3 (arrêt Prière), C6 (arrêt St Laurent);Label  NetPublic;47.224053,-1.596408
Centre Socioculturel Accoord - Breil Malville;L’Accoord a pour objectif de développer l’action éducative, sociale et culturelle pendant le temps libre à Nantes. L’association propose une offre de services autour de l'animation sociale, le développement culturel et les loisirs socio-éducatifs. Des espaces multimédias sont ouverts pour découvrir, utiliser et être aidé dans la pratique du multimédia. Le centre socioculturel Accoord Breil Malville propose également un accompagnement à l’appropriation des usages numériques pour des projets personnels et professionnels.;- Accéder à Internet- Être initié aux outils numériques- Pratiquer une activité ludique et éducative;- Assistance et conseil sur place- Ateliers : Internet, la bureautique, les logiciels libres, la vidéo et la photo;sur inscription;;pour tous;;payant (adhésion annuelle : de 0 à 15€);ordinateurs équipés d’accès Internet et de logiciels bureautiques, imprimantes, scanner, Wifi;14h00-17h00;14h00-18h00;9h30-12h / 14h00-17h30;14h00-18h00;9h30-12h / 14h00-18h00;14h00-17h00;;;Maison de quartier du Breil – 52 rue du Breil;44100;Nantes;02 40 76 08 54;;cyber.breil@accoord.fr;https://www.accoord.fr/https://mqbreil.wordpress.com/;L54 (arrêt Petit Carcouët);;47.229525,-1.586315
Bibliothèque de la Halvêque;Ouvertes à tous, les bibliothèques municipales sont présentes dans les différents quartiers de la Ville de Nantes. Elles proposent un large catalogue de documents accessibles en ligne ainsi que des ordinateurs pour la consultation d'Internet dont certains disposent également de logiciels de bureautique.;Accéder à Internet;Assistance et conseil sur place;libre;;pour tous;;gratuit;ordinateurs équipés d’accès Internet et de logiciels bureautiques, photocopieur, imprimante.;;13h30-19h00;10h00-12h00 / 13h30-18h00;13h30-18h00;13h30-18h00;10h00-12h00 / 13h30-17h00;;;23 rue Léon Serpollet;44300;Nantes;02 40 41 53 47;;bm-nord@mairie-nantes.fr;https://bm.nantes.fr;Tramway L1 et L95 (arrêt Halvêque) - L77 (arrêt Malraux);;47.255569,-1.521628
ORPAN;Lieu d’accueil et d’information, l’ORPAN, l’association des seniors nantais est un acteur d’innovation et de structuration d’offres autour des besoins et des attentes des retraités et des personnes âgées. Dans le cadre de ses missions, l’association propose des ateliers d’initiation à l'informatique, à l’utilisation d’outils numériques et à la manipulation au matériel pour les usages du quotidien.;- Être initié aux outils numériques;- Assistance et conseil sur place à partir des applications numériques développées par l’association (inscription et paiement en ligne, création d’un compte utilisateur, création d’une page Facebook...)- Ateliers : initiation à l'informatique et à l’utilisation d’outils numériques, sensibilisation-manipulation au matériel (tablette, smartphone) dans les usages du quotidien;sur inscription;;seniors et retraités;;assistance et conseil gratuits - atelier payant;il est nécessaire de venir avec son propre équipement (smartphone, tablette, ordinateurs portables, etc.). Wifi sur place.;;;;;;;;Horaires variables en fonction des ateliers;6 place du Port Communeau;44000;Nantes;02 40 99 26 00;;contact@orpan.fr;https://www.orpan.fr/;Tram L1, Chronobus C2, L12 et L23  (arrêt 50 otages);;47.219968,-1.554694
La Bagagerie - Fouré (Association Saint Benoît Labre);L’association Saint Benoît Labre lutte contre l’exclusion des personnes en difficultés sociales et professionnelles et vient en aide aux personnes et familles en précarité. Dans ce cadre, l’association met à disposition des usagers de l’association des espaces informatiques dans ses centres d’hébergement. Ces lieux d’activité informatique permettent de s’initier à l’informatique, d’utiliser Internet, de créer un CV, d’échanger avec ses proches par mail, de se détendre, de se cultiver et de se former à la bureautique.;Accéder à Internet- Être initié aux outils informatiques- Être accompagné dans mon projet personnel ou professionnel;;Adhérents  à la Bagagerie;;personnes en situation de précarité;;gratuit;ordinateurs équipés d’accès Internet et de logiciels bureautiques,;14h00-16h00;14h00-16h00;14h00-16h00;14h00-16h00;14h00-16h00;;;;14 rue Fouré;44000;Nantes;;;;http://asbl44.com/;Busway L4 (arrêt Cité Internationale des Congrès);;47.213387,-1.546493
Centre Socioculturel Accoord - Bellevue Jamet - SPIJ;L’Accoord a pour objectif de développer l’action éducative, sociale et culturelle pendant le temps libre à Nantes. L’association propose une offre de services autour de l'animation sociale, le développement culturel et les loisirs socio-éducatifs.  Des espaces multimédias sont ouverts pour découvrir, utiliser et être aidé dans la pratique du multimédia. Des formations et des ateliers y sont également proposés régulièrement.;- Accéder à Internet- Être accompagné dans mon projet personnel ou professionnel;- Assistance et conseil sur place- Accompagnement à la demande pour la recherche d'emploi (CV, lettre de motivation, …);sur inscription;;pour les jeunes de 16 à 25 ans;;payant (adhésion annuelle : de 0 à 15€);Équipement & matériel : ordinateurs équipés d’accès Internet et de logiciels bureautiques, imprimante, scanner;14h00-18h00;16h00-19h00;14h00-18h00;16h00-19h00;16h00-19h00;;;;25 rue du Jamet;44100;Nantes;02 40 46 83 35;;bellevue.spij@accoord.fr;https://www.accoord.fr/;Tramway L1 (arrêt Jamet);;47.207487,-1.605184
Regart's;Le but de l’association Regart's est d’offrir à tous les publics un appui pour leur vie quotidienne, leur estime de soi et leurs démarches de loisirs pour construire une société plus digne, plus juste et plus solidaire. Dans le cadre de ses missions, l’association propose des ateliers d’initiation à l'informatique pour les usages du quotidien.;- Être initié aux outils informatiques;- Assistance et conseil sur place- Ateliers : initiation à l'outil informatique;sur inscription;;pour tous;;payant (adhésion annuelle : de 31 à 90€) + prix des ateliers;ordinateurs équipés d’accès Internet et de logiciels bureautiques;;;;;9h30-11h00;;;;5 rue du Gers;44100;Nantes;02 40 85 63 27;;a.associationregarts@sfr.fr;http://www.associationregartsnantes.org/;Tramway L1 (arrêt Lauriers);;47.205029,-1.604768
Bibliothèque Chantenay;Ouvertes à tous, les bibliothèques municipales sont présentes dans les différents quartiers de la Ville de Nantes. Elles proposent un large catalogue de documents accessibles en ligne ainsi que des ordinateurs pour la consultation d'Internet dont certains disposent également de logiciels de bureautique.;Accéder à Internet;Assistance et conseil sur place;libre;;pour tous;;gratuit;ordinateurs équipés d’accès Internet et de logiciels bureautiques;;13h30-18h00;10h00-12h00 / 13h30-18h00;13h30-18h00;13h30-19h00;10h00-12h00 / 13h30-17h00;;;8 rue de la Constitution;44100;Nantes;02 40 46 26 96;;bm-ouest@mairie-nantes.fr;https://bm.nantes.fr;Tramway L1 (arrêt Égalité) - L10 (arrêt Mairie de Chantenay) - L11 (arrêt Marseillaise);;47.206046,-1.589223
Maison de l'emploi - Site Nantes Nord;La Maison de l'emploi de la métropole nantaise propose aux demandeurs d'emploi, aux salariés, aux entreprises et aux créateurs potentiels, l’accès à des cyberbases animées par des professionnels.  Des initiations à l'outil informatique sont organisées régulièrement pour vous aider dans votre recherche d'emploi : manipuler la souris et apprendre le clavier, prendre en main un ordinateur, réaliser son CV avec   un logiciel de traitement de texte, créer et gérer sa boîte e-mail, rechercher un emploi avec Internet...;- Accéder à Internet (pour la recherche d’emploi)- Être initié aux outils numériques;- Assistance et conseil sur place- Atelier d'initiation à l’outil informatique et ateliers liés à la recherche d'emploi.;libre;la recherche d'emploi, de formation et de création d'entreprise;pour tous;particulièrement les demandeurs d'emploi, les salariés et les créateurs d'entreprise;gratuit;ordinateurs avec accès Internet et bureautique, photocopieur, scanner, imprimante;;;;;;;;Horaires variables en fonction des ateliers;81 rue des Renards;44300;Nantes;02 40 59 98 43;;espace.nantes.nord@me-metropole-nantaise.org;http://www.me-metropole-nantaise.org/;Tramway L2 et L96 (arrêt Santos Dumont);Label  NetPublic;47.254779,-1.565662
Les Petits Débrouillards;Pour rendre visibles des concepts ou des notions parfois abstraits à tous les publics, et plus particulièrement des enfants et des jeunes, le mouvement des Petits Débrouillards favorise la découverte de toutes les sciences et technologies, à partir de l’expérimentation ludique et concrète. Avec pour objectif de donner à chacun et chacune accès aux technologies numériques au service de la citoyenneté et du savoir partagé.;Pratiquer une activité ludique et éducative;atelier à caractère scientifique;;;pour les enfants de 6 à 12 ans;;payant (adhésion annuelle : de 31 à 90€);;;;;;;;;Horaires et lieux variables en fonction des ateliers;19 rue Jean Marc Nattier;44100;Nantes;02 40 46 59 54;;j.hegic@lespetitsdebrouillards.org;https://www.lespetitsdebrouillards-paysdelaloire.org/;Chronobus C3 (arrêt Delacroix);;47.225014,-1.591085
Maison de l'emploi - Site Nantes Centre;La Maison de l'emploi de la métropole nantaise propose aux demandeurs d'emploi, aux salariés, aux entreprises et aux créateurs potentiels, l’accès à des cyberbases animées par des professionnels.  Des initiations à l'outil informatique sont organisées régulièrement pour vous aider dans votre recherche d'emploi : manipuler la souris et apprendre le clavier, prendre en main un ordinateur, réaliser son CV avec   un logiciel de traitement de texte, créer et gérer sa boîte e-mail, rechercher un emploi avec Internet…;- Accéder à Internet (pour la recherche d’emploi)- Être initié aux outils numériques;- Assistance et conseil sur place- Atelier d'initiation à l’outil informatique et ateliers liés à la recherche d'emploi.;libre;la recherche d'emploi, de formation et de création d'entreprise;pour tous;particulièrement les demandeurs d'emploi, les salariés et les créateurs d'entreprise;gratuit;ordinateurs avec accès Internet et bureautique, photocopieur, scanner, imprimante;8h30-12h30 / 15h30-16h30;8h30-12h30;8h30-12h30 / 15h30-16h30;13h30-16h30;8h30-12h30 / 15h30-16h30;;;;5 rue de l'Ile Mabon;44200;Nantes;02 40 69 36 36;;espace.centre@me-metropole-nantaise.org;http://www.me-metropole-nantaise.org/;Chronobus C5 (arrêt Gare de l'Etat) / L26 (arrêt République);Label  NetPublic;47.207532,-1.559309
Bibliothèque Breil Malville;Ouvertes à tous, les bibliothèques municipales sont présentes dans les différents quartiers de la Ville de Nantes. Elles proposent un large catalogue de documents accessibles en ligne ainsi que des ordinateurs pour la consultation d'Internet dont certains disposent également de logiciels de bureautique.;Accéder à Internet;Assistance et conseil sur place;libre;;pour tous;;gratuit;ordinateurs équipés d’accès Internet et de logiciels bureautiques, photocopieur.;;13h30-19h00;10h00-12h00 / 13h30-18h00;13H30-18h00;13h30-18h00;10h00-12h00 / 13h30-17h00;;;37 bis avenue des Plantes;44100;Nantes;02 40 76 06 56;;bm-ouest@mairie-nantes.fr;https://bm.nantes.fr;Tramway L3 (arrêt Longchamp);;47.232606,-1.587051
Maison de l'emploi - Site Bellevue;La Maison de l'emploi de la métropole nantaise propose aux demandeurs d'emploi, aux salariés, aux entreprises et aux créateurs potentiels, l’accès à des cyberbases animées par des professionnels.  Des initiations à l'outil informatique sont organisées régulièrement pour vous aider dans votre recherche d'emploi : manipuler la souris et apprendre le clavier, prendre en main un ordinateur, réaliser son CV avec   un logiciel de traitement de texte, créer et gérer sa boîte e-mail, rechercher un emploi avec Internet…;- Accéder à Internet (pour la recherche d’emploi)- Être initié aux outils numériques;- Assistance et conseil sur place- Atelier d'initiation à l’outil informatique et ateliers liés à la recherche d'emploi.;libre;;pour tous;particulièrement les demandeurs d'emploi, les salariés et les créateurs d'entreprise;gratuit;ordinateurs équipés d’accès Internet et de logiciels bureautiques, photocopieur, scanner, imprimante, appareil photo;8h30-12h30;11h00-12h30 / 13h30-16h30;11h00-12h30 / 13h30-16h30;13h30-16h30;8h30-12h30 / 13h30-16h30;;;;46 boulevard Jean Moulin;44100;Nantes;02 51 80 41 51;;espace.bellevue@me-metropole-nantaise.org;http://www.me-metropole-nantaise.org/;Tramway L1 et L11 (arrêt Jean Moulin);Label  NetPublic;47.205752,-1.601586
AGENCE CONSEIL FORMATION AFPA;L’Agence Conseil Formation AFPA est un accueil de proximité pour vous conseiller dans votre orientation et projet professionnel, pour vous aider à construire un parcours de formation et à identifier les solutions et les financements possibles. Un appui ponctuel à la recherche d’emploi est également possible (rédaction de CV, lettre de motivation, s’entraîner à un entretien). Cette agence est aussi un relai vers le centre de formation pour adultes situé à St Herblain où nous formons dans tous secteurs d’activités confondus : industrie, bâtiment et tertiaire.;-  Accéder à Internet-  Être accompagné dans mon projet personnel ou professionnel,;- Assistance et conseil sur place : oui - Atelier : oui  – les financements de formation, l’orientation professionnelle (offre de service en évolution);libre sur les horaires de permanences;possibilité également sur inscription en envoyant un e-mail ou en appelant;être âgé de 18 ans minimum;;gratuit;1 PC sur place disponible;;9h00-12h30 / 13h30-17h00;;;9h00-12h30;;;ouvert occasionnellement le vendredi après-midi, prendre contact au préalable;60, boulevard Winston Churchill;44100;Nantes;02 51 36 50 06;;bellevueconseilformation@afpa.fr;;Arrêt Mendès France Bellevue (tramway ligne 1 et bus n° 23, 40, 59, 81, 91).;;47.209193,-1.610732
Restaurant Pierre Landais;Le restaurant social Pierre Landais est un établissement municipal situé au cœur de l'île de Nantes Il permet de déjeuner, parler à un travailleur social, renouer du lien, trouver des ressources ou simplement se poser, participer aux activités et aux animations. Dans ce cadre, l’organisme propose des ateliers d’initiation à l'informatique et un accompagnement pour effectuer ses démarches administratives en ligne.;- Accéder à Internet- Être initié aux outils numériques- Être accompagné dans mes démarches administratives;- Assistance et conseil sur place- Ateliers : Initiation aux outils informatiques, accompagnement dans ses démarches administratifs;libre;;personnes isolées en situation de précarité;;gratuit;ordinateurs équipés d’accès Internet et de logiciels bureautiques, Wifi;12h00-17h00;12h00-17h00;12h00-17h00;12h00-17h00;12h00-17h00;12h00-17h00;;;16 rue Pierre Landais;44200;Nantes;02 40 47 12 61;;;https://www.nantes.fr/restaurant-pierre-landais;Chronobus C5 (arrêt Gare de l’État);;47.205498,-1.559233
Jeunesse Nantaise en Action;Accompagner, informer, orienter, soutenir les jeunes avec des parcours variés : étudiants, salariés, sans emplois de 15-30 ans dans leurs parcours citoyen aussi bien individuel que collectif.L'association assure le suivi de jeunes éloignés des structures institutionnelles et les accompagne.Nous informons, orientons les jeunes vers les partenaires adéquats au vu de leur recherches  insertion, mobilité, accès aux droits ...;- Accéder à Internet- Être accompagné dans mes démarches administratives- Être accompagné dans son projet personnel ou professionnel;Assistance et conseil sur place;libre;;pour les jeunes;de 15 à 30 ans;gratuit;ordinateurs équipés d’accès Internet et de logiciels bureautiques, photocopieur;18h00-22h00;;18h00-22h00;;18h00-22h00;;;;Maison des habitants et du citoyen - 1 place des Lauriers;44100;Nantes;06 62 39 71 91;;jeunesse.nantaise.en.action@outlook.fr;https://www.facebook.com/pages/JNA-Jeunesse-Nantaise-en-Action/509654235882982?pnref=lhc;Tramway L1 (arrêt Lauriers);;47.204709,-1.605251
