65;43,449657;-0,112232;En cours ;non;Accès libre, accompagnement vers l'autonomie et médiation numérique ;Espace Numérique de Lembeye;Place Marcadieu |64350 Lembeye|Tél.  05 59 68 16 51|Mail. cyberbaselembeye64@gmail.com|**Horaires d'ouverture :**|Lundi : 9h-12h30|Mercredi : 9h-12h30 et 14h-17h30|Jeudi : 9h-12h30|**Actions proposées :**|- Accès (équipement et connexion)|- Assistance (faire avec)|- Formation (apprendre à faire) : découverte ordinateur et Internet, messagerie électronique, démarches administratives...|**Publics :**|Tous publics|;Espace Public Numérique;;64350;LEMBEYE;|Lundi : 9h-12h30|Mercredi : 9h-12h30 et 14h-17h30|Jeudi : 9h-12h30|;- Accès (équipement et connexion)|- Assistance (faire avec)|- Formation (apprendre à faire) : découverte ordinateur et Internet, messagerie électronique, démarches administratives...|;Tout public;;;cyberbaselembeye64@gmail.com|;.  05 59 68 16 51|;;;oui;;oui;
35;43,162352;-0,496273;En cours;oui;Médiation numérique itinérante;Le Fourgon Connecté;Lasarte Marc-Antoine|2, Avenue des Fontaines|64680 OGEU LES BAINS|Tél. 07 82 21 89 18|Site web.[[http://www.BlueConfig.fr]]|**Actions proposées :**|- Médiation (apprendre à faire)|**Lieu des ateliers :**|Mise en place en cours pour 2019;Indépendant;;64680;OGEU LES BAINS;;- Médiation (apprendre à faire)|;;;;;. 07 82 21 89 18|;http://www.BlueConfig.fr];;;oui;oui;
2;43,500305;-1,491427;En cours;non;Opérateurs de services publics;CARSAT;68 Allées Marines|64100 Bayonne;CARSAT;68 Allées Marines|;64100;BAYONNE;;;;;;;;;;;;;
53;43,162352;-0,496273;En cours;oui;Médiation numérique itinérante;BLUECONFIG Informatique;2 Avenue des Fontaines|64680 Ogeu-les-Bains|Tél. 07 82 21 89 18|Mél. m.lasarte@blueconfig.fr|site web : [[https://www.blueconfig.fr]]|**Horaires d'ouverture :**|Du lundi au vendredi : 9h-21h |Le samedi 9h-18h|**Actions proposées :**|- Dépannage Informatique|- Vente & Recyclage|- Conseil & Formation |**Public :**|Tous publics;Indépendant;2 Avenue des Fontaines|;64680;OGEU-LES-BAINS;|Du lundi au vendredi : 9h-21h |Le samedi 9h-18h|;- Dépannage Informatique|- Vente & Recyclage|- Conseil & Formation |;;;;;. 07 82 21 89 18|;https://www.blueconfig.fr];;;oui;oui;
12;43,492015;-0,779306;En cours ;non;Services DDFIP64;SIP (Services des Impôts des Particuliers) SIE (Services des Impôts des Entreprises) ORTHEZ;13 AVE HENRI IV |BP 109 |64301 ORTHEZ CEDEX|Accueil des particuliers dans leurs démarches fiscales : OUI;SIP;13 AVE HENRI IV |BP 109 |;64301;ORTHEZ CEDEX;;Accueil des particuliers dans leurs démarches fiscales;Tout public;;;;;;;;;;
62;43,48754;-0,776601;en cours;non;Accès libre, accompagnement vers l'autonomie et médiation numérique ;Cybercentre Orthez;2 rue Pierre Lasserre|64300 ORTHEZ|Tél. 05.59.67.25.61 ou 05.59.69.35.78|**Horaires d'ouverture :**|De septembre à juin|Lundi et jeudi : 14h-16h|Mardi : 9h30-12h et 14h-16h|Mercredi : 14h-16h et 16h-17h30* (*créneau jeunes)|Vendredi : 16h-18h|Samedi :  9h30-12h|**Actions proposées :**|- Accès (équipement et connexion)|- Assistance (faire avec)|- Formation (apprendre à faire)|** Publics :**|Tous les publics|**Conditions d'accès :**|Abonnement annuel (gratuit sous certaines conditions);Espace Public Numérique;2 rue Pierre Lasserre|;64300;ORTHEZ;|De septembre à juin|Lundi et jeudi : 14h-16h|Mardi : 9h30-12h et 14h-16h|Mercredi : 14h-16h et 16h-17h30* (*créneau jeunes)|Vendredi : 16h-18h|Samedi :  9h30-12h|;- Accès (équipement et connexion)|- Assistance (faire avec)|- Formation (apprendre à faire)|;Tout public;**Conditions d'accès :**|Abonnement annuel (gratuit sous certaines conditions);;;. 05.59.67.25.61 ou 05.59.69.35.78|;;;oui;oui;oui;
77;43,384613;-1,667331;En cours ;non;Accès libre, accompagnement vers l'autonomie et médiation numérique ;Point Information Jeunesse de Ciboure;Place Camille Jullian|64500 Ciboure|Tél. 05 59 47 64 98|Mail. pij@mairiedeciboure.com|**Horaires d'ouverture :**|Du mardi au vendredi 9h-12h15 et 13h30-17h|Le samedi matin sur rendez-vous|**Actions proposées :**|- Accès (équipement et connexion) : 4 postes fixes connectés, accès libre selon disponibilité,|- Assistance (faire avec) |- Formation (apprendre à faire) |**Public accueilli :**| Tous publics|**Conditions d'accès :** |Accès pour consultation gratuit |Frais à prévoir pour formation;Point Information Jeunesse;;64500;CIBOURE;|Du mardi au vendredi 9h-12h15 et 13h30-17h|Le samedi matin sur rendez-vous|;- Accès (équipement et connexion) : 4 postes fixes connectés, accès libre selon disponibilité,|- Assistance (faire avec) |- Formation (apprendre à faire) |;Tout public;**Conditions d'accès :** |Accès pour consultation gratuit |Frais à prévoir pour formation;;pij@mairiedeciboure.com|;. 05 59 47 64 98|;;;;;;
55;43,473639;-1,55625;En cours ;non;Accès libre, accompagnement vers l'autonomie et médiation numérique ;Centre Social Maria Pia;6 allée du Chanoine Manterola|64200 BIARRITZ|Tél. 05 59 43 90 78|Mail. mariapia@orange.fr|**Horaires d'ouverture**|9h-12h et 14h-17h|**Actions proposées** :|- Accès (équipement et connexion) : 4 ordinateurs et 2 tablettes|- Assistance (faire avec l'usager)|- Formation (apprendre à faire) : découverte des compétences de base, culture numérique, à la demande (photos, vidéos, démarches administratives...)|- Orientation vers un partenaire;Centre Social;6 allée du Chanoine Manterola|;64200;BIARRITZ;9h-12h et 14h-17h;- Accès (équipement et connexion) : 4 ordinateurs et 2 tablettes|- Assistance (faire avec l'usager)|- Formation (apprendre à faire) : découverte des compétences de base, culture numérique, à la demande (photos, vidéos, démarches administratives...)|- Orientation vers un partenaire;;;;mariapia@orange.fr|;. 05 59 43 90 78|;;;;;;
21;43,449055;-0,108884;en cours;non;Services DDFIP64;TM (Trésorerie mixte) LEMBEYE;TM LEMBEYE|3 RUE DES ECOLES |BP 4 |64350 LEMBEYE|Accueil des particuliers dans leurs démarches fiscales : OUI;Trésorerie mixte;;64350;LEMBEYE;;Accueil des particuliers dans leurs démarches fiscales;Tout public;;;;;;;;;;
116;43,326715;-1,035848;En cours;non;Assistance et coups de pouce;SDSEI Pays Basque Intérieur;Site de Saint-Palais|Boulevard de la madeleine|64120 Saint-Palais|Tél. 05 59 65 92 12|**Actions proposées :**|- Accès WIFI|- Assistance démarches en ligne;SDSEI;;64120;SAINT-PALAIS;;- Accès WIFI|- Assistance démarches en ligne;Tout public;;;;. 05 59 65 92 12|;;;;;;
54;43,320753;-0,345043;En cours ;non;Accès libre, accompagnement vers l'autonomie et médiation numérique ;Centre social du Hameau;23 rue Monseigneur Campo|64000 Pau|Tél. 05 59 30 14 63|**Horaires d'ouverture :**|Le lundi, mardi, jeudi :  9h-12h et 14h-19h|Le mercredi : 9h-12h et 14h-18h|Le vendredi 9h-12h et  14h-17h|**Actions proposées :**|Accès (équipement et connexion) : 2 ordinateurs en accès libre au public.|Assistance (faire avec) : un agent d'accueil accompagne sur les ordi les usagers à l'accueil|Formation (apprendre à faire) :  initiation basique de l'ordinateur puis des cours sont proposés par niveau (utiliser Internet,créer boîte mail, bureautique ….)|**Public : **|Prioritairement les habitants du quartier du hameau et de Pau.|**Conditions d'accès (tarifs) :**| Adhésion + set prix des ateliers |;Centre Social;23 rue Monseigneur Campo|;64000;PAU;|Le lundi, mardi, jeudi :  9h-12h et 14h-19h|Le mercredi : 9h-12h et 14h-18h|Le vendredi 9h-12h et  14h-17h|;Accès (équipement et connexion) : 2 ordinateurs en accès libre au public.|Assistance (faire avec) : un agent d'accueil accompagne sur les ordi les usagers à l'accueil|Formation (apprendre à faire) :  initiation basique de l'ordinateur puis des cours sont proposés par niveau (utiliser Internet,créer boîte mail, bureautique ….)|;Prioritairement les habitants du quartier du hameau et de Pau.;;;;. 05 59 30 14 63|;;;;;;
90;43,482936;-1,5575;En cours;non;Assistance et coups de pouce;CCAS de Biarritz;5 square d'Ixelles|64200 BIarritz|Tél. 05 53 01 61 00|Mail. ccas@biarrtiz.fr|**Horaires d'ouverture :**|8h30-12h30 et 13h30-17h|**Actions proposées :**|- Diagnostic des besoins numériques|- Assistance|- Orientation vers un partenaire|A partir du 1er trimestre 2019 : équipements (3 ordinateur + 1 portable) et formation de découverte des compétences de base|;CCAS;5 square d'Ixelles|;64200;BIARRITZ;|8h30-12h30 et 13h30-17h|;;;;;ccas@biarrtiz.fr|;. 05 53 01 61 00|;;;;;;
91;43,358791;-1,775044;En cours;non;Assistance et coups de pouce;CCAS de la ville d'Hendaye;9, rue des jardins|BP 60 150 |64 701 Hendaye cedex|Tél. 05 59 48 23 10|Mail. ccas@hendaye.com|Site Web. [[http://www.hendaye.fr]]|**Horaires d'ouverture :**|Du lundi au vendredi : 8h-12h et 13h30- 17h30|**Actions proposées :**|- Assistance (faire avec)|**Public :**|Tous publics|**Conditions d'accès :**|Gratuit;CCAS;9, rue des jardins|BP 60 150 |;64 701; HENDAYE CEDEX;|Du lundi au vendredi : 8h-12h et 13h30- 17h30|;- Assistance (faire avec)|;;**Conditions d'accès :**|Gratuit;;ccas@hendaye.com|;. 05 59 48 23 10|;http://www.hendaye.fr];;;;;
137;43,470408;-1,560265;En cours;non;Accès uniquement;[Biarritz_WIFI] Maison des Associations;2 rue Darrichon|du lundi au vendredi 9h/12h et 14h/18h30;Borne WIFI;2 rue Darrichon;64200;BIARRITZ;;;;;;;;;;;;;
19;43,382316;-1,306213;En cours ;non;Services DDFIP64;TM (Trésorerie mixte) HASPARREN;TM HASPARREN|1 RUE JATS |BP 12 |64240 HASPARREN|Accueil des particuliers dans leurs démarches fiscales : OUI;Trésorerie mixte;;64240;HASPARREN;;Accueil des particuliers dans leurs démarches fiscales;Tout public;;;;;;;;;;
20;42,987526;-0,427841;En cours ;non;Services DDFIP64;TM (Trésorerie mixte) LARUNS;TM LARUNS|RUE DU GENERAL DE GAULLE |BP 12 |64440 LARUNS|Accueil des particuliers dans leurs démarches fiscales : OUI;Trésorerie mixte;;64440;LARUNS;;Accueil des particuliers dans leurs démarches fiscales;Tout public;;;;;;;;;;
76;43,322341;-0,345066;En cours;non;Accès libre, accompagnement vers l'autonomie et médiation numérique ;MSAP/Maison du Citoyen Ousse des bois;8 rue du Parc en Ciel|Pôle des Quatre Coins du Monde|Espace Agora|64000 Pau|Tél. 05 59 98 64 24|Mail. maisonducitoyen.oussedesbois@ville-pau.fr|**Horaires d'ouverture :**|Lundi : 9h30 - 16h30|Mardi : 9h30 - 16h30|**Actions proposées :**|- Accès (équipement et connexion)|- Assistance (faire avec)|- Formation (apprendre à faire);MSAP;8 rue du Parc en Ciel|Pôle des Quatre Coins du Monde|Espace Agora|;64000;PAU;|Lundi : 9h30 - 16h30|Mardi : 9h30 - 16h30|;;;;;maisonducitoyen.oussedesbois@ville-pau.fr|;. 05 59 98 64 24|;;;;;;
37;43,491475;-1,506212;En cours;non;Médiation numérique itinérante;AGIRabcd;Rue Jouanetote|64600 Anglet|Tél. 06 61 52 57 17|Mél. aauvigne64@gmail.com|**Horaires :**|Selon planning d'interventions|**Actions proposées :**|- Accès (ordinateurs et WIFI)|- Diagnostic des besoins numériques|- Assistance (faire avec)|- Médiation (apprendre à faire) : découverte des compétences de base, Utilisation d'un service d'accès aux droits ou d'insertion professionnelle, Initiation et/ou perfectionnement à l'Informatique|**Public :**|Seniors et personnes en difficulté|**Conditions d'accès :**|Sur Inscription;Association;;64600;ANGLET;Selon planning d'interventions;- Accès (ordinateurs et WIFI)|- Diagnostic des besoins numériques|- Assistance (faire avec)|- Médiation (apprendre à faire) : découverte des compétences de base, Utilisation d'un service d'accès aux droits ou d'insertion professionnelle, Initiation et/ou perfectionnement à l'Informatique|;Seniors et personnes en difficulté;**Conditions d'accès :**|Sur Inscription;;;. 06 61 52 57 17|;;;;;oui;
120;43,482695;-1,513302;En cours;non;Assistance et coups de pouce;Service Jeunesse | Ville d'Anglet;Rue Albert le Barillier|64600 ANGLET|Tél.05 59 58 35 25|Mail. s.jeunesse@anglet.fr|**Horaires d'ouverture :**|Du lundi au vendredi : 9h-12h et 14h-17h|**Actions proposées**|- Accès (équipements en libre service) : 2 ordinateurs fixes pour effectuer des démarches administratives en ligne|- Assistance sur les démarches administratives en ligne (Permis, Carte grise, CNI...);Ville;;64600;ANGLET;|Du lundi au vendredi : 9h-12h et 14h-17h|;;Tout public;;;s.jeunesse@anglet.fr|;.05 59 58 35 25|;;;;oui;;
100;43,450413;-0,108646;En cours;non;Assistance et coups de pouce;MSAP de Lembeye;Association Diapason|23 rue des Pelhans|64350 Lembeye|Tél. 09 81 10 80 50 – 06 99 65 96 10|Mail : Evs.diapason64@gmail.com|**Horaires d'ouverture :**|Du lundi au mercredi : de 9h30-12h30|Le jeudi : 9 h-18h30 |Vendredi : 9h30-12h30 et 13 h-16h|**Actions proposées :**|- Accès (équipement et connexion)|- Assistance (faire avec)|**Publics :**|Tous publics;MSAP;23 rue des Pelhans;64350;LEMBEYE;|Du lundi au mercredi : de 9h30-12h30|Le jeudi : 9 h-18h30 |Vendredi : 9h30-12h30 et 13 h-16h|;- Accès (équipement et connexion)|- Assistance (faire avec)|;Tout public;;;;. 09 81 10 80 50 – 06 99 65 96 10|;;;;oui;;
128;43,22075;-0,891304;En cours;non;Accès uniquement;Office de Tourisme - Bureau de Mauléon;"10 rue Jean Baptiste Heugas|64130 Mauléon-Licharre|Tél. 05 59 28 02 37|Mail. office-tourisme.soule@orange.fr|**Horaires d'ouverture :**|Hiver : 9h30-12h30|**Actions proposées :**|Accès uniquement|2 ordinateurs (2€/15 min. ; 3€/30 min. ; 4€/1h.)|WIFI de la ville en accès libre";Office de Tourisme;10 rue Jean Baptiste Heugas|;64130;MAULÉON-LICHARRE;|Hiver : 9h30-12h30|;"|Accès uniquement|2 ordinateurs (2€/15 min. ; 3€/30 min. ; 4€/1h.)|WIFI de la ville en accès libre";;;;office-tourisme.soule@orange.fr|;. 05 59 28 02 37|;;;;;;
125;43,220005;-0,889493;En cours;non;Accès uniquement;Mairie;Square Jean Moulin|BP 70|64130 Mauléon-Licharre|Mail. accueil@mauleon-soule.fr|**Horaires d'ouverture :**|Du lundi au jeudi : 8h30-12h et 13h30-18h|Le vendredi : 8h30-12h et 13h30-17h|**Actions proposées :**|- Accès et équipement : 1 ordinateur et 1 accès WI-FI libre|**Publics :**|Tout public;Mairie;;64130;MAULÉON-LICHARRE;|Du lundi au jeudi : 8h30-12h et 13h30-18h|Le vendredi : 8h30-12h et 13h30-17h|;- Accès et équipement : 1 ordinateur et 1 accès WI-FI libre|;;;;accueil@mauleon-soule.fr|;;;;;;;
73;43,498628;-1,493985;En cours;non;Accès libre, accompagnement vers l'autonomie et médiation numérique ;Mission Locale Avenir Jeunes Pays Basque;Rue du Pont de l'Aveugle|64600 ANGLET|Tél. 05 59 59 82 60|Mail. contact@missionlocale-paysbasque.org|**Horaires d'ouverture :**|8h-12h et 13h-17h|**Actions proposées :**|- Accès (équipement et connexion) : 3 ordinateurs |- Diagnostic des besoins numériques|Assistance (faire avec)|- Formation (Apprendre à faire) : culture numérique et utilisation des services d'accès aux droits ou insertion socio-professionnelle|- Orientation vers un partenaire;Mission Locale;;64600;ANGLET;|8h-12h et 13h-17h|;;;;;contact@missionlocale-paysbasque.org|;. 05 59 59 82 60|;;;;oui;;
61;43,399452;-0,93865;en cours ;non;Accès libre, accompagnement vers l'autonomie et médiation numérique ;Cyber-base de Sauveterre-de-Béarn;Place Royale|64390 Sauveterre-de-Béarn|Tél. 05 59 38 50 36|Mail. cyberbase@ccbearndesgaves.fr |**Horaires d'ouverture :**|Mardi : 14h-19h et samedi : 09h-13h|**Actions proposées :**|- Accès (équipement et connexion)|- Assistance (faire avec)|- Accompagnement individuel;Espace Public Numérique;;64390;SAUVETERRE-DE-BÉARN;|Mardi : 14h-19h et samedi : 09h-13h|;;Tout public;;;cyberbase@ccbearndesgaves.fr |;. 05 59 38 50 36|;;;oui;oui;;
22;43,222294;-0,886068;En cours;non;Assistance et coups de pouce;TM (Trésorerie mixte) MAULEON;TM MAULEON|88 RUE VICTOR HUGO |BP 38 |64130 MAULEON|Accueil des particuliers dans leurs démarches fiscales : OUI;Trésorerie mixte;;64130;MAULEON-LICHARRE;;Accueil des particuliers dans leurs démarches fiscales;;;;;;;;;;;
126;43,222558;-0,889345;En cours;non;Accès uniquement;Médiathèque;Centre Multiservices|14 Rue des Frères Barenne|64130 Mauléon-Licharre|**Horaires d'ouverture :**|Mardi : 14h - 18h30|Mercredi : 10h - 12h et 14h - 17h30|Jeudi : 13h30 - 17h30|Vendredi : 14h - 18h30|Samedi : 10h - 12h et 14h - 17h|**Actions proposées :**|- Accès et équipement : 3 ordinateurs et 1 accès WI-FI|**Publics :**|Tout public;Médiathèque;;64130;MAULÉON-LICHARRE;|Mardi : 14h - 18h30|Mercredi : 10h - 12h et 14h - 17h30|Jeudi : 13h30 - 17h30|Vendredi : 14h - 18h30|Samedi : 10h - 12h et 14h - 17h|;- Accès et équipement : 3 ordinateurs et 1 accès WI-FI|;Tout public;;;;;;;;;;
127;43,322667;-0,345044;En cours;non;Accès libre, accompagnement vers l'autonomie et médiation numérique ;Médiathèque Trait d'Union;Pôle des quatre coins du monde|Rue Parc en Ciel |64000 Pau|Tél. 05 59 84 74 18|Mél. mediatheques@agglo-pau.fr|Site web. [[https://mediatheques.agglo-pau.fr]]|**Horaires d'ouverture :**|Mardi 13h30 - 18h |Mercredi 10h - 12h et 13h30 - 18h |Jeudi 13h30 - 18h |Vendredi 13h30 - 18h |Samedi 10h - 12h et 13h30 - 18h|**Actions proposées :**|- Accès (ordinateurs et WIFI)|- Médiation (apprendre à faire) : Culture numérique + de nombreux rdv sur l'agenda du site des médiathèques|**Public :**|Tout public|**Conditions d'accès :**|Gratuit;Médiathèque;;64000;PAU;|Mardi 13h30 - 18h |Mercredi 10h - 12h et 13h30 - 18h |Jeudi 13h30 - 18h |Vendredi 13h30 - 18h |Samedi 10h - 12h et 13h30 - 18h|;- Accès (ordinateurs et WIFI)|- Médiation (apprendre à faire) : Culture numérique + de nombreux rdv sur l'agenda du site des médiathèques|;Tout public;**Conditions d'accès :**|Gratuit;;;. 05 59 84 74 18|;https://mediatheques.agglo-pau.fr];;;;;
129;43,116468;-0,862695;En cours;non;Accès uniquement;Office de Tourisme Bureau de Tardets;Rue Arhanpia - 64470 TARDETS-SORHOLUS|Tél. 05 59 28 51 28|Mail. office-tourisme.soule@orange.fr|**Horaires d'ouverture (hiver) :**| du lundi au vendredi 9h30-12h30 et 14h-18h. Le samedi 14h-18h.|**Actions proposées :**|Accès uniquement : |Équipement : 1 ordinateur  - Accès payant : 2€/15 min. - 3€/30 min. - 4€/1h|Accès WIFI gratuit après prise du code au guichet;Office de Tourisme;Rue Arhanpia;64470;TARDETS-SORHOLUS;du lundi au vendredi 9h30-12h30 et 14h-18h. Le samedi 14h-18h;Accès uniquement : |Équipement : 1 ordinateur  - Accès payant : 2€/15 min. - 3€/30 min. - 4€/1h|Accès WIFI gratuit après prise du code au guichet;;;;office-tourisme.soule@orange.fr|;. 05 59 28 51 28|;;;;;;
51;43,314683;-0,349267;En cours;non;Accès libre, accompagnement vers l'autonomie et médiation numérique ;Association Unis-Cité;"84 avenue de Buros |64000 Pau|Tél. 06 16 58 19 72|Mél. fspitz@uniscite.fr|Site web. [[https://www.uniscite.fr/]]|**Horaires et jours d'ouverture :**|Les mercredis et jeudis de octobre à juin|**Actions proposées :**|- Orientation vers un partenaire	|- Médiation (apprendre à faire) à domicile, accompagnement par des Volontaires en Service Civique : découverte des compétences de base, utilisation d'un service d'accès aux droits ou d'insertion professionnelle|**Publics :**|Seniors principalement, |Public ""éloigné du numérique"" de façon générale|**Conditions d'accès :**|Gratuit sans engagement dans la durée, possibilité d'être accompagné sur plusieurs mois||||";Association;84 avenue de Buros |;64000;PAU;es mercredis et jeudis de octobre à juin|;- Orientation vers un partenaire	|- Médiation (apprendre à faire) à domicile, accompagnement par des Volontaires en Service Civique : découverte des compétences de base, utilisation d'un service d'accès aux droits ou d'insertion professionnelle|;Seniors;**Conditions d'accès :**|Gratuit sans engagement dans la durée, possibilité d'être accompagné sur plusieurs mois||||;;;. 06 16 58 19 72|;https://www.uniscite.fr/];;;oui;;
13;43,104137;-0,42851;En cours;non;Services DDFIP64;TM (Trésorerie mixte) ARUDY;TM ARUDY|PLACE DU FOIRAIL |64260 ARUDY|Accueil des particuliers dans leurs démarches fiscales : OUI;Trésorerie mixte;;64260;ARUDY;;Accueil des particuliers dans leurs démarches fiscales;Tout public;;;;;;;;;;
14;43,535031;-0,410483;En cours;non;Services DDFIP64;TM (Trésorerie mixte) ARZACQ-MORLANNE;TM (Trésorerie mixte) ARZACQ-MORLANNE|PCE DU MARCADIEU |BP 12 |64410 ARZACQ ARRAZIGUET|Accueil des particuliers dans leurs démarches fiscales : OUI;Trésorerie mixte;;64410;ARZACQ ARRAZIGUET;;Accueil des particuliers dans leurs démarches fiscales;Tout public;;;;;;;;;;
7;43,397269;-1,642735;En cours;non;Opérateurs de services publics;Pôle Emploi Saint Jean de Luz;11 Rue de la Ferme Daï Baïta |64500 Saint Jean de Luz|Tél. 3949|Site web. [[http://www.pole-emploi.fr]]|**Horaires d'ouverture :**|Du lundi au Vendredi Sans RDV de 8h30 à 12h30|**Actions proposées :**|- Accès (ordinateurs)|- Diagnostic des besoins numériques|- Assistance (faire avec)|- Médiation (apprendre à faire : services Pôle Emploi)|- Orientation vers un partenaire|- Utilisation d'un service d'accès aux droits ou d'insertion professionnelle|**Publics :**|Demandeurs d'emploi|**Conditions d'accès :**|Gratuit;Pôle Emploi;11 Rue de la Ferme Daï Baïta |;64500;SAINT JEAN DE LUZ;|Du lundi au Vendredi Sans RDV de 8h30 à 12h30|;- Accès (ordinateurs)|- Diagnostic des besoins numériques|- Assistance (faire avec)|- Médiation (apprendre à faire : services Pôle Emploi)|- Orientation vers un partenaire|- Utilisation d'un service d'accès aux droits ou d'insertion professionnelle|;DE;**Conditions d'accès :**|Gratuit;;;. 3949|;http://www.pole-emploi.fr];;;;;
89;43,494775;-1,518602;En cours;non;Assistance et coups de pouce;CCAS Anglet;2 avenue Belle Marion|64600 ANGLET|Tél. 05 59 58 35 23|Mail. ccas@anglet.fr|**Horaires d'ouverture :**|9h-12h et 13h30-17h|**Public accueilli:**|Public CCAS|**Actions proposées :**|- Diagnostic des besoins numériques|- Assistance (faire avec)|- Orientation vers un partenaire|;CCAS;2 avenue Belle Marion|;64600;ANGLET;|9h-12h et 13h30-17h|;;;;;ccas@anglet.fr|;. 05 59 58 35 23|;;;;;;
80;43,502006;-1,449212;En cours;non;Accès libre, accompagnement vers l'autonomie et médiation numérique ;Cyber-base Charles Malégarie;1, allée Charles Malégarie|64100 Bayonne|Tél. 05 59 42 51 66|Mél. cyberbase.malegarie@bayonne.fr|Site web.  [[http://www.bayonne.fr/vie-quotidienne/cyber-bases/1339-cyber-base-charles-malegarie.html|site des cyber-bases]]|**Horaires d'ouverture :**|Mercredi de 14h15 à 17h30 |Vendredi de 14h30 à 17h30|Fermé pendant les vacances scolaires.|**Actions proposées :**|- Accès (ordinateurs, tablettes et connexion)|- Assistance (faire avec)|- Médiation (apprendre à faire) : Culture numérique + Apprentissage à l'utilisation de Blender, Inkscape, Gimp.|- Orientation vers un partenaire|**Public :**|Tout public|**Conditions d'accès :**|Voir conditions sur le site Internet de la ville de Bayonne.|;Espace Public Numérique;1, allée Charles Malégarie|;64100;BAYONNE;|Mercredi de 14h15 à 17h30 |Vendredi de 14h30 à 17h30|Fermé pendant les vacances scolaires.|;- Accès (ordinateurs, tablettes et connexion)|- Assistance (faire avec)|- Médiation (apprendre à faire) : Culture numérique + Apprentissage à l'utilisation de Blender, Inkscape, Gimp.|- Orientation vers un partenaire|;Tout public;**Conditions d'accès :**|Voir conditions sur le site Internet de la ville de Bayonne.|;;;. 05 59 42 51 66|;http://www.bayonne.fr/vie-quotidienne/cyber-bases/1339-cyber-base-charles-malegarie.html|site des cyber-bases];;oui;oui;oui;
107;42,98823;-0,426696;En cours;non;Assistance et coups de pouce;MSAP Vallée d'Ossau;15 place de la Mairie|64440 Laruns |Tél. 06 71 04 05 43|Mail. msap@ppmm64.org|**Horaires d'ouverture :**|Mardi : 14h30- 18h30|Mercredi : 9h30 - 12h30|Jeudi : 14h30 - 18h30|Vendredi : 9h30 - 12h30 et 14h30 - 18h30|Samedi : semaine Impaire  : 9h30 - 12h30|**Actions proposées :**|- Accès (équipement et connexion)|- Assistance (faire avec)|**Publics :**|Tous publics;MSAP;15 place de la Mairie|;64440;LARUNS;|Mardi : 14h30- 18h30|Mercredi : 9h30 - 12h30|Jeudi : 14h30 - 18h30|Vendredi : 9h30 - 12h30 et 14h30 - 18h30|Samedi : semaine Impaire  : 9h30 - 12h30|;- Accès (équipement et connexion)|- Assistance (faire avec)|;Tout public;;;msap@ppmm64.org|;. 06 71 04 05 43|;;;;;;
113;43,164181;-1,235769;En cours;non;Assistance et coups de pouce;SDSEI Pays Basque Intérieur;Site de Saint-Jean-Pied-de-Port|La Villa Esponda|Place du Trinquet|64220 Saint-Jean-Pied-de-Port|**Actions proposées :**|- Assistance démarches administratives;SDSEI;;64220;SAINT-JEAN-PIED-DE-PORT;;Assistance démarches administratives;Tout public;;;;;;;;;;
74;43,310455;-0,36344;En cours;non;Accès libre, accompagnement vers l'autonomie et médiation numérique ;Mission Locale pour les Jeunes Pau Pyrénées;49, avenue Dufau |64000 Pau|Tél. 05 59 98 90 40|Mail. contact@mljpau.fr|**Horaires d'ouverture :**|Du lundi au vendredi : 9h-12h et 14h-17h|**Actions proposées :**|- Accès (équipement et connexion) : ordinateurs traitement de texte, recherches documentaires, connexion internet, impression.|- Assistance (faire avec) avec un professionnel de la Mission Locale.|- Formation (apprendre à faire) avec un professionnel de la Mission Locale.|**Public :**|Jeunes de 16 à 25 non révolus, non scolarisés, en quête d'une orientation professionnelle, d'une formation, d'un emploi et résidant sur la Communauté d'Agglomération Pau Béarn Pyrénées.|**Conditions d'accès :**|Service gratuit. L'accès et l'utilisation sont strictement réservés à un usage en lien avec la recherche d'une formation, d'un emploi, des informations sur la santé, l'habitat et le logement, les démarches administratives. L'utilisation récréative ou de type réseaux sociaux est totalement proscrite. ||||;Mission Locale;49, avenue Dufau |;64000;PAU;|Du lundi au vendredi : 9h-12h et 14h-17h|;- Accès (équipement et connexion) : ordinateurs traitement de texte, recherches documentaires, connexion internet, impression.|- Assistance (faire avec) avec un professionnel de la Mission Locale.|- Formation (apprendre à faire) avec un professionnel de la Mission Locale.|;;**Conditions d'accès :**|Service gratuit. L'accès et l'utilisation sont strictement réservés à un usage en lien avec la recherche d'une formation, d'un emploi, des informations sur la santé, l'habitat et le logement, les démarches administratives. L'utilisation récréative ou de type réseaux sociaux est totalement proscrite. ||||;;contact@mljpau.fr|;. 05 59 98 90 40|;;;;;;
11;43,187377;-0,610361;En cours;non;Services DDFIP64;SIP (Services des Impôts des Particuliers)  SIE (Services des Impôts des Entreprises) OLORON;SIP SIE OLORON|14 RUE ADOUE |BP139 |64404 OLORON STE MARIE|Accueil des particuliers dans leurs démarches fiscales : OUI;SIP;;64404;OLORON STE MARIE;;Accueil des particuliers dans leurs démarches fiscales;;;;;;;;;;;
135;43,483887;-1,55977;En cours;non;Accès uniquement;[Biarritz_WIFI] Grande Plage - Casino Municipal;Quai de la Grande Plage|24h/24;Borne WIFI;Quai de la Grande Plage;64200;BIARRITZ;;;;;;;;;;;;;
