slug;typeCommunecter;tags;url;shortDescription;image;description;__recordKey__;email;address;geo;@type;name;geo_latitude;geo_longitude;geometrie;url_communecter;address_addresslocality;address_codeinsee;address_postalcode;address_streetaddress
cyberbaseDesBoisBlancs;Group;"En fonctionnement;Médiation;TiersLieux";"{""website"": ""http://www.lille.fr/cms/accueil/education-enseignement/cyber-espace-bois-blancs"", ""communecter"": ""https://www.communecter.org/#@cyberbaseDesBoisBlancs"", ""api"": ""https://www.communecter.org/api/organization/get/id/5d41656040bb4e913e0e4bf3""}";"""";;"http://www.lille.fr/cms/accueil/education-enseignement/cyber-espace-bois-blancs""";5d41656040bb4e913e0e4bf3;cyberespace.mqbb@gmail.com;"{""addressCountry"": ""FR"", ""addressLocality"": ""LILLE"", ""streetAddress"": ""4 Rue Guillaume Tell"", ""postalCode"": ""59000"", ""codeInsee"": ""59350"", ""@type"": ""PostalAddress""}";"{""latitude"": ""50.64017"", ""@type"": ""GeoCoordinates"", ""longitude"": ""3.013479""}";Organization;Cyberbase des Bois Blancs;50.64017;3.013479;50.64017,3.013479;https://www.communecter.org/#@cyberbaseDesBoisBlancs;LILLE;59350;59000;4 Rue Guillaume Tell
espaceCulturelLesTisserandsCyberMarais;Group;"En fonctionnement;Médiation;TiersLieux";"{""website"": ""http://www.ville-lomme.fr/Lomme-au-quotidien/Equipements-municipaux/Cyber-Espaces"", ""communecter"": ""https://www.communecter.org/#@espaceCulturelLesTisserandsCyberMarais"", ""api"": ""https://www.communecter.org/api/organization/get/id/5d41656040bb4e913e0e4c02""}";"""";;"http://www.ville-lomme.fr/Lomme-au-quotidien/Equipements-municipaux/Cyber-Espaces""";5d41656040bb4e913e0e4c02;cyberespacemarais@gmail.com;"{""addressCountry"": ""FR"", ""addressLocality"": ""LILLE"", ""streetAddress"": ""60 Rue Victor Hugo"", ""postalCode"": ""59000"", ""codeInsee"": ""59350"", ""@type"": ""PostalAddress""}";"{""latitude"": ""50.629839"", ""@type"": ""GeoCoordinates"", ""longitude"": ""3.010979""}";Organization;Espace culturel Les Tisserands - Cyber Marais;50.629839;3.010979;50.629839,3.010979;https://www.communecter.org/#@espaceCulturelLesTisserandsCyberMarais;LILLE;59350;59000;60 Rue Victor Hugo
cybercentrePrevert;Group;"En fonctionnement;Médiation;TiersLieux";"{""website"": ""http://www.ville-loos.fr/srub-220-193-1026-presentation-des-cybercentres.html"", ""communecter"": ""https://www.communecter.org/#@cybercentrePrevert"", ""api"": ""https://www.communecter.org/api/organization/get/id/5d41656140bb4e913e0e4c28""}";"""";;"http://www.ville-loos.fr/srub-220-193-1026-presentation-des-cybercentres.html""";5d41656140bb4e913e0e4c28;cybercentreloos@gmail.com;"{""addressCountry"": ""FR"", ""addressLocality"": ""LOOS"", ""streetAddress"": ""90 Rue Henri Barbusse"", ""postalCode"": ""59120"", ""codeInsee"": ""59360"", ""@type"": ""PostalAddress""}";"{""latitude"": ""50.608738"", ""@type"": ""GeoCoordinates"", ""longitude"": ""3.012088""}";Organization;Cybercentre Prévert;50.608738;3.012088;50.608738,3.012088;https://www.communecter.org/#@cybercentrePrevert;LOOS;59360;59120;90 Rue Henri Barbusse
maisonDeLaJeunesseDuPlouich;Group;"En fonctionnement;Médiation;TiersLieux";"{""website"": ""http://www.marcq-en-baroeul.org/votre-famille/jeunesse/266-point-information-jeunesse"", ""communecter"": ""https://www.communecter.org/#@maisonDeLaJeunesseDuPlouich"", ""api"": ""https://www.communecter.org/api/organization/get/id/5d41656240bb4e913e0e4c32""}";"""";;"http://www.marcq-en-baroeul.org/votre-famille/jeunesse/266-point-information-jeunesse""";5d41656240bb4e913e0e4c32;pij@marcq-en-baroeul.fr;"{""addressCountry"": ""FR"", ""addressLocality"": ""MARCQ EN BAROEUL"", ""streetAddress"": ""2 Rue des Entrepreneurs"", ""postalCode"": ""59700"", ""codeInsee"": ""59378"", ""@type"": ""PostalAddress""}";"{""latitude"": ""50.65969"", ""@type"": ""GeoCoordinates"", ""longitude"": ""3.082794""}";Organization;Maison de la jeunesse du Plouich;50.65969;3.082794;50.65969,3.082794;https://www.communecter.org/#@maisonDeLaJeunesseDuPlouich;MARCQ EN BAROEUL;59378;59700;2 Rue des Entrepreneurs
laCorderie;Group;"En fonctionnement;Médiation;TiersLieux";"{""website"": ""https://corderie.marcq-en-baroeul.fr/Default/nos-services.aspx"", ""communecter"": ""https://www.communecter.org/#@laCorderie"", ""api"": ""https://www.communecter.org/api/organization/get/id/5d41656240bb4e913e0e4c37""}";"""";;"https://corderie.marcq-en-baroeul.fr/Default/nos-services.aspx""";5d41656240bb4e913e0e4c37;lacorderie.marcq-en-baroeul@orange.fr;"{""addressCountry"": ""FR"", ""addressLocality"": ""MARCQ EN BAROEUL"", ""streetAddress"": ""56 Rue Albert Bailly"", ""postalCode"": ""59700"", ""codeInsee"": ""59378"", ""@type"": ""PostalAddress""}";"{""latitude"": ""50.68624"", ""@type"": ""GeoCoordinates"", ""longitude"": ""3.110869""}";Organization;La Corderie;50.68624;3.110869;50.68624,3.110869;https://www.communecter.org/#@laCorderie;MARCQ EN BAROEUL;59378;59700;56 Rue Albert Bailly
meuhlab1;NGO;"En fonctionnement;Fablab;Moins de 60m2;TiersLieux";"{""website"": ""http://www.meuhlab.org"", ""communecter"": ""https://www.communecter.org/#@meuhlab1"", ""api"": ""https://www.communecter.org/api/organization/get/id/5d41656340bb4e913e0e4c5e""}";;https://opendata.lillemetropole.fr/api/v2/catalog/datasets/reseau-de-tiers-lieux-de-la-mel/files/98d077a8f3c72376ab5c7c63a718c343;;5d41656340bb4e913e0e4c5e;meuhlab@gmail.com;"{""addressCountry"": ""FR"", ""addressLocality"": ""ROUBAIX"", ""streetAddress"": ""112 Avenue Jean Lebas"", ""postalCode"": ""59100"", ""codeInsee"": ""59512"", ""@type"": ""PostalAddress""}";"{""latitude"": ""50.693515"", ""@type"": ""GeoCoordinates"", ""longitude"": ""3.168773""}";Organization;MeuhLab;50.693515;3.168773;50.693515,3.168773;https://www.communecter.org/#@meuhlab1;ROUBAIX;59512;59100;112 Avenue Jean Lebas
centreSocialDeLalma;Group;"En fonctionnement;Médiation;TiersLieux";"{""website"": ""http://www.ville-roubaix.fr/pratique/social-solidarites/centres-sociaux/quartiers-nord.html#c4058"", ""communecter"": ""https://www.communecter.org/#@centreSocialDeLalma"", ""api"": ""https://www.communecter.org/api/organization/get/id/5d41656340bb4e913e0e4c68""}";"""";;"http://www.ville-roubaix.fr/pratique/social-solidarites/centres-sociaux/quartiers-nord.html#c4058""";5d41656340bb4e913e0e4c68;accueilcsalma@orange.fr;"{""addressCountry"": ""FR"", ""addressLocality"": ""ROUBAIX"", ""streetAddress"": ""16 Boulevard d'Halluin"", ""postalCode"": ""59100"", ""codeInsee"": ""59512"", ""@type"": ""PostalAddress""}";"{""latitude"": ""50.686963"", ""@type"": ""GeoCoordinates"", ""longitude"": ""3.188305""}";Organization;Centre social de l'Alma;50.686963;3.188305;50.686963,3.188305;https://www.communecter.org/#@centreSocialDeLalma;ROUBAIX;59512;59100;16 Boulevard d'Halluin
cybercentreDuCentreSocialLhommelet;Group;"En fonctionnement;Médiation;TiersLieux";"{""website"": ""http://www.cshommelet.sitew.fr/#Accueil_Missions_Valeurs.A"", ""communecter"": ""https://www.communecter.org/#@cybercentreDuCentreSocialLhommelet"", ""api"": ""https://www.communecter.org/api/organization/get/id/5d41656340bb4e913e0e4c6d""}";"""";;"http://www.cshommelet.sitew.fr/#Accueil_Missions_Valeurs.A""";5d41656340bb4e913e0e4c6d;direction@cshommelet.com;"{""addressCountry"": ""FR"", ""addressLocality"": ""ROUBAIX"", ""streetAddress"": ""205 Grande Rue"", ""postalCode"": ""59100"", ""codeInsee"": ""59512"", ""@type"": ""PostalAddress""}";"{""latitude"": ""50.694089"", ""@type"": ""GeoCoordinates"", ""longitude"": ""3.187822""}";Organization;Cybercentre du centre social l'Hommelet;50.694089;3.187822;50.694089,3.187822;https://www.communecter.org/#@cybercentreDuCentreSocialLhommelet;ROUBAIX;59512;59100;205 Grande Rue
centreSocialCentreVille;Group;"En fonctionnement;Médiation;TiersLieux";"{""website"": ""http://cscv-dascq.com"", ""communecter"": ""https://www.communecter.org/#@centreSocialCentreVille"", ""api"": ""https://www.communecter.org/api/organization/get/id/5d41656540bb4e913e0e4ca7""}";"""";;"http://cscv-dascq.com""";5d41656540bb4e913e0e4ca7;csvdascq-adsl@nordnet.fr;"{""addressCountry"": ""FR"", ""addressLocality"": ""VILLENEUVE D ASCQ"", ""streetAddress"": ""Rue des Vétérans"", ""postalCode"": ""59650"", ""codeInsee"": ""59009"", ""@type"": ""PostalAddress""}";"{""latitude"": ""50.61979"", ""@type"": ""GeoCoordinates"", ""longitude"": ""3.14724""}";Organization;Centre social Centre Ville;50.61979;3.14724;50.61979,3.14724;https://www.communecter.org/#@centreSocialCentreVille;VILLENEUVE D ASCQ;59009;59650;Rue des Vétérans
centreSocialOreeDuGolf;Group;"En fonctionnement;Médiation;TiersLieux";"{""website"": ""http://www.ville-wasquehal.fr/Action-sociale-et-Sante/Centres-sociaux"", ""communecter"": ""https://www.communecter.org/#@centreSocialOreeDuGolf"", ""api"": ""https://www.communecter.org/api/organization/get/id/5d41656540bb4e913e0e4cb1""}";;https://opendata.lillemetropole.fr/api/v2/catalog/datasets/reseau-de-tiers-lieux-de-la-mel/files/e4084dd238f7ee140ab9b65609300fc4;;5d41656540bb4e913e0e4cb1;csodg@numericable.fr;"{""addressCountry"": ""FR"", ""addressLocality"": ""WASQUEHAL"", ""streetAddress"": ""8 Rue Jean Moulin"", ""postalCode"": ""59290"", ""codeInsee"": ""59646"", ""@type"": ""PostalAddress""}";"{""latitude"": ""50.661922"", ""@type"": ""GeoCoordinates"", ""longitude"": ""3.130716""}";Organization;Centre social Orée du Golf;50.661922;3.130716;50.661922,3.130716;https://www.communecter.org/#@centreSocialOreeDuGolf;WASQUEHAL;59646;59290;8 Rue Jean Moulin
centreSocialPromesse;Group;"En fonctionnement;Médiation;TiersLieux";"{""website"": ""http://www.mairie-wattignies.com/Action-sociale/Centres-sociaux/Promesses"", ""communecter"": ""https://www.communecter.org/#@centreSocialPromesse"", ""api"": ""https://www.communecter.org/api/organization/get/id/5d41656640bb4e913e0e4cbb""}";"> ACM ( Accueil Collectif de Mineurs) Enfance/Jeunesse (mercredi+samedi+vacances scolaires)
> Accompagnement scolaire
> Atelier info";https://opendata.lillemetropole.fr/api/v2/catalog/datasets/reseau-de-tiers-lieux-de-la-mel/files/6cd45cb10e6e92c83dfa6eb84c99cb93;;5d41656640bb4e913e0e4cbb;accueil@cspromesses.fr;"{""addressCountry"": ""FR"", ""addressLocality"": ""WATTIGNIES"", ""streetAddress"": ""9 Rue Honoré de Balzac"", ""postalCode"": ""59139"", ""codeInsee"": ""59648"", ""@type"": ""PostalAddress""}";"{""latitude"": ""50.585998"", ""@type"": ""GeoCoordinates"", ""longitude"": ""3.040772""}";Organization;Centre social Promesse;50.585998;3.040772;50.585998,3.040772;https://www.communecter.org/#@centreSocialPromesse;WATTIGNIES;59648;59139;9 Rue Honoré de Balzac
beSquare1;Group;"Coworking;Domiciliation;Espace détente;Business;En fonctionnement;Entre 60 et 200m2;TiersLieux";"{""website"": ""http://www.besquare-roubaix.fr/"", ""communecter"": ""https://www.communecter.org/#@beSquare1"", ""api"": ""https://www.communecter.org/api/organization/get/id/5dc1b99a690864be238b4790""}";;https://opendata.lillemetropole.fr/api/v2/catalog/datasets/reseau-de-tiers-lieux-de-la-mel/files/2a3049450de780e9882f90c2718ec53d;;5dc1b99a690864be238b4790;;"{""addressCountry"": ""FR"", ""addressLocality"": ""ROUBAIX"", ""streetAddress"": ""62, avenue jean lebas"", ""postalCode"": ""59100"", ""codeInsee"": ""undefined"", ""@type"": ""PostalAddress""}";"{""latitude"": ""50.692941"", ""@type"": ""GeoCoordinates"", ""longitude"": ""3.170262""}";Organization;Be Square;50.692941;3.170262;50.692941,3.170262;https://www.communecter.org/#@beSquare1;ROUBAIX;undefined;59100;62, avenue jean lebas
laChaufferie;NGO;"résilience;urbaine;humaine;Accompagnement de projets;Espace à louer;Atelier participatif;Jardin;Association;En fonctionnement;Entre 60 et 200m2;TiersLieux";"{""website"": ""http://www.les-saprophytes.org/"", ""communecter"": ""https://www.communecter.org/#@laChaufferie"", ""api"": ""https://www.communecter.org/api/organization/get/id/5de4dc23690864fb7c8b49a3""}";Tiers-Lieux de la résilience urbaine et humaine;https://opendata.lillemetropole.fr/api/v2/catalog/datasets/reseau-de-tiers-lieux-de-la-mel/files/ea016578c7044ec79c4527704162bcbd;"Le Tiers-Lieux de la Chaufferie, construit par le collectif Les Saprophytes, est issu de plus de 10 ans de recherches actives sur l'espace urbain. 
L'objectif du lieu et des événements sont:
- la mise à disposition de ressources mobilisables pour la mise en oeuvre de territoires partagés, désirables et résilients
- la mise en réseau de structures, personnes, références
- proposer des formations: permaculture urbaine et humaine, renouvellement urbain co-conçu, ateliers pratiques de construction écologique ou à partir de matériaux issus du réemploi mais aussi de production alimentaire en ville";5de4dc23690864fb7c8b49a3;contact@les-saprophytes.org;"{""addressCountry"": ""FR"", ""addressLocality"": ""HELLEMMES LILLE"", ""streetAddress"": ""5 rue Jean Raymond Degrève"", ""postalCode"": ""59260"", ""codeInsee"": ""undefined"", ""@type"": ""PostalAddress""}";"{""latitude"": ""50.62932340001032"", ""@type"": ""GeoCoordinates"", ""longitude"": ""3.1054079532623295""}";Organization;La Chaufferie;50.62932340001032;3.1054079532623295;50.6293234,3.10540795326;https://www.communecter.org/#@laChaufferie;HELLEMMES LILLE;undefined;59260;5 rue Jean Raymond Degrève
euratechnologies;LocalBusiness;"Incubateur;Ubiquitaire & IoT;Accompagnement de projet;Salle de réunion;Public;Plus de 200m2;TiersLieux";"{""website"": ""www.euratechnologies.com"", ""communecter"": ""https://www.communecter.org/#@euratechnologies"", ""api"": ""https://www.communecter.org/api/organization/get/id/55f40f17e41d75c613c43a54""}";;https://opendata.lillemetropole.fr/api/v2/catalog/datasets/reseau-de-tiers-lieux-de-la-mel/files/3074d5f373fd254865502bed4b8f0a34;Plateforme Ubiquitaire & IoT;55f40f17e41d75c613c43a54;contact@euratechnologies.com;"{""addressCountry"": ""FR"", ""addressLocality"": ""LILLE"", ""streetAddress"": ""165 avenue de Bretagne"", ""postalCode"": ""59000"", ""codeInsee"": ""59350"", ""@type"": ""PostalAddress""}";"{""latitude"": 50.6352053, ""@type"": ""GeoCoordinates"", ""longitude"": 3.0240451}";Organization;Euratechnologies;50.6352053;3.0240451;50.6352053,3.0240451;https://www.communecter.org/#@euratechnologies;LILLE;59350;59000;165 avenue de Bretagne
reactifCo;Group;"TiersLieux;Nord;Coworking;Collaboratif;Télétravail;Catalyst;imprimante 3D;Association;Salle de réunion;Portage salarial;Accompagnement de projet";"{""website"": ""www.reactifconsultants.com"", ""communecter"": ""https://www.communecter.org/#@reactifCo"", ""api"": ""https://www.communecter.org/api/organization/get/id/57220ed440bb4e553896745d""}";"<p>Réactif&amp;Co est une association de portage salarial. Un espace de coworking est également proposé sur place.<br></p><br>";https://opendata.lillemetropole.fr/api/v2/catalog/datasets/reseau-de-tiers-lieux-de-la-mel/files/7ee272cccbe184b55cee1a938b401f63;"L'association REACTIF a ouvert en septembre 2015 un espace de co working sur la ville de RONCQ.

Implanté dans le CIT de RONCQ, cet espace de 10 à 15 place offre la possibilité de travailler dans un cadre professionnel et dynamique

Nous avons volonté dans ce lieu a encourager la mutualisation des ressources matérielles et immatérielles

Nous souhaitons aussi offrir la possibilité aux salariés habitant au nord de l'agglomération lilloise de trouver des alternatives possibles de télétravail

**Le lieu :**  
• Des bureaux « nomades » et attitrés tous neufs, pouvant accueillir jusqu'à 15 personnes  
• L'espace de coworking est situé au nord de la Vallée de la Lys, à proximité de l’autoroute A22, de la Belgique et à 20 min. de Lille, au cœur du Centre International des Transports de Roncq.  
• Il fait partie du groupe Réactif, composé d'un groupement d'employeurs et d'une association de portage salarial.  
• Un référent coworking est chargé de l'accueil et de l'animation du lieu.  
• Possibilité de louer une salle de réunion (avec visioconférence) pour 15 personnes  
• Possibilité de louer une petite armoire de bureau  
• Espace pour téléphoner  
• Imprimante et photocopieur  
• Imprimante 3D

**Les tarifs :**  
• Bureau « nomade » : 8€ HT / demi-journée (+ 10 photocopies) ; 15€ HT / journée (+ 30 photocopies)  
• Bureau attitré : 180€ HT / mois (+ photocopies N&B et couleurs)  
• Location de la salle de réunion / visioconférence :  
o Équipée écran et vidéoprojecteur : 60€ HT / demi-journée ; 100€ HT / journée  
o Équipée visioconférence : 80€ HT / demi-journée ; 150€ HT / journée  
• Caisson individuel : 14€ HT / mois  
• Armoire de bureau 110x100 avec serrure : 18€ HT / mois  
• Imprimante 3D (consommables compris) : 8€ HT / heure  

**Organisation interne :**  
L'espace de coworking adhère à la charte des valeurs du groupe Réactif, en référence aux concepts de développement social, sociétal, durable et aux valeurs de l'économie sociale et solidaire. A titre d'exemple : créer des relations « gagnants-gagnants », assurer la transparence économique et financière en proposant des frais de gestion et d'usage raisonnables, pratiquer la mutualisation des moyens dans un souci d'optimisation et de performance, pratiquer le partage d'expériences...

**Animations :**  
• Réunions d'accueil  
• Séances de partage d'expérience et de créativité  
• Formations bureautique et utilisation imprimante 3D  
• Interventions thématiques d'experts et partenaires  
• Coaching personnel / aide au développement de projet  

**Le profil des coworkers :**  
Tout salarié ou porteur de projet souhaitant bénéficier d'un espace de travail en évitant les interminables embouteillages de l'A22";57220ed440bb4e553896745d;s.voet@reactifconsultants.com;"{""addressCountry"": ""FR"", ""addressLocality"": ""RONCQ"", ""streetAddress"": ""45 A avenue de l'europe 59223 roncq"", ""postalCode"": ""59223"", ""codeInsee"": ""59508"", ""@type"": ""PostalAddress""}";"{""latitude"": 50.7546586, ""@type"": ""GeoCoordinates"", ""longitude"": 3.1312993}";Organization;REACTIF & Co;50.7546586;3.1312993;50.7546586,3.1312993;https://www.communecter.org/#@reactifCo;RONCQ;59508;59223;45 A avenue de l'europe 59223 roncq
helmutEtRaoul;LocalBusiness;"Café;Bureau;coworking;TiersLieux;En fonctionnement;internet;Télétravail";"{""website"": ""http://helmutetraoul.com/"", ""communecter"": ""https://www.communecter.org/#@helmutEtRaoul"", ""api"": ""https://www.communecter.org/api/organization/get/id/57ad8d2940bb4e4f188a6a1c""}";<p>Ce lieu a fermé depuis.</p>;https://opendata.lillemetropole.fr/api/v2/catalog/datasets/reseau-de-tiers-lieux-de-la-mel/files/8134c07a21ddaf5b910719328fc30ca2;"## _Le concept_

Le café-bureau est une solution souple, comme un café il est ouvert, on y entre à l’improviste, on s’y installe librement et l’esprit est convivial. Comme un bureau, il est équipé pour travailler dans de bonnes conditions, un wifi performant, des prises accessibles, une imprimante. En plus, les boissons chaudes y sont à volonté (café, thé, chocolat). La déco est à la fois sobre et confortable, pour que chacun se sente bien pour y venir seul, en groupe ou avec un client.  

## _Le lieu_  

**Helmut & Raoul** est en plein centre de Lille, entre Rihour et République face à la Préfecture. L’espace s’articule entre le Carré pour travailler en groupe ou en solo, ses tables spacieuses et ses chaises design, ses 2 salons cosy, la presse, le libre-service pour se servir une boisson chaude et sa consigne où on peut laisser ses affaires en sécurité, le temps du déjeuner ou d’une course en ville. Et le Cercle, une pièce plus confidentielle, conçue pour recevoir un client ou faire passer un entretien.  

Les plages d’ouverture sont larges : de 8h à 19h en semaine et de 10h à 17h le week-end. Aucun abonnement n’est nécessaire et il n’y a pas de temps minimum de présence à respecter";57ad8d2940bb4e4f188a6a1c;hello@helmutetraoul.com;"{""addressCountry"": ""FR"", ""addressLocality"": ""LILLE"", ""streetAddress"": ""7 rue Jean Sans Peur"", ""postalCode"": ""59000"", ""codeInsee"": ""59350"", ""@type"": ""PostalAddress""}";"{""latitude"": 50.6336276, ""@type"": ""GeoCoordinates"", ""longitude"": 3.0602118}";Organization;HELMUT ET RAOUL;50.6336276;3.0602118;50.6336276,3.0602118;https://www.communecter.org/#@helmutEtRaoul;LILLE;59350;59000;7 rue Jean Sans Peur
laFerblanterie;Group;"TiersLieux;espaceArtistique;artistes;lieuxDeCréation;artisans;artsVivants;Catalyst;commun;Plus de 200m2;En fonctionnement;Cuisine à disposition";"{""website"": ""http://laferblanterie.org/"", ""communecter"": ""https://www.communecter.org/#@laFerblanterie"", ""api"": ""https://www.communecter.org/api/organization/get/id/57ad901740bb4ed8188a6a15""}";<p>Lieu de création indépendant<br>Artistes Artisans Arts Vivants</p><br>;https://opendata.lillemetropole.fr/api/v2/catalog/datasets/reseau-de-tiers-lieux-de-la-mel/files/e7b60e8e4e0b23b67c92d62f78d5d485;"La Ferblanterie – collectif Artistes Artisans Arts Vivants – Lieu de création indépendant  

Lieu de création et d’expérimentation situé à Lille Sud, collectif disposant d’un hangar en location, fabrique artistique de 1200m² composé d’ateliers, lieu de travail pour la 60taine de résidents. Artistes, artisans et compagnies d’arts vivants se côtoient au quotidien, se partageant les locaux agencés en espace d’ateliers individuels et collectifs, et en espaces communs composés : d’un hall d’exposition, d’un plateau modulable, d’une cour, et d’espaces de convivialité. La Ferblanterie est un lieu pour échanger, rebondir, soutenir, un lieu pour inventer d’autres possibles.

Après une première année d’existence dans une ancienne usine de fer-blanc dans le quartier de Moulins à Lille, elle est implantée depuis le 1er décembre 2010 dans le quartier sud de la ville, constitué en association collégiale pour un lieu autogéré. Nous nous interrogeons sur les suites données au bâtiment que nous louons actuellement. Nous sommes à l’écoute d’informations utiles, le bail arrivant à terme le 1er janvier 2018.

Nous souhaiterions également échanger sur les questions de mise à disposition de bâtiments ou d’ateliers. Réfléchir à la mise en place de dispositifs permettant des mise à disposition temporaires ou plus pérenne. D’une part en vue de pérenniser ou redéployer le projet de l’association Ferblanterie, d’autre part en lien avec de futurs projets en gestation, favorisant l’émergence de lieux intermédiaires et indépendants.

Par ailleurs nous sommes en contact avec bon nombre d’artistes & artisans en recherche d’ateliers, nous pourrions engager des coopérations artistiques, d’intégration de lieux et de développement de projets culturels de créativité artistique et sociale, intégrant une réflexion sur les liens entre culture, art et société.

Le collectif est composé d’Artistes & Artisans, de compagnie d’Arts Vivants & Associations, soit plus de 60 [membres résidents](http://laferblanterie.org/lesferblanteux/) de la Ferblanterie.

Artistes & Artisans  
Louis Beccaert, Julie Canadas, Raphael Coelho, Marie Coquerelle, Marie Cornier, Yon Costes, Mathias Crepel, Elodie Darquié, Pierre Dekerle, Jérôme Desliens, Jean-Michel Doyen, Anne-Sophie Duhlu, Vaïssa Favereau Forestier, Gérald Ferrari, Fred Fruchart, David Garnier, Simon Harduin, Alissa James, Emilie Joly, Stéphane Kushar, Marie Langlois, Angélique Legrand, Thomas Le Gloannec, Marion Le Guillou, Charles Loridan, Cassandre Luc, Jean-Louis Mallet, Marek Marciniak, Mathieu Mazauric, Laurent Mazé, Alexandre Moercant, Ratiba Mokri, Elsa Mora, Bérengère Motuelle, Aurélie Pascal, Mickael Perissinotto, Myriam Plainemaison, Cyril Poret, Jallal Lamhouti, Jean-Baptiste Richard, Pierre Rousseau, Jeanne Smith, Antoine Suarez-Pazos, Hirgen Taraku, Adèle Thomas, Nina Vandenberghe, Antonin Vanneuville, Victor Vergne, Stéphanie Vertray, Audrey Ysebaert. Les anciens résidents faisant partie du collectif : Marianne Berthault, Fanny Bizien, Claire Cencig, Elsa Clément, Romain Descours, Capucine Desoomer, Emmanuelle Duguet, Juliette Galamez, Eve Tyler

Arts Vivants & Associations  
Collectif des Baltringues, Cie les Bourgeois de Kiev, Cie de Fil et d’Os, Cie la Minuscule Mécanique, Cie Rabistok, Cie Ratibus, Cie Rosa Bonheur, Cie Tantôt, Cie 13R3P, l’Ensemble Tormis, le Laboratoire d’humanité, Aradoc, Coups de Paillettes, Ephémère, Ethique et Toc, LBA, La Feuille, L’Interstice, Les Yeux d’Argos, Zoom Allure

[Les Ouvertures](http://laferblanterie.org/evenements/) & Activités de la Ferblanterie  
Nous ouvrons nos portes régulièrement pour toutes sortes de réjouissances.

Des ouvertures au fil de la saison. Des propositions artistiques émanant des résidents de la Ferblanterie (spectacles, sorties de résidences, etc.). Des rendez-vous mensuel : les Mardocs, mardis documentaires (depuis 2014). D’autres accueils plus sporadiques, au compte goutte et à l’envie (ateliers, cours, lectures, discussions, performances, etc.). Des événements ponctuels : La soirée du Boudané (en décembre), Le Big Hazardous (septembre 2012), La Projectionnerie (juin 2014), Festival de Micro-édition (juin 2016).

Des événements récurrents prenant place chaque année. Le Made In Ferblanterie, marché des créateurs, en décembre. Les Fenêtres Qui Parlent, en mars-avril (Ouverture de la Ferblanterie en 2010, On pose les valises en 2011, Green Dance en 2012, Le Cirque Ferblantini en 2013, Tout va Bien en 2014, Bulles d’Air en 2015, Traversée en 2016). LesPortes Ouvertes des Ateliers d’Artistes, en octobre (6 éditions depuis 2010 dont Hyperblanterie en 2013, Bienvenue Chez Mémé en 2014, Bazardons en 2015).

Hors-les-Murs

La Ferblanterie s’exporte notamment via les [Echanges Artistiques](http://laferblanterie.org/echanges-artistiques-eaat/) : en 2014 la Ferblanterie lance EAAT, projet d’Echanges Transversaux d’Ateliers d’Artistes, rencontre de création entre 2 collectifs. Au menu : résidences croisées, temps fort, création collective & in-situ. Les collectifs associés : La Semencerie (Strasbourg), la Ferme Cavan (Courdimanche), le Shakirail (Paris), l’Elaboratoire (Rennes)…

D’autres interventions collectives ont pris place notamment au Théâtre Massenet, au centre de loisirs la Louvière, dans la jungle à Calais, au Collège Verlaine, à la Maison de mode, au Colysée de Lambersart, à la Bibliothèque de Moulins, à la Médiathèque d’Arcques, dans le camp roms porte d’Arras.";57ad901740bb4ed8188a6a15;laferblanterie@gmail.com;"{""addressCountry"": ""FR"", ""addressLocality"": ""LILLE"", ""streetAddress"": ""16 rue abélard"", ""postalCode"": ""59000"", ""codeInsee"": ""59350"", ""@type"": ""PostalAddress""}";"{""latitude"": 50.6134534, ""@type"": ""GeoCoordinates"", ""longitude"": 3.0635481}";Organization;La Ferblanterie;50.6134534;3.0635481;50.6134534,3.0635481;https://www.communecter.org/#@laFerblanterie;LILLE;59350;59000;16 rue abélard
