francilin_id,lieu_nom,contact_nom,adresse,code_postal,commune,horaires,telephone,e_mail,site_web,aide,accessibilite,label,SIRET,thematique_principale,services,source,id_source
92,Association Emmaüs Solidarité Cyberespace,,40 avenue Jean Jaurès,93310,Pré-Saint-Gervais,"Mo-Fr 09:00-12:00,14:00-17:00",0148438382,cyberpsg@emmaus.asso.fr,https://www.emmaus-solidarite.org/,1,,,,2,"110,203,333,335",CD93,153
93,Bibliothèque François Mitterrand,,46 avenue Jean Jaurès,93310,Pré-Saint-Gervais,"Tu,Th 15:00-19:00, We 10:30-12:30,14:00-18:00, Fr 16:00-19:00, Sa 11:00-12:30,14:00-18:00",0148446996,bibliotheque.lepre@est-ensemble.fr,https://bibliotheque-pre-saint-gervais.fr,"1,2,3",,,,3,"321,519",CD93,82
94,Apjc Centre Social Maison des Jeunes et de la Culture,,23 Allée Etienne Dolet,93320,Les Pavillons Sous-Bois,"Mo-Fr 14:00-19:00, We 10:00-12:30,14:00-19:00",0148020779,infos@apjc.org,https://www.apjc.org/acces/,"1,2",,,,3,333,CD93,193
95,Maison de l'emploi,,2 bis Allée Henri Barbusse,93320,Les Pavillons Sous-Bois,"Mo-Fr 09:15-12:00,13:45-16:30",0148024539,maison.emploi@lespavillonssousbois.fr,http://www.les-pavillons-sous-bois.fr/Solidarite-sante/L-action-sociale/Les-structures-d-accueil-pour-l-emploi,"1,2",,,,1,"111,114,112",CD93,192
96,Bibliothèque Saint-Exupéry,,100 avenue du 8 Mai 1945,93330,Neuilly-sur-Marne,"Tu 15:00-20:00; We 10:00-12:00,14:00-19:00; Th,Fr 15:00-18:00; Sa 10:00-18:00",0156491949,mediatheque@neuillysurmarne.fr,http://www.mediatheque.neuillysurmarne.fr/,1,,,,3,,CD93,198
97,Cyberbase Neuilly-Sur-Marne,Brigitte Mondain,1 rue du 19 Mars 1962,93330,Neuilly-sur-Marne,Tu 16:00-18:00; We-Sa 14:00-18:00; Fr 16:00-19:00,0143088176,bmondain@mjcidf.org,http://www.cyberbasensm.org/,"1,2",,,,3,"333,332,606,209,204,205",CD93,151
98,Médiathèque du Raincy,Catherine Minotte,12 avenue de la Résistance,93340,Le Raincy,"Tu 15:00-19:00; We 09:30-12:00,14:00-18:00; Sa 09:30-12:00,14:00-17:00",0143819494,bibliotheque@leraincy.fr,https://www.leraincy.fr/content/article/la-mediatheque,"1,2",,,,3,335,CD93,140
99,Espace Insertion du Bourget,,24 rue Anizan Cavillon,93350,Le Bourget,"Mo-Th 09:00-12:00,13:30-17:00; Fr 09:00-12:00,13:30-16:00",0148388284,,http://www.le-bourget.fr/Espace-Insertion.html#.WpUWF1LAM_g,"1,2",,,,1,"111,333,205,203,204,209,213",CD93,182
100,Médiathèque le Point d'interrogation,,1 Allée André Cadot,93350,Le Bourget,"Tu,Fr 14:00-19:00; We,Sa 09:30-12:30,14:00-19:00; Th 14:00-18:00",0148388228,,http://www.le-bourget.fr/Mediatheque-Le-Point-d-Interrogation.html#.WoP9VFLAM_g,1,,,,7,"710,711,708,704,701,702",CD93,168
101,Bibliothèque Guy de Maupassant,,11 rue du Général de Gaulle,93360,Neuilly-Plaisance,"Tu 15:00-18:30; We 10:00-12:00,14:00-18:30; Th 16:00-18:30; Fr 10:00-18:30",0143003030,,http://www.mairie-neuillyplaisance.com,"1,2",,,,4,"333,401,404,407,506",CD93,178
102,Service Emploi et Projet de Ville,,30 rue des Cahouettes,93360,Neuilly-Plaisance,"Mo-Fr 08:30-12:00,13:30-17:00",0143006868,,http://www.mairie-neuillyplaisance.com,"1,2",,,,1,"110,111,112,113,114,115",CD93,179
103,Espace J,,63 avenue Jean Jaurès,93370,Montfermeil,Mo-Fr 16:00-19:00; We 14:00-19:00,0145096400,espacej@ville-montfermeil.fr,http://espacejmag-espacej.blogspot.fr/,"1,2",,,,3,"333,401,402,403,404,405,406,407,702,704",CD93,75
104,Arobase Espace Public Multimédia,Jean-Yves Cers,124 boulevard Charles de Gaulle,93380,Pierrefitte-sur-Seine,"We,Sa 10:00-13:00,14:00-18:00, Th 14:00-18:00, Fr 14:00-20:00",0172093436,arobase@pierrefitte93.fr,http://epn.pierrefitte93.fr/,"1,2",,,,3,"333,335,319,321,401,404,408",CD93,94
105,Centre Social Ambroise Croizat,Mohamed Akem directeur,58 rue Nungesser Et Coli,93380,Pierrefitte-sur-Seine,"Mo 13:30-19:00; Tu-Fr 09:00-12:00,13:30-19:00; We 13:30-18:30; Sa 09:00-12:00",0172093535,,http://www.mairie-pierrefitte93.fr,"1,2,3",,,,3,333,CD93,99
106,Centre Social Maroc Chatenay,Amadou Cisse (Directeur),104 rue Jules Chatenay,93380,Pierrefitte-sur-Seine,"Mo 10:00-12:00,14:00-19:00; Tu 09:30-12:00,14:00-18:30; We,Th 14:00-19:00; Fr 09:30-12:00,14:00-18:00",0149511803,,http://www.mairie-pierrefitte93.fr/Loisirs/PDF/Centre-social-Maroc-Chatenay-Poetes-2016-2017,"1,2,3",,,,3,,CD93,98
107,Cyber-Base Emploi - Espace Mde,Alicia Lim,8 avenue Lénine,93380,Pierrefitte-sur-Seine,"Mo-Fr 09:00-12:00,14:00-16:30",0171863530,alicia.lim@plainecommune.fr,,"1,2",,,,1,"203,114,111,115,334,317,315,514",CD93,93
108,Médiathèque Flora Tristan,Herman Malongo,43 boulevard Jean Mermoz,93380,Pierrefitte-sur-Seine,"Mo-Sa 10:00-18:00; Tu,Th 15:00-20:00",0171863800,herman.malongo@plainecommune.com.fr,http://www.mediatheques-plainecommune.fr/,"1,2,3",,,,3,"333,401,402,404,405,407,203,204,205,206,207,209,215",CD93,152
109,Point Information Jeunesse,David Romany,19 rue de Paris,93380,Pierrefitte-sur-Seine,"Mo,Th 09:30-12:00; Tu 14:00-17:30; We,Fr 09:30-12:30,14:00-17:30",0172093590,,https://www.mairie-pierrefitte93.fr/,1,,,,3,,CD93,177
110,Centre Social du Bas Clichy l'orange Bleue,Chargée d'accueil,22 Allée Frédéric Ladrette,93390,Clichy-sous-Bois,"Mo-Fr 09:00-12:00,13:30-17:30; Tu 13:30-17:30",0145097730,csorangebleue@orange.fr,http://www.clichy-sous-bois.fr/Associations/Annuaire-des-associations/Centre-Social-de-l-Orange-Bleue,"1,2",,,,3,"333,401,404,407,408",CD93,25
111,Defi (Direction Emploi Formation Insertion),Eric BOURGEOIS Coordonnateur Formateur Numérique Informatique,4 bis Allée Romain Rolland,93390,Clichy-sous-Bois,"Tu-Sa 09:00-12:00,14:00-16:30",0141703295,eric.bourgeois@grandparisgrandest.fr,,"1,2",,,,3,"333,335",CD93,24
112,Point Information Jeunesse,,105 Allée de la Chapelle,93390,Clichy-sous-Bois,"Mo-Fr 09:00-12:00,14:00-18:00; Tu,Th 14:00-18:00",0143888474,pij@clichysousbois.fr,http://www.clichy-sous-bois.fr/Economie-et-emploi/Emploi-formation-insertion,1,,,,1,"110,111,113,201,202,203,204,205,206,207,209,215,210",CD93,26
113,Bibliothèque Glarner,Noémie Cunow,43 avenue du Capitaine Glarner,93400,Saint-Ouen,"Tu,Fr 16:00-19:00, We 10:00-13:00,14:00-18:00, Sa 10:00-13:00,14:00-17:00",0171863474,,http://www.mediatheques-plainecommune.fr/glarner,1,,,,3,,CD93,120
114,Bibliothèque Lucie Aubrac,Noémie Cunow,15 rue Eugène Berthoud,93400,Saint-Ouen,"Tu,Fr 16:00-19:00; We,Sa 10:00-12:30,14:00-18:00",0171863477,,http://www.mediatheques-plainecommune.fr/lucie-aubrac,"1,2",,,,3,333,CD93,114
115,Centre de Culture Scientifique Atlas,,7 rue de l'union,93400,Saint-Ouen,"Mo-Fr 09:00-12:00,13:30-18:00",0171866340,,https://atlas93.wordpress.com/,1,,,,3,,CD93,105
116,Compétences Emploi,,10 avenue Salvador Allende,93400,Sevran,Mo-Fr 09:00-12:00,0141521396,poleaccueil@competencesemploi.com,https://www.ville-sevran.fr/emploi-formation,"1,2",,,,1,"111,114,115,113,112,110",CD93,123
117,Maison de Quartier du Landy,,37 rue du Landy,93400,Saint-Ouen,"Mo-Fr 09:00-12:30,14:00-17:30; Th 14:00-17:30",0149457773,jluder@mairie-saint-ouen.fr,http://www.saint-ouen.fr/services-infos-pratiques/sante-et-action-sociale/136-maisons-de-quartier.html,"1,2",,,,3,319,CD93,112
118,Maison de Quartier Marcel Paul,Pierre Bouhelier directeur,12 rue Charles Conrad,93400,Sevran,"Mo-Fr 09:00-12:00,13:30-18:00",0141524840,sdauphin@sevrangrandparis.fr,https://www.ville-sevran.fr/maison-de-quartier-marcel-paul-beaudottes,"1,2,3",,,,3,"333,335,203,204,205,206,207,209,214",CD93,117
119,Maison de Quartier Pasteur,Jacques Luder,6 rue Pasteur,93400,Saint-Ouen,"Mo,We 09:00-12:00,13:30-17:30; Tu,Fr 09:00-12:00,13:30-20:00; Th 13:30-17:30",0141663620,jluder@mairie-saint-ouen.fr,,"1,2",,,,3,"333,401,402,404,405,407,335",CD93,116
120,Médiathèque Persépolis,Noémie Cunow,4 avenue Gabriel Péri,93400,Saint-Ouen,"Tu,Fr 16:00-20:00; We,Sa 10:00-19:00",0171863612,,http://www.mediatheques-plainecommune.fr/Pers%C3%A9polis,"1,2",,,,2,"111,333,335",CD93,154
121,Pimms (Point Information Mediation Multi-Services),,4 Allée la Pérouse,93400,Sevran,"Mo 13:30-17:00; Tu-Fr 09:30-12:30,13:30-18:00",0182370180,sevran@pimms.org,https://www.maisondeservicesaupublic.fr/content/pimms-de-sevran,1,,,,3,"203,209,212,208",CD93,144
122,Service Initiative Jeunesse,,42 avenue Gabriel Péri,93400,Saint-Ouen,"Mo-Fr 08:30-12:00,13:00-17:30; Sa 08:30-12:00",0149481432,initiativesjeune@mairie-saint-ouen.fr,http://www.saint-ouen.fr/services-infos-pratiques/education/jeunesse/244-service-initiatives-jeunes.html,"1,2",,,,1,"110,111,112,113,114,115,201,202,203,204,205,206,207,209,215,210",CD93,115
123,Maison du Temps Libre / Bibliothèque Municipal,,78 rue de Meaux,93410,Vaujours,"Tu,Fr 13:45-18:00; We 09:45-11:45,13:45-18:30; Sa 09:45-11:45,13:45-18:00",0149633913,bibliotheque@ville-vaujours.fr,http://www.vaujours.fr/Bibliotheque,"1,2",,,,3,333,CD93,132
124,Relais Informations Jeunesse,,6 Allée Jules Ferry,93410,Vaujours,"Mo 13:30-17:00; Tu-Fr 08:30-12:00,13:30-17:00",0148611023,contact@ville-vaujours.fr,http://www.vaujours.fr/Relais-d-Information-Jeunesse,"1,2",,,,1,"110,111,112,113,114,115,201,202,203,204,205,206,207,209,215,210",CD93,125
125,Annexe Jacques Prévert (Centre Social André Malraux),,17 rue Jacques Prévert,93420,Villepinte,"Mo-Sa 09:00-12:00,14:00-18:00",0143838958,espacefamilles.csam@orange.fr,http://www.csam-villepinte.org/,1,,,,2,"203,204,205,206,208,209,212",CD93,196
126,Antenne François Mauriac (Centre Social André Malraux),,3 rue François Mauriac,93420,Villepinte,"Mo-Sa 09:00-12:00,14:00-18:00",0143100867,csamalraux@wanadoo.fr,http://www.csam-villepinte.org/,1,,,,7,"333,701 708",CD93,195
127,Centre Social André Malraux,Sébastien Mestre,1 avenue André Malraux,93420,Villepinte,"Mo-Th 13:30-16:30; Tu 09:30-11:30,13:30-19:30",0143838958,csamalraux@wanadoo.fr,http://www.csam-villepinte.org/,"1,2,3",,,,3,"333,335,319,321,401,404,407,205,209,708,709,710,711",CD93,133
128,Médiathèque - Centre Culturel Joseph Kessel,,251 boulevard Robert Ballanger,93420,Villepinte,Tu-Fr 15:00-19:00; We 10:00-19:00; Sa 10:00-18:00,0155859633,mediatheque@ville-villepinte.fr,http://mediatheque.centreculturel-villepinte.fr/,"1,2",,,,3,"333,401,402,404,405,407",CD93,194
129,Centre Socio-Culturel Clara Zetkin,,1 avenue Jean Jaurès,93430,Villetaneuse,"Tu 09:30-12:00,13:30-18:00; We,Th 09:30-12:00,13:30-20:00; Fr 09:30-12:00,13:30-16:00",0149989110,,http://www.mairie-villetaneuse.fr,"1,2",,,,3,"333,335",CD93,128
130,Cyber'base Emploi (Espace Mde),David Zennouche,2 rue de l'université,93430,Villetaneuse,"Mo,Th 08:45-12:30,13:45-17:00",0171863600,david.zennouche@plainecommune.com.fr,http://www.mairie-villetaneuse.fr/detail-acteur?id_acteur=134,"1,2",,,,1,"111,203",CD93,137
131,Médiathèque Jean Renaudie,,52 rue Roger Salengro,93430,Villetaneuse,"Tu 16:00-19:00; We,Sa 10:00-13:00,14:00-18:00; Fr 16:00-18:00",0155994882,,,1,,,,3,,CD93,136
132,Médiathèque Max-Paul Fouchet,,7 rue Paul Langevin,93430,Villetaneuse,Tu 16:00-19:00; We-Sa 14:00-18:00; Th off,0171863428,,http://www.mediatheques-plainecommune.fr/max-pol-fouchet,"1,2,3",,,,3,,CD93,135
133,Médiathèque Anne Frank,,8 avenue Ambroise Croizat,93440,Dugny,"Tu 14:00-18:00; We,Sa 10:00-12:30,14:00-18:00; Fr 14:00-19:00",0149341154,,http://www.ville-dugny.fr/vie-culturelle/la-mediatheque-anne-frank,1,,,,3,,CD93,169
134,Maison de l'emploi,Maimouna Dia,2 bis Quai de la Marine,93450,L'Ile-Saint-Denis,"Mo-Th 09:00-12:30,13:30-17:30; Fr 09:00-12:30",0171863150,maimouna.dia@plainecommune.com.fr,http://www.lile-saint-denis.fr/fr/information/82654/la-maison-emploi,"1,2",,,,1,"111,114,112",CD93,74
135,Maison des Initiatives et de la Citoyenneté,Hannan Louraoui,1 bis rue Méchin,93450,L'Ile-Saint-Denis,"Tu,Th 09:00-12:00,13:30-18:00; We 10:00-12:00,13:30-19:00; Fr 13:30-19:00; Sa 10:00-12:00,14:00-18:00",0141681984,mic@lile-saint-denis.fr,,"1,2",,,,3,"209,207,324",CD93,85
136,Médiathèque Elsa Triolet,Yvette NzonziMaimouna Sall,1 ter rue Méchin,93450,L'Ile-Saint-Denis,"Tu 15:00-19:30; We,Sa 10:00-18:00; Th,Fr 15:00-18:00",0171863687,yvette.nzonzi@plainecommune.com.fr,http://www.mediatheques-plainecommune.fr/elsa-triolet,1,,,,3,"333,401,402,404,405,407,203,204,205,206,207,209,214",CD93,72
137,Bibliothèque Elsa Triolet,,102 avenue Jean Lolive,93500,Pantin,"Tu 13:00-19:00, We 10:00-12:00,14:00-18:00, Fr 10:00-19:00, Sa 10:00-13:00,14:00-18:00",0183745840,bibliotheques.pantin@est-ensemble.fr,https://www.est-ensemble.fr/bibliotheques-de-pantin,1,,,,4,"401,402,404,405,407,408",CD93,68
138,Bibliothèque Jules Verne,,73 avenue Edouard Vaillant,93500,Pantin,"Tu 13:00-19:00; We 10:00-12:00,14:00-18:00; Fr 13:00-19:00; Sa 10:00-13:00,14:00-18:00",0183745970,bibliotheques.pantin@est-ensemble.fr,https://www.est-ensemble.fr/bibliotheques-de-pantin,1,,,,4,"333,401,404,407,506",CD93,69
139,Le Lab',J. Sassano,7 9 avenue Edouard Vaillant,93500,Pantin,Mo-Fr 14:00-18:00; We 12:00-20:00; Th off,0149154809,j.sassano@ville-pantin.fr,,1,,,,7,"401,402,404,405,407,408,604,705,707",CD93,80
140,Maison de Quartier des Courtillères / Bibliothèque Romain Rolland,,1 avenue Aimé Césaire,93500,Pantin,"Tu,Fr 13:00-19:00; We 10:00-12:00,14:00-18:00; Sa 10:00-13:00,14:00-17:00",0149153720,bibliotheques.pantin@est-ensemble.fr,http://www.ville-pantin.fr/maison_de_quartier_des_courtillieres.html,"1,2,3",,,,6,,CD93,183
141,Maison de Quartier des Quatre-Chemins,,42 avenue Édouard Vaillant,93500,Pantin,"Mo-Th 09:00-12:30,13:30-17:30; Fr 13:30-17:30",0149153910,,http://www.ville-pantin.fr/maison_de_quartier_des_quatre_chemins.html,"1,2,3",,,,3,214,CD93,186
142,Maison de Quartier du Haut-Pantin,,42 rue des Pommiers,93500,Pantin,"Mo-Th 09:00-12:30,13:30-17:00; Fr 13:30-17:00",0149154524,,http://www.ville-pantin.fr/maison_de_quartier_du_haut_pantin.html,1,,,,3,214,CD93,185
143,Maison de Quartier Mairie-Ourcq,,12 rue Scandicci,93500,Pantin,"Mo-Th 09:00-12:30,14:00-18:00; Fr 14:00-18:00",0149157000,mdqmairieourcq@ville-pantin.fr,http://www.ville-pantin.fr/maison_de_quartier_mairie_ourcq.html,"1,2,3",,,,2,214,CD93,184
144,Bibliothèque Alphonse Daudet,Thomas Fourmeux coordinateur réseau bibliothèques,23 avenue Henri Simon,93600,Aulnay-sous-Bois,"Tu 14:00-18:00, We 10:00-12:30,13:30-18:00, Fr 14:00-19:00, Sa 10:00-12:30,13:30-17:30",0148669880,tfourmeux@aulnay-sous-bois.com,http://reseaudesbibliotheques.aulnay-sous-bois.fr,"1,2",,,,5,"519,601,602",CD93,142
145,Bibliothèque Dumont,Thomas Fourmeux,12 boulevard Galliéni,93600,Aulnay-sous-Bois,"Tu 14:00-19:00, We 10:00-12:30,13:30-18:00, Sa 14:00-18:00, Su 10:00-17:30",0148794189,tfourmeux@aulnay-sous-bois.com,http://reseaudesbibliotheques.aulnay-sous-bois.fr,"1,2",,,,3,"333,335,205",CD93,147
146,Bureau Information Jeunesse,Layla Nakhili,10 rue Roger Contensin,93600,Aulnay-sous-Bois,"Mo,Th 13:30-17:30; Tu,We,Fr 10:00-12:00,13:30-17:30",0148796334,bij@aulnay-sous-bois.com,http://www.aulnay-sous-bois.fr/services-municipaux/enfance-jeunesse/jeunesse/jeunesse/,1,,,,3,,CD93,8
147,Centre Social Albatros,"Mourad HAOUACH, directeur",23 Allée de la Bourdonnais,93600,Aulnay-sous-Bois,Fr 09:30-11:30,0148790760,albatros@asso-acsa.fr,,"1,2,3",,,,3,"333,335,319,321,401,404,407,205,209",CD93,6
148,Centre Social Espace Gros Saule,"Ikram El Achaoui, médiatrice numérique",4 rue du Dr Claude Bernard,93600,Aulnay-sous-Bois,,0148796308,i.elachaoui@asso-acsa.fr,,"1,2",,,,3,"333,401,404,407,408",CD93,141
149,Centre Social Les Trois Quartiers,,4 Allée d'oslo,93600,Aulnay-sous-Bois,,0148698721,3quartiers@asso-acsa.fr,,1,,,,3,,CD93,21
150,Centre Social Mitry-Ambourget,Madame Abdoulaye,19 21 rue du 8 Mai 1945,93600,Aulnay-sous-Bois,"Mo-Fr 09:00-12:00,13:30-17:30",0633270169,d.abdoulaye@asso-acsa.fr,,"1,2",,,,2,"203,205,209",CD93,14
151,La Fabrique Numérique,,42 rue du 14 Juillet,93600,Aulnay-sous-Bois,Tu 09:00-11:30; We 14:00-18:00; Sa 10:00-18:00,0158039307,,https://www.ecologique-solidaire.gouv.fr/fabrique-numerique-lincubateur-services-numeriques-du-pole-ministeriel,"1,2",,,,7,"712,333,335",CD93,174
152,Médi@Bus,,12 rue de Sevran,93600,Aulnay-sous-Bois,We 09:45-12:30,,,,"1,2",,,,2,"202,203,204,205,207",CD93,171
153,Médi@Bus,,16 allée Circulaire,93600,Aulnay-sous-Bois,Tu 14:30-17:15,,,,"1,2",,,,2,"202,203,204,205,208",CD93,173
154,Bij -Bureau Information Jeunesse du Centre Ville,Roselyne Bordes,157 Cité Paul Bert,93700,Drancy,"Mo-Th 09:00-12:00,13:30-17:30; Fr 09:00-12:00",0148965110,roselyne-bordes@drancy.fr,http://www.drancy.fr,"1,2",,,,3,"111,315,317,334,203,514",CD93,187
155,Bureau Information Jeunesse Delacroix,,23 25 rue A. Schweitzer,93700,Drancy,"Tu,Th 10:00-17:00; Fr 10:00-13:00",0148963939,bij@drancy.fr,http://www.drancy.net/index.php/Jeunes?idpage=76&idmetacontenu=160,"1,2",,,,3,"315,317,334,203,514",CD93,27
156,Centre Social Adept,Ariane Koblik,37 rue Voltaire,93700,Drancy,Mo-Fr 14:00-17:00,0148312021,secretariat@adept-asso.fr,http://adept93.wixsite.com/adept-asso,"1,2,3",,,,3,307,CD93,138
157,Centre Social Municipal,Moustafa Hamoud,8 rue Pierre Semard,93700,Drancy,"Mo-Fr 09:00-12:00,13:30-18:00",0148964515,moustafa-hamoud@drancy.fr,http://www.drancy.net/index.php/Centre-social-municipal?idpage=272&afficheMenuContextuel=true,"1,2",,,,3,333,CD93,37
158,Médiathèque Georges Brassens,Angélique Tosello,65 avenue Marceau,93700,Drancy,14:00-19:00; We 10:00-19:00; Sa 10:00-18:00,0148964567,angelique-tosello@drancy.fr,http://mediatheques.drancydugnylebourget.fr/PORTAIL/mediatheque-georges-brassens.aspx,"1,2",,,,3,"333,335",CD93,143
159,Bibliothèque Albert Camus,Anne-Marie Poli,11 rue Félix Merlin,93800,Epinay-sur-Seine,"Tu 15:00-19:30, We 10:00-12:00,14:00-18:00, Fr 15:00-18:00, Sa 10:00-18:00",0148417029,anne-marie.poli@plainecommune.com.fr,http://www.mediatheques-plainecommune.fr/albert-camus,"1,2",,,,5,519,CD93,150
160,Centre Socio-Culturel des Econdeaux,,4 avenue Léon Blum,93800,Epinay-sur-Seine,"Mo-Th 09:00-12:00,13:30-19:00; Fr 13:30-19:00",0148265011,csc.econdeaux@epinay-sur-seine.fr,http://www.epinay-sur-seine.fr/guide_csc_2015.pdf,1,,,,3,,CD93,50
161,Centre Socio-Culturel du Centre,nathalie.vilocy@epinay-sur-seine.fr,1 rue de Paris,93800,Epinay-sur-Seine,,0148261021,,,"1,2,3",,,,2,"209,203,204,206",CD93,772
162,Centre Socio-Culturel Nelson Mandela,,64 avenue de la Marne,93800,Epinay-sur-Seine,Fr 18:00-19:30,0149719935,csc.presles@epinay-sur-seine.fr,http://www.epinay-sur-seine.fr/l_espace_nelson_mandela_ouvre_ses_portes.html,"1,2",,,,3,333,CD93,42
163,Centre Socioculturel Félix Merlin,,67 rue Félix Merlin,93800,Epinay-sur-Seine,"Mo-Th 09:00-12:00,13:30-19:00; Fr 13:30-19:00",0148419639,csc.f.merlin@epinay-sur-seine.fr,http://www.epinay-sur-seine.fr/guide_csc_2015.pdf,"1,2,3",,,,1,"333,114,111",CD93,191
164,Club Sénior,,15 avenue de la République,93800,Epinay-sur-Seine,Mo-Fr 13:30-17:30,0158346998,,,"1,2",,,,3,,CD93,199
165,Cyber-Base Emploi - Espace Mde,Jean-Pierre Nonga,32 34 avenue Salvador Allende,93800,Epinay-sur-Seine,"Mo-Th 09:30-12:00,13:30-17:00",0171863810,mde.epinay@plainecommune.com.fr,,"1,2",,,,3,"114,111,333",CD93,28
166,Espace Info Jeunes,Abbes Benazzouz,33 rue de Paris,93800,Epinay-sur-Seine,"Mo,We 10:00-12:30,13:30-19:00; Tu,Fr 13:30-19:00; Th 13:30-18:00",0149713500,pij@epinay-sur-seine.fr,http://www.epinay-sur-seine.fr/les_espaces_jeunesse_et_ressources.html,1,,,,3,"402,403,405,406",CD93,52
167,Espace Jeunesse du Centre-Ville,Hannan Ait-Hamid,5 rue Dumas,93800,Epinay-sur-Seine,"Tu-Fr 13:30-18:45; We,Sa 15:00-18:45",0148214102,jeunesse.centreville@epinay-sur-seine.fr,,"1,2",,,,3,,CD93,54
168,Espace Jeunesse Econdeaux,Latifa Kassem,Parc de la Chevrette,93800,Epinay-sur-Seine,"Mo 14:30-19:00; Tu,Th 10:00-12:30,13:30-19:00; We 14:30-20:00; Fr 10:00-12:30,13:30-20:00",0149710219,,,"1,2,3",,,,2,,CD93,53
169,Espace Jeunesse Orgemont,Hannan Aït Hamid,31 rue de Marseille,93800,Epinay-sur-Seine,"Tu-Fr 16:30-18:45; We,Sa 15:00-18:45",0148415007,jeunesse.orgemont@epinay-sur-seine.fr,,"1,2,3",,,,2,"335,319,321,322",CD93,57
170,Forma Web,Nicolas Bousquet,56 avenue de la Marne,93800,Epinay-sur-Seine,"Mo-Fr 16:30-20:30; We,Sa 14:00-20:00",,nicolasbousquet@format-web.org,,"1,2",,,,5,"333,519,715,712",CD93,176
171,Médiathèque Colette,Francis Delatour,49 rue de Paris,93800,Epinay-sur-Seine,"Tu,Th 15:00-19:30; We,Fr,Sa 10:00-18:00",0171863500,antoine.boisset@plainecommune.fr,http://www.mediatheques-plainecommune.fr/colette,"1,2",,,,3,333,CD93,56
172,Médiathèque Jules Vallès Maison du Théâtre et de la Danse,,75 avenue de la Marne,93800,Epinay-sur-Seine,"Tu,Fr 16:00-18:00; We,Sa 10:00-12:00,14:00-18:00",0171863891,,http://www.mediatheques-plainecommune.fr/jules-valles,1,,,,3,,CD93,41
173,Sfmad,Geneviève Nda,27 rue Félix Merlin,93800,Epinay-sur-Seine,,,sfm.ad@sfmad.fr,,"1,2",,,,3,"110,111,112,113,114,115,333,335,334,601,602,604",CD93,774
174,Accueil Emploi 26 Ans,,137 bis avenue du General Leclerc,94700,Maisons-Alfort,"Mo-Fr 09:00-12:00,14:00-17:00; Th 09:00-12:00",0143789500,,,"1,2",,,,1,"110,111,112,113,114,115",CD94,
175,Aef 94 Association,,111 rue Paul Hochart,94240,L'Haÿ-les-Roses,"Mo-Fr 09:00-12:30,13:30-17:00",0146861269,accueil@aef94.fr,,"1,2",,,,3,"332,333,334,335,336,337",CD94,
176,Association Fontaine A Mots,,3 rue des Ormes,94120,Fontenay-sous-Bois,"Mo-Th 09:30-12:00,14:00-17:00; Fr 09:30-12:00,14:00-15:45",0148764969,fontaineamots@orange.fr,,"1,2",,,,3,"332,333,334,335,336,337",CD94,
177,Association Les Quatres Saisons,,45 bis avenue Gabriel Peri,94170,Le Perreux-sur-Marne,Mo 10:30-12:30,0960535101,,,"1,2",,,,3,"332,333,334,335,336,337,502,505,509,517,518,520,525,",CD94,
178,Association Alef,,14-16 rue Germain Pinson,94400,Vitry-sur-Seine,"Mo-Th 09:00-12:00,14:00-17:00; We,Fr 09:00-12:00",0147180673,alef.accueilplus@orange.fr,www.vitry94.fr,"1,2",,,,2,"332,333,334,335,336,337,203,204,205,208,209,212,214",CD94,
179,Bibliotheque Anatole France,,51 rue du General de Gaulle,94290,Villeneuve-le-Roi,"Tu,Fr 10:00-12:30,16:00-18:00; We,Sa 10:00-12:00,14:00-18:00",0149619230,bibvlr.villeneuve@ville-villeneuve-le-roi.fr,,"1,2",,,,3,"332,333,334,335,336,337,203,204,205,208,209,212,214,724",CD94,
180,Bibliotheque Cavanna,,36 boulevard Gallieni,94130,Nogent-Sur-Marne,Tu-Sa 10:00-18:00; We 10:00-19:00; Fr 14:00-19:00,0148731462,bibliotheque@ville-nogentsurmarne.fr,www.bibliotheque-nogentsurmarne.fr,"1,2",,,,3,"332,333,334,335,336,337,203,204,205,208,209,212,214,724",CD94,
181,Bibliotheque Centrale,,11 rue Camille Desmoulins,94230,Cachan,"Tu,Fr 14:00-18:00; We 10:00-13:00,14:00-18:00; Sa 10:00-18:00",0149696160,,bibliotheque.ville-cachan.fr,"1,2",,,,3,"332,333,334,335,336,337,203,204,205,208,209,212,214,724",CD94,
182,Bibliotheque Espace Julien Duranton,,Place Paul Vaillant Couturier,94460,Valenton,"Tu 16:00-18:00; We,Sa 10:00-12:00,14:00-17:00; Fr 14:00-18:00",0143863781,,www.biblio.valenton.fr,"1,2",,,,3,"332,333,334,335,336,337,203,204,205,208,209,212,214,724",CD94,
183,Bibliotheque Gabriel Bourdin,,26 rue Maurice Tenine,94260,Fresnes,"Mo,Th 13:00-19:00; Tu,We 10:00-12:30,13:30-19:00; Fr 10:00-17:00",0178682710,secretariat.biblio@fresnes.fr,bm.fresnes94.fr,"1,2",,,,3,"332,333,334,335,336,337,203,204,205,208,209,212,214,724",CD94,
184,Bibliotheque Georges Sand,,21 rue Henri Thirard,94240,L'Haÿ-les-Roses,"Tu-Fr 14:00-18:00; We,Sa 10:00-13:00,14:00-18:00",0146645255,bibliotheque@vill-lhay94.fr,bibliotheque.lhaylesroses.fr,"1,2",,,,3,"332,333,334,335,336,337,203,204,205,208,209,212,214,724",CD94,
