"ID Exporter les données","Exporter les données","Horodateur","Nom SP","Statut","EPN","Nature","Ouverture","Mail SP","Adresse SP","CP","Commune","Tél SP","Site SP","Accès équipement","Type équipement","Fixe mobile équipement","Lieu mobilité équipement","Conditions accès équipement","Coût accès équipement","Horaires équipement","Médnum","Compétences médnum","Fixe mobile médnum","Lieu mobilité médnum","Conditions accès médnum","Accompagnement médnum","Coût accès médnum","Fréquence médnum","Horaires médnum","Démarches","Démarches spécifiques","Type démarches","Fixe mobile démarches","Lieu mobilité démarches","Conditions accès démarches","Accompagnement démarches","Coût accès démarches","Fréquence démarches","Horaires démarches","Stockage","Coût stockage","vente matériel","typé vente matériel","connaissance aptic","intéréssée aptic","connaissance picto","intéréssée picto","Publics spécifiques","Publics","Territoire","Quel territoire","PMR","Transports en commun","Collaboration","Autres structures partenaires","Autres offres","chéques APTIC","LIEN PICTO aptic","LIEN PICTO ACCES","PICTO","Latitude","Longitude"
"515","Maison de l'emploi et de la Formation du Boulonnais","2018","Maison de l'emploi et de la Formation du Boulonnais","Privé","Non","Pôle Emploi","Du lundi au vendredi : 08:30-12:00 et 13:30-17:30","dmakhloufi@emploi-boulonnais.fr","4 allée Boieldieu","62200","Boulogne-sur-Mer","03 21 87 60 72","http://www.boulogne-emploi.fr/index.php/cyber-base-emploi/","Oui","Au sein de la CyberBase Emploi, mise à disposition de l'Espace informatique : ordinateurs connectés internet, outils multimédia pour tout projet lié à l'emploi, à la formation ou encore à la création d’activité. Possibilité d'être accompagné par un animateur si nécessaire.","Dans un lieu d'accueil fixe","","Accès libre","","","Oui","Au sein de la CyberBase Emploi, un animateur accompagne le public dans l'utilisation de l'outil internet et multimédia pour mener à bien tout projet lié à l'emploi, à la formation ou encore à la création d’activité.","","","","Personnalisé","","","","Non","","","","","","","","","","Non","","Non","","","","","","","Tout public","","","","","","","","","","","http://hauts-de-france.drjscs.gouv.fr/sites/hauts-de-france.drjscs.gouv.fr/IMG/png/picto12.png","50,736263","1,609191"
"517","Maison de Services au Public/PIMMS Libercourt","2018","Maison de Services au Public/PIMMS Libercourt","Privé","Non","Maison de Service au Public (MSAP)","Lundi : 13:45-18:30 / Mardi et jeudi : 09:00-12:00 et 13:45-18:30 / Mercredi et vendredi : 09:00-12:00 et 13:45-17:30","artois-gohelle@pimms.org","Place de la gare","62820","Libercourt","03 91 83 18 65","https://www.maisondeservicesaupublic.fr/content/libercourt","Oui","Mise à disposition d’ordinateurs avec connexion internet reliés à l’imprimante et au scanner","Dans un lieu d'accueil fixe","","Accès libre - accompagnement si besoin","Gratuit","","Non","","","","","","","","","Oui","Oui","Offre de proximité et de qualité afin de réaliser les démarches de la vie quotidienne.       Services proposés : Pôle Emploi ; Caisse nationale d’assurance maladie ; Caisse nationale d’assurance vieillesse ; Caisse nationale des allocations familiales ; La Poste ; Banque de France ; EDF ; Engie ; Préfecture ; SNCF       En un lieu unique :    - accueil, information sur les droits et prestations   - aide à l’utilisation des services en ligne : télé-déclarations ; création, suivi et mise à jour de son espace personnel en ligne   - orientation vers les partenaires, prise de rendez-vous","Dans un lieu d'accueil fixe","","","Individuel","Gratuit","","","Non","","Non","","","","","","","Tout public","","","Oui","","","","","","","","http://hauts-de-france.drjscs.gouv.fr/sites/hauts-de-france.drjscs.gouv.fr/IMG/png/picto13.png","50,473377","2,999911"
"519","Maison de Services au Public/PIMMS Lens","2018","Maison de Services au Public/PIMMS Lens","Privé","Non","Maison de Service au Public (MSAP)","Lundi : 13:30-17:15 / Du mardi au vendredi : 09:00-12:00 et 13:30-17:15","lens@pimms.org","49 place du Général De Gaulle","62300","Lens","03 21 28 78 17","","Oui","Mise à disposition d'ordinateurs avec connexion internet    Reliés à l’imprimante et au scanner","Dans un lieu d'accueil fixe","","Accès libre","Gratuit","","Oui","Accès libre avec possibilité d'être accompagné si besoin","Dans un lieu d'accueil fixe","","","Individuel","Gratuit","","","Oui","Oui","Offre de proximité et de qualité afin de réaliser les démarches de la vie quotidienne.       Services proposés : Pôle Emploi ; Caisse nationale d'assurance maladie ; Caisse nationale d'assurance vieillesse ; Caisse nationale des allocations familiales ; La Poste ; Banque de France ; EDF ; Engie ; Préfecture ; SNCF       En un lieu unique :    - accueil, information sur les droits et prestations   - aide à l'utilisation des services en ligne : télé-déclarations ; création, suivi et mise à jour de son espace personnel en ligne   - orientation vers les partenaires, prise de rendez-vous","Dans un lieu d'accueil fixe","","","Individuel","Gratuit","","","Non","","Non","","","","","","","Tout public","","","Oui","","","","","","","","http://hauts-de-france.drjscs.gouv.fr/sites/hauts-de-france.drjscs.gouv.fr/IMG/png/picto123.png","50,426611","2,829304"
"521","Maison de Services au Public/PIMMS Arras","2018","Maison de Services au Public/PIMMS Arras","Privé","Non","Maison de Service au Public (MSAP)","Lundi : 13:15-17:00 / Mardi : 09:00-17:45 / Du mercredi au vendredi : 09:00-12:00 et 13:45-17:00","arras@pimms.org","2 rue de Douai","62000","Arras","03 21 21 11 61","","Oui","Mise à disposition d'ordinateurs avec connexion internet    Reliés à l’imprimante et au scanner","Dans un lieu d'accueil fixe","","Accès libre","Gratuit","","Oui","Accès libre avec possibilité d'être accompagné si besoin","Dans un lieu d'accueil fixe","","","Individuel","Gratuit","","","Oui","Oui","Offre de proximité et de qualité afin de réaliser les démarches de la vie quotidienne.       Services proposés : Pôle Emploi ; Caisse nationale d'assurance maladie ; Caisse nationale d'assurance vieillesse ; Caisse nationale des allocations familiales ; La Poste ; Banque de France ; EDF ; Engie ; Préfecture ; SNCF       En un lieu unique :    - accueil, information sur les droits et prestations   - aide à l'utilisation des services en ligne : télé-déclarations ; création, suivi et mise à jour de son espace personnel en ligne   - orientation vers les partenaires, prise de rendez-vous","Dans un lieu d'accueil fixe","","","Individuel","Gratuit","","","Non","","Non","","","","","","","Tout public","","","Oui","","","","","","","","http://hauts-de-france.drjscs.gouv.fr/sites/hauts-de-france.drjscs.gouv.fr/IMG/png/picto123.png","50,288309","2,784196"
"523","Maison de Services au Public/PIMMS Bruay-la-Buissière","2018","Maison de Services au Public/PIMMS Bruay-la-Buissière","Privé","Non","Maison de Service au Public (MSAP)","Mercredi : 08:20-12:00 / Jeudi et vendredi : 08:30-12:00 et 13:30-16:30","artois@pimms.org","440 rue Christian et Honorat Bouillez","62700","Bruay-la-Buissière","03 21 52 99 73","","Oui","Mise à disposition d'ordinateurs avec connexion internet    Reliés à l’imprimante et au scanner","Dans un lieu d'accueil fixe","","Accès libre","Gratuit","","Oui","Accès libre avec possibilité d'être accompagné si besoin","Dans un lieu d'accueil fixe","","","Individuel","Gratuit","","","Oui","Oui","Offre de proximité et de qualité afin de réaliser les démarches de la vie quotidienne.       Services proposés : Pôle Emploi ; Caisse nationale d'assurance maladie ; Caisse nationale d'assurance vieillesse ; Caisse nationale des allocations familiales ; La Poste ; Banque de France ; EDF ; Engie ; Préfecture ; SNCF       En un lieu unique :    - accueil, information sur les droits et prestations   - aide à l'utilisation des services en ligne : télé-déclarations ; création, suivi et mise à jour de son espace personnel en ligne   - orientation vers les partenaires, prise de rendez-vous","Dans un lieu d'accueil fixe","","","Individuel","Gratuit","","","Non","","Non","","","","","","","Tout public","","","Oui","","","","","","","","http://hauts-de-france.drjscs.gouv.fr/sites/hauts-de-france.drjscs.gouv.fr/IMG/png/picto123.png","50,485057","2,547012"
"541","Maison de Services au Public/PIMMS Bruay-la-Buissière","2018","Maison de Services au Public/PIMMS Bruay-la-Buissière","Privé","Non","Maison de Service au Public (MSAP)","Contacter le PIMMS pour obtenir le calendrier","artois@pimms.org","90 rue Jean Jaurès","62530","Hersin-Coupigny","03 21 52 99 73","","Oui","Minibus équipé en ordinateurs et tablettes mis à disposition  avec connexion internet    Reliés à l’imprimante","Dans un lieu d'accueil fixe","","Accès libre","Gratuit","","Non","","","","","","","","","Oui","","Accès libre avec accompagnement personnalisé sur demande","Dans un lieu d'accueil mobile","","Tout public","Individuel","Gratuit","","","Non","","Non","","","","","","","Tout public","","","","","","","","","","","http://hauts-de-france.drjscs.gouv.fr/sites/hauts-de-france.drjscs.gouv.fr/IMG/png/picto13.png","50,445136","2,646559"
"542","Maison de Services au Public/PIMMS Bruay-la-Buissière","2018","Maison de Services au Public/PIMMS Bruay-la-Buissière","Privé","Non","Maison de Service au Public (MSAP)","Contacter le PIMMS pour obtenir le calendrier","artois@pimms.org","2 place Roger Salengro","62660","Beuvry","03 21 52 99 73","","Oui","Minibus équipé en ordinateurs et tablettes mis à disposition  avec connexion internet    Reliés à l’imprimante","Dans un lieu d'accueil fixe","","Accès libre","Gratuit","","Non","","","","","","","","","Oui","","Pôle Emploi ; Caisse nationale d'assurance maladie ; Caisse nationale d'assurance vieillesse ; Caisse nationale des allocations familiales ; La Poste ; Banque de France ; EDF ; Engie ; Préfecture ; SNCF","Dans un lieu d'accueil mobile","","Tout public","Individuel","Gratuit","","","Non","","Non","","","","","","","Tout public","","","","","","","","","","","http://hauts-de-france.drjscs.gouv.fr/sites/hauts-de-france.drjscs.gouv.fr/IMG/png/picto13.png","50,521805","2,682366"
"543","Maison de Services au Public/PIMMS Bruay-la-Buissière","2018","Maison de Services au Public/PIMMS Bruay-la-Buissière","Privé","Non","Maison de Service au Public (MSAP)","Contacter le PIMMS pour obtenir le calendrier","artois@pimms.org","","62145","Estrée-Blanche","03 21 52 99 73","","Oui","Minibus équipé en ordinateurs et tablettes mis à disposition  avec connexion internet    Reliés à l’imprimante","Dans un lieu d'accueil fixe","","Accès libre","Gratuit","","Non","","","","","","","","","Oui","","Pôle Emploi ; Caisse nationale d'assurance maladie ; Caisse nationale d'assurance vieillesse ; Caisse nationale des allocations familiales ; La Poste ; Banque de France ; EDF ; Engie ; Préfecture ; SNCF","Dans un lieu d'accueil mobile","","Tout public","Individuel","Gratuit","","","Non","","Non","","","","","","","Tout public","","","","","","","","","","","http://hauts-de-france.drjscs.gouv.fr/sites/hauts-de-france.drjscs.gouv.fr/IMG/png/picto13.png","50,589634","2,314293"
"544","Maison de Services au Public/PIMMS Bruay-la-Buissière","2018","Maison de Services au Public/PIMMS Bruay-la-Buissière","Privé","Non","Maison de Service au Public (MSAP)","Contacter le PIMMS pour obtenir le calendrier","artois@pimms.org","","62330","Isbergue","03 21 52 99 73","","Oui","Minibus équipé en ordinateurs et tablettes mis à disposition  avec connexion internet    Reliés à l’imprimante","Dans un lieu d'accueil fixe","","Accès libre","Gratuit","","Non","","","","","","","","","Oui","","Pôle Emploi ; Caisse nationale d'assurance maladie ; Caisse nationale d'assurance vieillesse ; Caisse nationale des allocations familiales ; La Poste ; Banque de France ; EDF ; Engie ; Préfecture ; SNCF","Dans un lieu d'accueil mobile","","Tout public","Individuel","Gratuit","","","Non","","Non","","","","","","","Tout public","","","","","","","","","","","http://hauts-de-france.drjscs.gouv.fr/sites/hauts-de-france.drjscs.gouv.fr/IMG/png/picto13.png","50,612572","2,460676"
"545","Maison de Services au Public/PIMMS Bruay-la-Buissière","2018","Maison de Services au Public/PIMMS Bruay-la-Buissière","Privé","Non","Maison de Service au Public (MSAP)","Contacter le PIMMS pour obtenir le calendrier","artois@pimms.org","Place de la Mairie","62138","Douvrin","03 21 52 99 73","","Oui","Minibus équipé en ordinateurs et tablettes mis à disposition  avec connexion internet    Reliés à l’imprimante","Dans un lieu d'accueil fixe","","Accès libre","Gratuit","","Non","","","","","","","","","Oui","","Accès libre avec accompagnement personnalisé sur demande","Dans un lieu d'accueil mobile","","Tout public","Individuel","Gratuit","","","Non","","Non","","","","","","","Tout public","","","","","","","","","","","http://hauts-de-france.drjscs.gouv.fr/sites/hauts-de-france.drjscs.gouv.fr/IMG/png/picto13.png","50,508294","2,829633"
"546","Maison de Services au Public/PIMMS Bruay-la-Buissière","2018","Maison de Services au Public/PIMMS Bruay-la-Buissière","Privé","Non","Maison de Service au Public (MSAP)","Contacter le PIMMS pour obtenir le calendrier","artois@pimms.org","144 rue du Général De Gaulle","62138","Billy-Berclau","03 21 52 99 73","","Oui","Minibus équipé en ordinateurs et tablettes mis à disposition  avec connexion internet    Reliés à l’imprimante","Dans un lieu d'accueil fixe","","Accès libre","Gratuit","","Non","","","","","","","","","Oui","","Pôle Emploi ; Caisse nationale d'assurance maladie ; Caisse nationale d'assurance vieillesse ; Caisse nationale des allocations familiales ; La Poste ; Banque de France ; EDF ; Engie ; Préfecture ; SNCF","Dans un lieu d'accueil mobile","","Tout public","Individuel","Gratuit","","","Non","","Non","","","","","","","Tout public","","","","","","","","","","","http://hauts-de-france.drjscs.gouv.fr/sites/hauts-de-france.drjscs.gouv.fr/IMG/png/picto13.png","50,519341","2,86812"
"547","Maison de Services au Public/PIMMS Bruay-la-Buissière","2018","Maison de Services au Public/PIMMS Bruay-la-Buissière","Privé","Non","Maison de Service au Public (MSAP)","Contacter le PIMMS pour obtenir le calendrier","artois@pimms.org","","62120","Norrent-Fontes","03 21 52 99 73","","Oui","Minibus équipé en ordinateurs et tablettes mis à disposition  avec connexion internet    Reliés à l’imprimante","Dans un lieu d'accueil fixe","","Accès libre","Gratuit","","Non","","","","","","","","","Oui","","Pôle Emploi ; Caisse nationale d'assurance maladie ; Caisse nationale d'assurance vieillesse ; Caisse nationale des allocations familiales ; La Poste ; Banque de France ; EDF ; Engie ; Préfecture ; SNCF","Dans un lieu d'accueil mobile","","Tout public","Individuel","Gratuit","","","Non","","Non","","","","","","","Tout public","","","","","","","","","","","http://hauts-de-france.drjscs.gouv.fr/sites/hauts-de-france.drjscs.gouv.fr/IMG/png/picto13.png","50,580348","2,410454"
"548","Maison de Services au Public/PIMMS Bruay-la-Buissière","2018","Maison de Services au Public/PIMMS Bruay-la-Buissière","Privé","Non","Maison de Service au Public (MSAP)","Contacter le PIMMS pour obtenir le calendrier","artois@pimms.org","Rue du 11 Novembre","62470","Camblain-Châtelain","03 21 52 99 73","","Oui","Minibus équipé en ordinateurs et tablettes mis à disposition  avec connexion internet    Reliés à l’imprimante","Dans un lieu d'accueil fixe","","Accès libre","Gratuit","","Non","","","","","","","","","Oui","","Pôle Emploi ; Caisse nationale d'assurance maladie ; Caisse nationale d'assurance vieillesse ; Caisse nationale des allocations familiales ; La Poste ; Banque de France ; EDF ; Engie ; Préfecture ; SNCF","Dans un lieu d'accueil mobile","","Tout public","Individuel","Gratuit","","","Non","","Non","","","","","","","Tout public","","","","","","","","","","","http://hauts-de-france.drjscs.gouv.fr/sites/hauts-de-france.drjscs.gouv.fr/IMG/png/picto13.png","50,484773","2,464317"
"549","Maison de Services au Public/PIMMS Bruay-la-Buissière","2018","Maison de Services au Public/PIMMS Bruay-la-Buissière","Privé","Non","Maison de Service au Public (MSAP)","Contacter le PIMMS pour obtenir le calendrier","artois@pimms.org","","62151","Burbure","03 21 52 99 73","","Oui","Minibus équipé en ordinateurs et tablettes mis à disposition  avec connexion internet    Reliés à l’imprimante","Dans un lieu d'accueil fixe","","Accès libre","Gratuit","","Non","","","","","","","","","Oui","","Pôle Emploi ; Caisse nationale d'assurance maladie ; Caisse nationale d'assurance vieillesse ; Caisse nationale des allocations familiales ; La Poste ; Banque de France ; EDF ; Engie ; Préfecture ; SNCF","Dans un lieu d'accueil mobile","","Tout public","Individuel","Gratuit","","","Non","","Non","","","","","","","Tout public","","","","","","","","","","","http://hauts-de-france.drjscs.gouv.fr/sites/hauts-de-france.drjscs.gouv.fr/IMG/png/picto13.png","50,525118","2,456756"
"550","Maison de Services au Public/PIMMS Bruay-la-Buissière","2018","Maison de Services au Public/PIMMS Bruay-la-Buissière","Privé","Non","Maison de Service au Public (MSAP)","Contacter le PIMMS pour obtenir le calendrier","artois@pimms.org","","62136","Richebourg","03 21 52 99 73","","Oui","Minibus équipé en ordinateurs et tablettes mis à disposition  avec connexion internet    Reliés à l’imprimante","Dans un lieu d'accueil fixe","","Accès libre","Gratuit","","Non","","","","","","","","","Oui","","Pôle Emploi ; Caisse nationale d'assurance maladie ; Caisse nationale d'assurance vieillesse ; Caisse nationale des allocations familiales ; La Poste ; Banque de France ; EDF ; Engie ; Préfecture ; SNCF","Dans un lieu d'accueil mobile","","Tout public","Individuel","Gratuit","","","Non","","Non","","","","","","","Tout public","","","","","","","","","","","http://hauts-de-france.drjscs.gouv.fr/sites/hauts-de-france.drjscs.gouv.fr/IMG/png/picto13.png","50,560881","2,71907"
"551","Maison de Services au Public/PIMMS Bruay-la-Buissière","2018","Maison de Services au Public/PIMMS Bruay-la-Buissière","Privé","Non","Maison de Service au Public (MSAP)","Contacter le PIMMS pour obtenir le calendrier","artois@pimms.org","","62260","Amettes","03 21 52 99 73","","Oui","Minibus équipé en ordinateurs et tablettes mis à disposition  avec connexion internet    Reliés à l’imprimante","Dans un lieu d'accueil fixe","","Accès libre","Gratuit","","Non","","","","","","","","","Oui","","Pôle Emploi ; Caisse nationale d'assurance maladie ; Caisse nationale d'assurance vieillesse ; Caisse nationale des allocations familiales ; La Poste ; Banque de France ; EDF ; Engie ; Préfecture ; SNCF","Dans un lieu d'accueil mobile","","Tout public","Individuel","Gratuit","","","Non","","Non","","","","","","","Tout public","","","","","","","","","","","http://hauts-de-france.drjscs.gouv.fr/sites/hauts-de-france.drjscs.gouv.fr/IMG/png/picto13.png","50,526989","2,384282"
"552","Maison de Services au Public/PIMMS Bruay-la-Buissière","2018","Maison de Services au Public/PIMMS Bruay-la-Buissière","Privé","Non","Maison de Service au Public (MSAP)","Contacter le PIMMS pour obtenir le calendrier","artois@pimms.org","","62460","Divion","03 21 52 99 73","","Oui","Minibus équipé en ordinateurs et tablettes mis à disposition  avec connexion internet    Reliés à l’imprimante","Dans un lieu d'accueil fixe","","Accès libre","Gratuit","","Non","","","","","","","","","Oui","","Accès libre avec accompagnement personnalisé sur demande","Dans un lieu d'accueil mobile","","Tout public","Individuel","Gratuit","","","Non","","Non","","","","","","","Tout public","","","","","","","","","","","http://hauts-de-france.drjscs.gouv.fr/sites/hauts-de-france.drjscs.gouv.fr/IMG/png/picto13.png","50,465138","2,496749"
"553","Maison de Services au Public/PIMMS Bruay-la-Buissière","2018","Maison de Services au Public/PIMMS Bruay-la-Buissière","Privé","Non","Maison de Service au Public (MSAP)","Contacter le PIMMS pour obtenir le calendrier","artois@pimms.org","","62540","Marles-les-Mines","03 21 52 99 73","","Oui","Minibus équipé en ordinateurs et tablettes mis à disposition  avec connexion internet    Reliés à l’imprimante","Dans un lieu d'accueil fixe","","Accès libre","Gratuit","","Non","","","","","","","","","Oui","","Pôle Emploi ; Caisse nationale d'assurance maladie ; Caisse nationale d'assurance vieillesse ; Caisse nationale des allocations familiales ; La Poste ; Banque de France ; EDF ; Engie ; Préfecture ; SNCF","Dans un lieu d'accueil mobile","","Tout public","Individuel","Gratuit","","","Non","","Non","","","","","","","Tout public","","","","","","","","","","","http://hauts-de-france.drjscs.gouv.fr/sites/hauts-de-france.drjscs.gouv.fr/IMG/png/picto13.png","50,500541","2,497574"
"554","Maison de Services au Public/PIMMS Bruay-la-Buissière","2018","Maison de Services au Public/PIMMS Bruay-la-Buissière","Privé","Non","Maison de Service au Public (MSAP)","Contacter le PIMMS pour obtenir le calendrier","artois@pimms.org","","62190","Lillers","03 21 52 99 73","","Oui","Minibus équipé en ordinateurs et tablettes mis à disposition  avec connexion internet    Reliés à l’imprimante","Dans un lieu d'accueil fixe","","Accès libre","Gratuit","","Non","","","","","","","","","Oui","","Pôle Emploi ; Caisse nationale d'assurance maladie ; Caisse nationale d'assurance vieillesse ; Caisse nationale des allocations familiales ; La Poste ; Banque de France ; EDF ; Engie ; Préfecture ; SNCF","Dans un lieu d'accueil mobile","","Tout public","Individuel","Gratuit","","","Non","","Non","","","","","","","Tout public","","","","","","","","","","","http://hauts-de-france.drjscs.gouv.fr/sites/hauts-de-france.drjscs.gouv.fr/IMG/png/picto13.png","50,544408","2,471352"
"555","Maison de Services au Public/PIMMS Bruay-la-Buissière","2018","Maison de Services au Public/PIMMS Bruay-la-Buissière","Privé","Non","Maison de Service au Public (MSAP)","Contacter le PIMMS pour obtenir le calendrier","artois@pimms.org","","62470","Calonne-Ricouart","03 21 52 99 73","","Oui","Minibus équipé en ordinateurs et tablettes mis à disposition  avec connexion internet    Reliés à l’imprimante","Dans un lieu d'accueil fixe","","Accès libre","Gratuit","","Non","","","","","","","","","Oui","","Pôle Emploi ; Caisse nationale d'assurance maladie ; Caisse nationale d'assurance vieillesse ; Caisse nationale des allocations familiales ; La Poste ; Banque de France ; EDF ; Engie ; Préfecture ; SNCF","Dans un lieu d'accueil mobile","","Tout public","Individuel","Gratuit","","","Non","","Non","","","","","","","Tout public","","","","","","","","","","","http://hauts-de-france.drjscs.gouv.fr/sites/hauts-de-france.drjscs.gouv.fr/IMG/png/picto13.png","50,489254","2,510436"
"556","Maison de Services au Public/PIMMS Bruay-la-Buissière","2018","Maison de Services au Public/PIMMS Bruay-la-Buissière","Privé","Non","Maison de Service au Public (MSAP)","Contacter le PIMMS pour obtenir le calendrier","artois@pimms.org","","62290","Noeux-les-Mines","03 21 52 99 73","","Oui","Minibus équipé en ordinateurs et tablettes mis à disposition  avec connexion internet    Reliés à l’imprimante","Dans un lieu d'accueil fixe","","Accès libre","Gratuit","","Non","","","","","","","","","Oui","Oui","Pôle Emploi ; Caisse nationale d'assurance maladie ; Caisse nationale d'assurance vieillesse ; Caisse nationale des allocations familiales ; La Poste ; Banque de France ; EDF ; Engie ; Préfecture ; SNCF","Dans un lieu d'accueil mobile","","","Individuel","Gratuit","","","Non","","Non","","","","","","","Tout public","","","","","","","","","","","http://hauts-de-france.drjscs.gouv.fr/sites/hauts-de-france.drjscs.gouv.fr/IMG/png/picto13.png","50,483747","2,659407"
"557","Maison de Services au Public d'Ault","2018","Maison de Services au Public d'Ault","Privé","Non","Maison de Service au Public (MSAP)","Du lundi au vendredi : 09:00-12:00 et 14:00-16:30 / Samedi :  09:00-12:00","msap.ault@laposte.fr","Grande Rue","80460","Ault","","https://www.maisondeservicesaupublic.fr/content/ault-bureau-de-poste","Oui","Mise à disposition de deux ordinateurs avec connexion internet - Reliés à l’imprimante et au scanner - Connexion WiFi - Borne « services publics »","Dans un lieu d'accueil fixe","","Accès libre","Gratuit","","Oui","Accompagnement personnalisé sur demande","Dans un lieu d'accueil fixe","","","Individuel","Gratuit","","","Oui","Oui","Offre de proximité et de qualité afin de réaliser les démarches de la vie quotidienne.       Services proposés : Pôle Emploi ; Caisse nationale d'assurance maladie ; Caisse nationale d'assurance vieillesse ; Caisse nationale des allocations familiales ; Caisse centrale de la mutualité sociale agricole ; GRDF ; La Poste      En un lieu unique :    - accueil, information sur les droits et prestations   - aide à l'utilisation des services en ligne : télé-déclarations ; création, suivi et mise à jour de son espace personnel en ligne   - orientation vers les partenaires, prise de rendez-vous","Dans un lieu d'accueil fixe","","","Individuel","Gratuit","","","Non","","Non","","","","","","","Tout public","","","Non","","","","","","","","http://hauts-de-france.drjscs.gouv.fr/sites/hauts-de-france.drjscs.gouv.fr/IMG/png/picto123.png","50,100787","1,448847"
"559","Maison de Services au Public d'Amiens Etouvie","2018","Maison de Services au Public d'Amiens Etouvie","Public","Non","Maison de Service au Public (MSAP)","Du lundi au vendredi 9:00-12:30 et 13:30-17:00","msapamiensetouvie@amiens-metropole.com","3 place du Pays d’Auge","80000","Amiens","03 22 97 15 82","https://www.maisondeservicesaupublic.fr/content/amiens-etouvie","Oui","Mise à disposition de deux ordinateurs avec connexion internet - Reliés à l’imprimante et au scanner - Connexion WiFi - Borne « services publics »","Dans un lieu d'accueil fixe","","Accès libre","Gratuit","","Oui","Accompagnement personnalisé sur demande","Dans un lieu d'accueil fixe","","","Individuel","Gratuit","","","Oui","Oui","Offre de proximité et de qualité afin de réaliser les démarches de la vie quotidienne.       Services proposés : Pôle Emploi ; Caisse nationale d'assurance maladie ; Caisse nationale d'assurance vieillesse ; Caisse nationale des allocations familiales ; Caisse centrale de la mutualité sociale agricole ; GRDF ; Agence départementale d'Information sur le logement (ADIL) ; Agence nationale des titres sécurisés (ANTS) ; Bailleurs sociaux ; CAP Emploi ; Centre communal d’action sociale (CCAS) ; Conseil départemental ; Conseil départemental d'accès aux droits ; Croix-Rouge ; Défenseur des droits ; EDF ; Engie ; Plan local pour l'insertion et l'emploi (PLIE) ; Point d'accès aux droits ; Point Info Jeunesse ; Point Protection Maternelle Infantile ; Préfecture ; Trésor Public ; Union départementale des associations familiales (UDAF) ; MDPH ; Agent de développement local d’intégration ; CARSAT ; CIDFF80 ; UDAF ; service état civil de Nantes ; Mission Locale Insertion, Formation et Emploi; Direction générale des services publics ; tous les partenaires institutionnels et associatifs ayant une mission de service public       En un lieu unique :    - accueil, information sur les droits et prestations   - aide à l'utilisation des services en ligne : télé-déclarations ; création, suivi et mise à jour de son espace personnel en ligne   - orientation vers les partenaires, prise de rendez-vous","Dans un lieu d'accueil fixe","","","Individuel","Gratuit","","","Non","","Non","","","","","","","Tout public","","","Oui","","","","","","","","http://hauts-de-france.drjscs.gouv.fr/sites/hauts-de-france.drjscs.gouv.fr/IMG/png/picto123.png","49,913652","2,253505"
"561","Maison de Services au Public d'Amiens Nord","2018","Maison de Services au Public d'Amiens Nord","Public","Non","Maison de Service au Public (MSAP)","Du lundi au vendredi 9:00-12:30 et 13:30-17:00","msapamiensnord@amiens-metropole.com","39 avenue de la Paix","80000","Amiens","03 22 66 10 28","https://www.maisondeservicesaupublic.fr/content/amiens-nord","Oui","Mise à disposition de deux ordinateurs avec connexion internet - Reliés à l’imprimante et au scanner - Connexion WiFi - Borne « services publics »","Dans un lieu d'accueil fixe","","Accès libre","Gratuit","","Oui","Accompagnement personnalisé sur demande","Dans un lieu d'accueil fixe","","","Individuel","Gratuit","","","Oui","Oui","Offre de proximité et de qualité afin de réaliser les démarches de la vie quotidienne.       Services proposés : Pôle Emploi ; Caisse nationale d'assurance maladie ; Caisse nationale d'assurance vieillesse ; Caisse nationale des allocations familiales ; Caisse centrale de la mutualité sociale agricole ; GRDF ; Agence départementale d'Information sur le logement (ADIL) ; Agence nationale des titres sécurisés (ANTS) ; Bailleurs sociaux ; CAP Emploi ; Centre communal d’action sociale (CCAS) ; Conseil départemental ; Conseil départemental d'accès aux droits ; Croix-Rouge ; Défenseur des droits ; EDF ; Engie ; Plan local pour l'insertion et l'emploi (PLIE) ; Point d'accès aux droits ; Point Info Jeunesse ; Point Protection Maternelle Infantile ; Préfecture ; Trésor Public ; Union départementale des associations familiales (UDAF) ; MDPH ; Agent de développement local d’intégration ; CARSAT ; CIDFF80 ; UDAF ; service état civil de Nantes ; Mission Locale Insertion, Formation et Emploi; Direction générale des services publics ; tous les partenaires institutionnels et associatifs ayant une mission de service public       En un lieu unique :    - accueil, information sur les droits et prestations   - aide à l'utilisation des services en ligne : télé-déclarations ; création, suivi et mise à jour de son espace personnel en ligne   - orientation vers les partenaires, prise de rendez-vous","Dans un lieu d'accueil fixe","","","Individuel","Gratuit","","","Non","","Non","","","","","","","Tout public","","","Oui","","","","","","","","http://hauts-de-france.drjscs.gouv.fr/sites/hauts-de-france.drjscs.gouv.fr/IMG/png/picto123.png","49,911771","2,306852"
