Num;Nom de votre structure;Nature de votre structure;Adresse e-mail de votre structure;Numéro de téléphone de votre structure;Site internet de votre structure;Numéro de rue;Nom de rue;Code postal;Ville;Accompagnez-vous des publics spécifiques?;Quel type d'accompagnement ?;Quels sont les horaires;Quelles sont les conditions d'accès à vos services ? (adhésion préalable, prise de rdv,...);Quels sont les tarifs appliqués ?;Quel(s) service(s) proposez-vous?;Quel type d'équipement est en accès libre ?;Dans quel(s) domaine(s) proposez-vous une assistance ?;Quelles actions de formation et/ou d'accompagnement proposez-vous ?;Précision et complément d'information sur vos actions de formation et/ou d'accompagnement ?;;Présentation sommaire de votre structure (max 200 caractères);Présentation globale de l'implication de votre structure en matière d'inclusion numérique (max 200 caractères)
34;SYLLABE;Pate forme de lutte contre l'illettrisme;accueil.syllabe@orange.fr;553878467;aucun;Maison pour tous;Avenue Gaston Carrère;47110;SAINTE LIVRADE SUR LOT;Tout public;Individuel;le mercredi 9h - 12h30  14h- 18h ;prise de rendez-vous assortie d'une prescription par toute structure accompagnant du public professionnellement ou socialement;gratuité;évaluation des compétences de base, compétences numériques de base;;;suite au diagnostic orientation vers formation adaptée aux besoins de la personne;nous ne sommes pas prestataires de formation, nous orientons et suivons le parcours;J’accepte les présentes Conditions Générales d'utilisation.;;
35;Cyan47;Conseiller Formateur Numérique;yann.couteau@cyan47.fr;608347202;www.cyan47.fr;;Déplacement;47000;Agen, Saint Caprais de Lerm, Boé, Bon-encontre, Castelculier, Lafox, Pont du casse, Foulayronnes, Le passage...;Plus de 60 ans, Moins de 26 ans, Bénéficiaires du RSA, Personnes en recherche d'emploi, Professionnels;Individuel, Collectif;Lundi au vendredi 9h - 17h;prise de RDV;Fonction de l'accompagnement et de la taille du groupe;Assistance ponctuelle / coup de pouce (faire avec l'usager), Accompagnement dans des démarches spécifiques (apprendre à faire), Visibilité numérique des TPE (création de site internet et réseaux sociaux);;Citoyenneté - Etat-civil (Carte d'identité, acte de naissance, passeport...), Transport (Carte grise, permis de conduire, achat billet de train...), Santé (Carte Vitale, handicap...), Social (Allocations familiales, RSA...), Logement (Allocation logement, permis de construire, fin de bail...), Emploi (Recherche d'emploi, création d'entreprise...), Retraite (Allocations retraite...), Justice (Dépôt de plainte, casier judiciaire...), Fiscalité (Impôts...), Loisir (Culture, sport, vie associative...);Découverte des compétences numériques de base, Culture et identité numérique, Utilisation de services dématérialisés en ligne (Démarches administratives, démarches personnelles...), Insertion professionnelle (CV, emploi store, recherche d'emploi...), Utilisation de réseaux sociaux;;J’accepte les présentes Conditions Générales d'utilisation.;;
36;FEUGAROLLES;Commune (Mairie, CCAS, Centre Culturel, Centre Social...);mairiefeugarolles@collectivite47.fr;553952062;www.feugarolles.fr;;Rue Gérard Duvergé;47230;FEUGAROLLES;Tout public;Individuel;Tous les matins 8h-12h, lundi 13h-17h et mercredi 14h-16h;aux heures d'ouverture du secrétariat;/;Conseil et orientation vers un partenaire;;Citoyenneté - Etat-civil (Carte d'identité, acte de naissance, passeport...), Logement (Allocation logement, permis de construire, fin de bail...), Etranger (Titres de séjour, attestation d'accueil, demande d'asile...);;On accompagne les administrés et on les dirige vers les partenaires concernés;J’accepte les présentes Conditions Générales d'utilisation.;;
37;Commune de Laroque-Timbaut;Commune (Mairie, CCAS, Centre Culturel, Centre Social...);mairie@laroque-timbaut.fr;553957136;www.laroque-timbaut.fr;;place de l'Hôtel de Ville;47340;Laroque-Timbaut;Tout public;Individuel;"Lundi : 9h-12h et 14h-17h30
Mardi : 9h-12h
Mercredi : 9h-12h et 14h-18h30
Jeudi : 8h-12h
Vendredi : 9h-12h et 14h-17h";RDV obligatoire pour les passeports et CNI uniquement;0;Conseil et orientation vers un partenaire, Assistance ponctuelle / coup de pouce (faire avec l'usager);;Citoyenneté - Etat-civil (Carte d'identité, acte de naissance, passeport...);;;J’accepte les présentes Conditions Générales d'utilisation.;;
38;Maison France Service du Pays de Duras;Maison France Services;ppms.duras@wanadoo.fr;553203838;http://www.cc-paysdeduras.fr/wa_25.html;14;Boulevard Jeran Brisseau;47120;Duras;Tout public;Individuel;Du lundi au vendredi 9h00-12h30 et 13h30-17h00;Libre ou sur rendez-vous;accès informatique gratuit - (services particuliers selon grille tarifaire) ;Accés libre au matériel informatique, Conseil et orientation vers un partenaire, Assistance ponctuelle / coup de pouce (faire avec l'usager), Accompagnement dans des démarches spécifiques (apprendre à faire);Ordinateur (fixe ou portable), Connexion WIFI;Citoyenneté - Etat-civil (Carte d'identité, acte de naissance, passeport...), Transport (Carte grise, permis de conduire, achat billet de train...), Santé (Carte Vitale, handicap...), Social (Allocations familiales, RSA...), Logement (Allocation logement, permis de construire, fin de bail...), Emploi (Recherche d'emploi, création d'entreprise...), Retraite (Allocations retraite...), Justice (Dépôt de plainte, casier judiciaire...), Fiscalité (Impôts...), Etranger (Titres de séjour, attestation d'accueil, demande d'asile...), Loisir (Culture, sport, vie associative...);Découverte des compétences numériques de base, Culture et identité numérique, Utilisation de services dématérialisés en ligne (Démarches administratives, démarches personnelles...), Insertion professionnelle (CV, emploi store, recherche d'emploi...);;J’accepte les présentes Conditions Générales d'utilisation.;;
39;CCAS DE LA COMMUNE DE LAYRAC;Commune (Mairie, CCAS, Centre Culturel, Centre Social...);ccas.layrac@orange.fr;553870270;https://www.ville-layrac.fr;18;place Jean Jaurès;47390;layrac;Tout public;Individuel;LUNDI MARDI JEUDI VENDREDI DE 8 H 30 A 12 H ET DE 13 H A 17 H MERCREDI DE 8 H 30 A 12 H;prise de rendez-vous;gratuit;Accés libre au matériel informatique, Conseil et orientation vers un partenaire, Assistance ponctuelle / coup de pouce (faire avec l'usager), Accompagnement dans des démarches spécifiques (apprendre à faire);Ordinateur (fixe ou portable), Connexion WIFI;Santé (Carte Vitale, handicap...), Social (Allocations familiales, RSA...), Logement (Allocation logement, permis de construire, fin de bail...), Emploi (Recherche d'emploi, création d'entreprise...), Fiscalité (Impôts...);Utilisation de services dématérialisés en ligne (Démarches administratives, démarches personnelles...), Insertion professionnelle (CV, emploi store, recherche d'emploi...);;J’accepte les présentes Conditions Générales d'utilisation.;;
40;La cimade groupe local;Association;cimade47@lacimade.org;672368521;La cimade.org;21; rue Gabriel Griffon;47000;Agen;Droits des étrangers;Individuel;Mercredi 9h30 à 12h et jeudi 18 h à 20 h;Sur rendez-vous uniquement ;Gratuit;Conseil et orientation vers un partenaire, Assistance ponctuelle / coup de pouce (faire avec l'usager), Accompagnement dans des démarches spécifiques (apprendre à faire);Ordinateur (fixe ou portable), Imprimante, Scanner;Citoyenneté - Etat-civil (Carte d'identité, acte de naissance, passeport...), Etranger (Titres de séjour, attestation d'accueil, demande d'asile...);Utilisation de services dématérialisés en ligne (Démarches administratives, démarches personnelles...);;J’accepte les présentes Conditions Générales d'utilisation.;;
41;MAIRIE DE LAMONTJOIE;Commune (Mairie, CCAS, Centre Culturel, Centre Social...);mairie.lamontjoie@collectivite47.fr;553951119;;;Place Nemours;47310;LAMONTJOIE;Tout public;à la demande;Lundi/Jeudi 13 h 18 h - Samedi 8h30 12 h;les jours d'ouverture de la mairie;gratuit;Accés libre au matériel informatique, Assistance ponctuelle / coup de pouce (faire avec l'usager);Ordinateur (fixe ou portable), Imprimante, Connexion WIFI;Citoyenneté - Etat-civil (Carte d'identité, acte de naissance, passeport...), Transport (Carte grise, permis de conduire, achat billet de train...), Fiscalité (Impôts...);;;J’accepte les présentes Conditions Générales d'utilisation.;;
42;Mairie ;Commune (Mairie, CCAS, Centre Culturel, Centre Social...);mairiederuffiac47@orange.fr;553939021;ruffiac47.fr;209;route du Bourg;47700;ruffiac;Tout public;Collectif;jeudi à 19h00 / 2 fois par mois;adhésion à l'association;10€ l'année;Assistance ponctuelle / coup de pouce (faire avec l'usager), Accompagnement dans des démarches spécifiques (apprendre à faire);Ordinateur (fixe ou portable);informatique;Découverte des compétences numériques de base, Utilisation de services dématérialisés en ligne (Démarches administratives, démarches personnelles...);Tout public peut venir afin de prendre des cours et demander de l'aide sur des points particuliers en informatique.;J’accepte les présentes Conditions Générales d'utilisation.;;
43;Centre médico-social;Centre Médico-Social;accueil.cmsnerac@lotetgaronne.fr;05 5 97 44 00;www.lotetgaronne.fr;78;Allée d'Albret;47600;Nerac;Tout public;Individuel, Coup de pouce connexion animé par la MSA+ action ponctuelle sur l'utisation des sites de la CAF, pole emploi, Job 47;Du lundi au vendredi de 8h30 à 12h et de 13h30 à 17h;Service public: sur rendez vous.;Gratuit;Conseil et orientation vers un partenaire, Diagnostic des besoins numériques;;;;;J’accepte les présentes Conditions Générales d'utilisation.;;
44;Mairie de Bon-Encontre;Commune (Mairie, CCAS, Centre Culturel, Centre Social...);mairie@ville-bon-encontre.fr;05.53.77.07.77;www.ville-bon-encontre.fr;;Rue de la République;47240;Bon-Encontre;Tout public;Individuel;le mardi de 8h45 à 11h45;Accès libre puis sur rdv selon la fréquentation;gratuité;Accés libre au matériel informatique, Assistance ponctuelle / coup de pouce (faire avec l'usager), Accompagnement dans des démarches spécifiques (apprendre à faire);Ordinateur (fixe ou portable), Connexion WIFI;Citoyenneté - Etat-civil (Carte d'identité, acte de naissance, passeport...), Transport (Carte grise, permis de conduire, achat billet de train...), Social (Allocations familiales, RSA...), Fiscalité (Impôts...);Utilisation de services dématérialisés en ligne (Démarches administratives, démarches personnelles...);Le point d'accompagnement est tout juste créé et nous sommes en réflexion quant au développement de cette action et à la formation de l'aidant numérique;J’accepte les présentes Conditions Générales d'utilisation.;;
45;Centre médico social( permanence délocalisée);Centre Médico-Social;accuel.cmsnerac@lotetgaronne.fr;553974400;www.lotetgaronne.fr;Maison des associations;avenue de la victoire;47230;Lavardac;Tout public;Individuel;mardi matin de 9h à 12h;Sur rendez vous ;Gratuit;Conseil et orientation vers un partenaire, Diagnostic des besoins numériques;;;;;J’accepte les présentes Conditions Générales d'utilisation.;;
46;Centre médico social( permanence délocalisée);Centre Médico-Social;accueil.cmsnerac@lotetgaronne.fr;553974400;www.lotetgaronne.fr;centre social 1;place Bandetto;47310;Port Sainte Marie;Tout public;Individuel;Mardi matin de 9h à 12h;sur rendez vous;gratuit;Conseil et orientation vers un partenaire, Diagnostic des besoins numériques;;;;;J’accepte les présentes Conditions Générales d'utilisation.;;
47;Espace Numérique Saint Eutrope de Born;Espace Public Numérique;espace_numerique@outlook.com;553012723;www.sainteutropedeborn.com;Maison d'activité;Bourg de Saint Vivien;47210;Saint-Eutrope-de-Born;Tout public;Individuel, Collectif;Du Lundi au Mercredi : 8h-12h 13h-17h, Jeudi : 8h-12h, Vendredi : 8h-12h 13h-16h;Accompagnement vers l'autonomie (initiation) : sur inscription, Assistance à un service administratif : sur rendez-vous, Accès en libre service : durant les horaires d'ouverture.;Service gratuit;Accés libre au matériel informatique, Conseil et orientation vers un partenaire, Diagnostic des besoins numériques, Assistance ponctuelle / coup de pouce (faire avec l'usager), Accompagnement dans des démarches spécifiques (apprendre à faire), Formation visant l'autonomie numérique (apprendre à faire + certification);Ordinateur (fixe ou portable), Scanner, Accés à internet, Connexion WIFI;Citoyenneté - Etat-civil (Carte d'identité, acte de naissance, passeport...), Transport (Carte grise, permis de conduire, achat billet de train...), Santé (Carte Vitale, handicap...), Social (Allocations familiales, RSA...), Logement (Allocation logement, permis de construire, fin de bail...), Emploi (Recherche d'emploi, création d'entreprise...), Retraite (Allocations retraite...), Fiscalité (Impôts...), Loisir (Culture, sport, vie associative...), Lettre de motivation, Curriculum Vitae;Découverte des compétences numériques de base, Utilisation de services dématérialisés en ligne (Démarches administratives, démarches personnelles...), Insertion professionnelle (CV, emploi store, recherche d'emploi...);;J’accepte les présentes Conditions Générales d'utilisation.;Cette structure a été mise en place par la mairie de Saint-Eutrope-de-Born en collaboration avec la Communauté des communes Bastides en Haut Agenais Périgord afin de pouvoir apporter une aide informatique auprès des administrés en difficultés ainsi que ceux ne possédant pas de poste informatique.;Notre structure possède des postes informatiques en libre service, une assistance ponctuelle à un service adminitratif, ainsi que de l'accompagnement numérique vers l'autonomie.
48;Bibliothèque municipale de Casteljaloux;Bibliothèque / Médiathèque;biblio@mairie-casteljaloux.fr;05-53-20-11-30;;;Place Gambetta;47700;Casteljaloux;Tout public;Individuel;mardi 9h-12h et 16h30-18h / mercredi 9h-12h et 13h30-18h / Samedi 9h-12h et 14h-17h;Prise de RDV pour une aide soutenue;"1€ la demi-heure ; 2€ l'heure ";Accés libre au matériel informatique, Conseil et orientation vers un partenaire, Assistance ponctuelle / coup de pouce (faire avec l'usager);Ordinateur (fixe ou portable), Imprimante, Accés à internet;Emploi (Recherche d'emploi, création d'entreprise...), Loisir (Culture, sport, vie associative...), Conseils recherche sur le web;;;J’accepte les présentes Conditions Générales d'utilisation.;Plus de 17000 livres, 21 abonnements à des revues , 400 documents sonores et une offre de ressources numériques sont à disposition de tous les publics.;Deux postes informatiques sont à disposition des publics. Ils peuvent faire des recherches sur le web , rédiger des documents avec des logiciels de bureautique, imprimer des documents.
49;Mission locale Moyenne Garonne;Association;missionlocalemoyenengaronne@mlmg.fr;553644788;en restauration;3;rue de l'Observance;47200;Marmande;Moins de 26 ans, Personnes en recherche d'emploi, Personnes en situation de handicap, Personnes de nationalité étrangère;Individuel, Collectif;9h-12h et 14h-17h du lundi au vendredi inclus;aucune;aucun;Conseil et orientation vers un partenaire, Diagnostic des besoins numériques, Assistance ponctuelle / coup de pouce (faire avec l'usager), Accompagnement dans des démarches spécifiques (apprendre à faire);Ordinateur (fixe ou portable), Tablette, Accés à internet, Connexion WIFI;Citoyenneté - Etat-civil (Carte d'identité, acte de naissance, passeport...), Santé (Carte Vitale, handicap...), Social (Allocations familiales, RSA...), Logement (Allocation logement, permis de construire, fin de bail...), Emploi (Recherche d'emploi, création d'entreprise...), Fiscalité (Impôts...);Découverte des compétences numériques de base, Utilisation de services dématérialisés en ligne (Démarches administratives, démarches personnelles...), Insertion professionnelle (CV, emploi store, recherche d'emploi...);;J’accepte les présentes Conditions Générales d'utilisation.;La Mission Locale Moyenne Garonne accompagne les 16-25 ans des 113 communes de son périmètre et dispose d'espace d'informations de proximité tout public sur ses 4 sites d’intervention ;L’inclusion numérique désigne la capacité à fonctionner comme un citoyen actif et autonome sait rechercher des informations tangibles pour trouver une solution à un problème
50;Mission Locale de l'Agenais de l'Albret et du Confluent;Opérateur de service essentiel (CAF, MSA, CPAM, Pôle Emploi, Mission Locale, SNCF, SAUR,...);siege@mission-locale-agen.org;553472332;https://missionlocaleagen.org/;70;Boulevard Sylvain Dumon;47000;AGEN;Tout public;Individuel;"Lundi : 8h30-12h30
Mardi au vendredi : 8h30-12h30 et 13h30-16h30";Prise de rendez-vous en passant par mail, par téléphone ou en venant à la Mission Locale;Chèque(s) Pass Numérique;Conseil et orientation vers un partenaire, Diagnostic des besoins numériques, Assistance ponctuelle / coup de pouce (faire avec l'usager), Accompagnement dans des démarches spécifiques (apprendre à faire);;Citoyenneté - Etat-civil (Carte d'identité, acte de naissance, passeport...), Transport (Carte grise, permis de conduire, achat billet de train...), Santé (Carte Vitale, handicap...), Social (Allocations familiales, RSA...), Logement (Allocation logement, permis de construire, fin de bail...), Emploi (Recherche d'emploi, création d'entreprise...), Fiscalité (Impôts...), Etranger (Titres de séjour, attestation d'accueil, demande d'asile...), Aide au Permis de Conduire de la Région Nouvelle-Aquitaine;Culture et identité numérique, Utilisation de services dématérialisés en ligne (Démarches administratives, démarches personnelles...), Insertion professionnelle (CV, emploi store, recherche d'emploi...), Utilisation de réseaux sociaux;;J’accepte les présentes Conditions Générales d'utilisation.;En relation avec les acteurs locaux, la Mission Locale accueille, informe, conseille et accompagne globalement les jeunes dans la mise en œuvre de leur projet d’insertion sociale et professionnelle.;Depuis 2017, dès l'inscription, la ML favorise l’autonomie numérique des jeunes en proposant un accompagnement dans les démarches numériques tant administratives que d'accès aux droits ou du quotidien
51;Pas à Pas;Association;asso.pasapas@laposte.net;553411936;https://mncp-pasapas.fr/;6;Rue Darfeuille;47300;Villeneuve sur Lot;Tout public;Individuel, Collectif;Lundi - mardi - jeudi - vendredi : 9h30 -12h30 / 14h 16h30;Accès libre ou sur rendez-vous;Gratuité;Accès libre au matériel informatique, Conseil et orientation vers un partenaire, Assistance ponctuelle / coup de pouce (faire avec l'usager), Accompagnement dans des démarches spécifiques (apprendre à faire);Ordinateur (fixe ou portable), Imprimante, Scanner, Accés à internet;Citoyenneté - Etat-civil (Carte d'identité, acte de naissance, passeport...), Transport (Carte grise, permis de conduire, achat billet de train...), Santé (Carte Vitale, handicap...), Social (Allocations familiales, RSA...), Logement (Allocation logement, permis de construire, fin de bail...), Emploi (Recherche d'emploi, création d'entreprise...), Retraite (Allocations retraite...), Fiscalité (Impôts...), Etranger (Titres de séjour, attestation d'accueil, demande d'asile...);Découverte des compétences numériques de base, Utilisation de services dématérialisés en ligne (Démarches administratives, démarches personnelles...), Insertion professionnelle (CV, emploi store, recherche d'emploi...);1 atelier est co-animé avec Pôle Emploi (découvrir et gérer son espace Pôle Emploi), une permanence hebdomadaire le Jeudi après midi pour accompagner / former les personnes au cas par cas. En cas de besoin, les personnes sont accompagnées dans la salle informatique en accès libre.;J’accepte les présentes Conditions Générales d'utilisation.;"Pas à Pas est un lieux d’accueil inconditionnel. C’est aussi un lieu de vie, d’échanges, de partage, d’entraide, un lieu solidaire. L'association s'organise autour de 3 pôles : Ecrivain Public, Ateliers socio-culturel, Accès au numérique (ateliers et salle informatique en accès libre)
";L'association a mis en place une salle informatique (de 5 ordinateurs,  imprimante et  accès à Internet.) L'association anime des ateliers pour réaliser ses démarches en ligne.
52;CO CLIC CO (Tiers lieux- sérignac sur Garonne);Association;coworking.serignac@gmail.com;972564275;www.coworking47-co-clic-co.com;2356;avenue des Landes;47310;SERIGNAC SUR GARONNE;Tout public, partenariat avec la Poste (mise à disposition d'une cuisine pour les repas des facteurs) et de salles de réunion;Individuel, Collectif;"Lundi, mardi et jeudi : 9h-12h30 / 13h-17h30
Vendredi : 8h30 - 12h30";par adhésion à l'association, gratuit pour les sérignacais pour certaines interventions concernant la convention.;idem  que l'accès et à la demande suivant la prestation - 15€ l'adhésion;Accès libre au matériel informatique, Conseil et orientation vers un partenaire, Assistance ponctuelle / coup de pouce (faire avec l'usager), Accompagnement dans des démarches spécifiques (apprendre à faire), Formation visant l'autonomie numérique (apprendre à faire + certification);Ordinateur (fixe ou portable), Accés à internet, Connexion WIFI, début 2020 raccordement à la fibre (wifi HD);Citoyenneté - Etat-civil (Carte d'identité, acte de naissance, passeport...), Transport (Carte grise, permis de conduire, achat billet de train...), Santé (Carte Vitale, handicap...), Fiscalité (Impôts...), Loisir (Culture, sport, vie associative...);Découverte des compétences numériques de base, Utilisation de services dématérialisés en ligne (Démarches administratives, démarches personnelles...), Utilisation de réseaux sociaux, à la demande avec les coworkers adhérents;Notre espace fonctionne au sein de la maison du square en collaboration avec une radio sur le web (Cool Direct), la poste communale, et les partenariats avec l'UNA47 (formation des aînés au numérique).;J’accepte les présentes Conditions Générales d'utilisation.;Espace coworking, tiers-lieux, maison de services au public. Mise à disposition d'une permanence (Isabelle) et matériels numériques.;Convention commune de Sérignac et Co clic co : lutte contre la fracture numérique, mise à disposition d'accompagnement personnel dans un lieu dédié fibré(maison du square).
53;MAIRIE BLANQUEFORT SUR BRIOLANCE;Commune (Mairie, CCAS, Centre Culturel, Centre Social...);mairieblanquefortsurbriolance@collectivite47.fr;553406583;www.blanquefortsurbriolance.fr;;1;47500;blanquefort sur briolance;Tout public;Individuel;tous les matins de 8h à 12h - samedi matin sur rendez-vous;aucune sauf le samedi;0;Accès libre au matériel informatique, Conseil et orientation vers un partenaire, Assistance ponctuelle / coup de pouce (faire avec l'usager), Accompagnement dans des démarches spécifiques (apprendre à faire);Ordinateur (fixe ou portable), Imprimante, Scanner, Accés à internet, Connexion WIFI;Citoyenneté - Etat-civil (Carte d'identité, acte de naissance, passeport...), Transport (Carte grise, permis de conduire, achat billet de train...), Santé (Carte Vitale, handicap...), Social (Allocations familiales, RSA...), Logement (Allocation logement, permis de construire, fin de bail...), Emploi (Recherche d'emploi, création d'entreprise...), Retraite (Allocations retraite...), Fiscalité (Impôts...), Etranger (Titres de séjour, attestation d'accueil, demande d'asile...);;;J’accepte les présentes Conditions Générales d'utilisation.;Mairie ;Nous proposons un point public, connexion internet gratuit avec accompagnement pour les démarches administratives
54;MAIRIE MONFLANQUIN;Commune (Mairie, CCAS, Centre Culturel, Centre Social...);ccas@monflanquin.fr;553364005;monflanquin.fr;;Place des arcades;47150;MONFLANQUIN;Tout public;Individuel;LUNDI AU VENDREDI 9h00-12h00 13h30-17h30 SAMEDI 9h00-12h00;Aucune;Gratuit;Accès libre au matériel informatique, Conseil et orientation vers un partenaire, Assistance ponctuelle / coup de pouce (faire avec l'usager);Ordinateur (fixe ou portable), Imprimante, Accés à internet;Citoyenneté - Etat-civil (Carte d'identité, acte de naissance, passeport...), Transport (Carte grise, permis de conduire, achat billet de train...), Santé (Carte Vitale, handicap...), Social (Allocations familiales, RSA...), Logement (Allocation logement, permis de construire, fin de bail...), Emploi (Recherche d'emploi, création d'entreprise...), Retraite (Allocations retraite...);Utilisation de services dématérialisés en ligne (Démarches administratives, démarches personnelles...), Insertion professionnelle (CV, emploi store, recherche d'emploi...);;J’accepte les présentes Conditions Générales d'utilisation.;La mairie de Monflanquin dispose d'un CCAS. Par ce biais là a été installé un poste informatique en libre accès à l'accueil de la mairie. Par ailleurs, il est agrée point relais CAF. ;Le poste informatique est en libre accès et les personnes venant à ce dernier peuvent être aidées par l'agent d'accueil de la mairie ou l'agent du CCAS. 
55;CMS DE MARMANDE;Centre Médico-Social;accueil.cmsmarmande@lotetgaronne.fr;553646545;www.lotetgaronne.fr;4;Square de Verdun;47200;MARMANDE;Tout public;Individuel, Actions Ponctuelles;Lundi au vendredi 8h30 à 12h et de 13h30 à 17H;Sur rendez-vous;Gratuit ;Conseil et orientation vers un partenaire;;;;;J’accepte les présentes Conditions Générales d'utilisation.;;
56;CMS de MARMANDE/ Permanence SAINT-PARDOUX-ISAAC;Centre Médico-Social;accueil.cmsmarmande@lotetgaronne.fr;553646545;www.lotetgaronne.fr;4;Square de Verdun;47200;MARMANDE;Tout public;Individuel, Actions ponctuelles;Lundi au vendredi 8h30 à 12h et 13h30 à17h.;Sur rendez-vous;Gratuit;Conseil et orientation vers un partenaire;;;;;J’accepte les présentes Conditions Générales d'utilisation.;;
57;REGIE DE QUARTIER D'AGEN;Association;secretariat@laregie-agen.fr;553965513;;1;impasse du Général Bazelaire;47000;AGEN;Tout public;Individuel, Collectif, ATELIERS;MERCREDI de 14H00 à 16h00 et VENDREDI de 13H30 à 15h30;PRISE DE RENDEZ VOUS ;gratuit;Accès libre au matériel informatique, Accompagnement dans des démarches spécifiques (apprendre à faire), Formation visant l'autonomie numérique (apprendre à faire + certification), Atelier de formation dédiées par d'autres associations;Ordinateur (fixe ou portable), Imprimante, Accés à internet;Citoyenneté - Etat-civil (Carte d'identité, acte de naissance, passeport...), Transport (Carte grise, permis de conduire, achat billet de train...), Santé (Carte Vitale, handicap...), Social (Allocations familiales, RSA...), Logement (Allocation logement, permis de construire, fin de bail...), Emploi (Recherche d'emploi, création d'entreprise...), Retraite (Allocations retraite...), Justice (Dépôt de plainte, casier judiciaire...), Fiscalité (Impôts...), Etranger (Titres de séjour, attestation d'accueil, demande d'asile...), Loisir (Culture, sport, vie associative...);Découverte des compétences numériques de base, Culture et identité numérique, Utilisation de services dématérialisés en ligne (Démarches administratives, démarches personnelles...);"-	Création d’une identité numérique (IDM)
-	L’apprentissage et la maitrise des T.I.C (Création boite mail, surf sur internet etc.)
-	Permettre la formation des habitants à la langue française par la mise en place d’ateliers sociolinguistiques intégrant l’outil numérique (apprentissage en présentiel à la Régie
-	Développer un accompagnement individualisé des habitants à l’usage des procédures administratives (CPAM, CAF, IMPOTS, POLE EMPLOI etc.)
-	Favoriser la mixité sociale entre les différents habitants du quartier (qu’ils soient locataires ou copropriétaires) et développer un réseau d’échanges de savoir entre habitants
";J’accepte les présentes Conditions Générales d'utilisation.;"La Régie de Quartier d’Agen est une association loi 1901 créée en novembre 1998. Gérée par un Conseil d’Administration présidé par Pierre CHOLLET. La Régie de Quartier d'Agen, c’est une équipe organisée autour de 3 pôles, Lien social, Ressources Humaines et financières et Service Technique qui encadrent actuellement près de 76 salariés en parcours. 

La Régie de Quartier d'Agen est membre du Comité National de Liaison des Régies de Quartier (CNLRQ) qui regroupe les 140 Régies de Quartier et de territoire en France et dans les DOM TOM. 

Aux côtés des autres acteurs impliqués dans la gestion du territoire (les collectivités locales, les bailleurs sociaux, et les habitants des quartiers), la Régie de Quartier d’Agen agit à plusieurs niveaux. Elle est au cœur des enjeux du développement local en ciblant plus particulièrement les habitants des QPV. Elle articule dans une double démarche l'économique et le social, l'emploi et l'amélioration du cadre de vie, l'insertion et la participation des habitants en :

•	Impliquant les habitants des Quartiers Politique de la Ville pour l’amélioration de leur environnement en favorisant l’insertion professionnelle des populations des quartiers, en leur procurant du travail.
•	Développant des activités d’insertion par l’économique et services de proximité, répondant aux besoins des habitants, en impliquant leur responsabilité et participation directe.
•	Répondant à une vocation économique et sociale en menant ses activités avec un souci d’insertion sociale et professionnelle de ses salariés choisis parmi les personnes les plus en marge de l’insertion, en partenariat avec les organismes compétents (Conseil Régional, Conseil Départemental, la Direccte, le Pôle Emploi, le Plie de l’Agenais, Cap Emploi, …). 
•	Favorisant la création d’un lien social entre les habitants des quartiers, support d’une citoyenneté. 
•	Assurant un accompagnement professionnel à tous les salariés embauchés en contrat d’insertion et dès leur embauche.


La Régie de Quartier d'Agen bénéficie d'un double conventionnement (Entreprise d'Insertion/EI et Atelier Chantier d'Insertion/ACI).

•	E.I (Entreprise d’Insertion) : Ce contrat vise l’insertion sociale et professionnelle des salariés. Elle est intéressante pour les personnes proches de l’emploi avec une certaine qualification mais possédant peu d’expérience professionnelle. L’autonomie doit être en cours d’acquisition et l’illettrisme ou l’analphabétisation sont des problèmes fréquents.

•	ACI (Ateliers et Chantiers d’Insertion) : Cet atelier vise à développer les compétences des personnes ne possédant pas de diplôme pour une revalorisation de soi. Il est nécessaire pour les personnes éloignées de l’emploi, ne possédant pas ou peu d’expérience professionnelle et de qualification. L’autonomie est très peu développée et un problème d’illettrisme ou d’analphabétisation est fréquent.

La Régie de Quartier d’Agen a pour principal objectif l’insertion par l’économique. Sa mission consiste à créer des supports d’activité et donc à recruter des personnes afin de favoriser leur retour à l’emploi. Les personnes embauchées sont principalement les habitants de l’agglomération agenaise. L’association veut ainsi introduire la participation citoyenne des habitants pour l’amélioration du cadre de vie de leur quartier et créer et développer un ancrage économique pour garantir un parcours cohérent et une insertion professionnelle durable.

Le but de l’accompagnement est de permettre aux salariés d’entrer dans une dynamique active de recherche d’emploi tout en restant « maître » et acteur de sa propre insertion professionnelle. Le passage à la Régie de Quartier d’Agen n’est qu’un « tremplin » ! Chaque salarié prépare ainsi sa sortie de l’association soit vers un emploi durable en adéquation avec ses compétences, soit vers une formation qualifiante pour l’amener à développer des savoir-faire nécessaires à l’obtention d’un emploi pérenne. 

Les mots clefs de notre accompagnement social et professionnel : 

•	Lever les freins à l’emploi,
•	Repérer les capacités professionnelles, les développer et les adapter au marché de l’emploi actuel,
•	Créer une dynamique citoyenne et participative.

";Permettre aux habitants d’avoir accès à un outil numérique avec l’appui de référents formés qui, sur rendez-vous en groupe ou individuel sensibilisent à l’utilisation du numérique
