CODE_LIEU,CODE_TYPE,REF,NOM,SIGLE,STRUCT_ACC,GEPN,CRANT,STATUT,N_VOIE,N_VOIE_COM,TYPE_VOIE,NOM_VOIE,COMPLEMENT,LIEU_DIT,DPT,REGION_1,PAYS,CP_NV,COMMUNE_NV,INSEE_NV,TEL,COURRIEL,WEB,VISIBLE
EPN 50062-89,EPN,50062-89,EPN - Maison de Pays de Lessay,,Maison de Pays de Lessay,[50062] Maison de pays de Lessay,CRANT de la Manche,labellisé,11,,place,Saint-Cloud,BP 45,,Manche,Normandie,France,50430,Lessay,"50267",02 33 46 84 69,direction.mdp@canton-lessay.com,,O
EPN 50077-142,EPN,50077-142,EPN - Mortain-Bocage,,Forum du Mortainais,[50077] Communauté agglo Mont Saint-Michel  Normandie,CRANT de la Manche,labellisé,24,,rue,du Rocher,Le Forum,,Manche,Normandie,France,50140,Mortain-Bocage,"50359",02 33 19 08 98,epn.mortain@msm-normandie.fr,http://www.msm-normandie.fr/fr/culture/espaces-publics-numerique/494-espace-public-numerique-de-mortain,O
EPN 50065-91,EPN,50065-91,EPN - Moyon,,Association Familles Rurales Moyon-Tessy,[50065] Association Familles Rurales Moyon-Tessy,CRANT de la Manche,antenne,102,,rue,de la Mairie,,,Manche,Normandie,France,50860,Moyon Villages,"50363",02 33 57 16 81,epnmoyon@gmail.com,http://famillesruralesmoyon.jimdo.com/espace_public_numyrique.php,O
EPN 50022-212,EPN,50022-212,EPN - Périers,EPN Périers,,[50022] Communauté de Communes Côte Ouest Centre Manche,CRANT de la Manche,labellisé,3,,rue,de Saint-Lô,,,Manche,Normandie,France,50190,Périers,"50394",02 33 47 82 57,epn@cocm.fr,http://www.cocm.fr/,O
EPN 50052-88,EPN,50052-88,EPN - Centre multimédia,,,[50052] Mairie de Les Pieux,CRANT de la Manche,labellisé,19,,rue,des Écoles,,,Manche,Normandie,France,50340,Les Pieux,"50402",02 33 41 28 84,centremultimedia@lespieux.fr,http://centremultimedia.lespieux.fr,O
EPN 50021-93,EPN,50021-93,EPN - Portbail,(antenne de Portbail),,[50021] Commauté de communes Côte des Isles,CRANT de la Manche,labellisé,26,,rue,Robert Asselin,Ancienne gare,Portbail,Manche,Normandie,France,50580,Port-Bail-sur-Mer,"50412",02 33 08 04 49,xavier.evenard@lecotentin.fr,,O
EPN 50031-4,EPN,50031-4,EPN - Louis Beuve,,,[50031] Centre d'Animation Les Unelles,CRANT de la Manche,labellisé,0,,place,Louis Beuve,,,Manche,Normandie,France,50660,Quettreville-sur-Sienne,"50419",02 33 45 97 53,centremultimediabeuve@gmail.com,http://ateliercreatif.jimdo.com,O
EPN 50025-94,EPN,50025-94,EPN - Saint Georges Montcoq,,Mairie,[50025] Saint-Lô Agglo,CRANT de la Manche,labellisé,47,,avenue,du Cotentin,,,Manche,Normandie,France,50000,Saint-Georges-Montcocq,"50475",02 33 57 00 27,espacemultimedia@saint-lo-agglo.fr,http://www.saint-lo-agglo.fr/espace-public-numerique,O
EPN 50081-146,EPN,50081-146,EPN - Médiathèque Marin-Marie,,Médiathèque Marin-Marie,[50081] ComCom de Saint-Hilaire-du-Harcouët,CRANT de la Manche,labellisé,69,,boulevard,Gambetta,Médiathèque Marin-Marie,,Manche,Normandie,France,50600,Saint-Hilaire-du-Harcouët,"50484",02 33 50 75 20,david.sevestre@mediatheque-marin-marie.fr,https://www.mediatheque-marin-marie.fr/espace-public-num%C3%A9rique-epn,O
EPN 14018-99,EPN,14018-99,EPN - La Dollée,,Centre Nelson Mandela,[14018] Centre Social Marcel Mersier,CRANT de la Manche,antenne,99,,rue,John Kennedy,,,Manche,Normandie,France,50008,Saint-Lô,"50502",02 50 80 90 00,contact@centremandela.fr,https://maisondequartierdeladollee.jimdo.com/espace-multim%C3%A9dia-epn/,
EPN 14018-100,EPN,14018-100,EPN - Marcel Mersier,,Centre Social Marcel Mersier,[14018] Centre Social Marcel Mersier,CRANT de la Manche,labellisé,45,,avenue,des Tilleuls,,,Manche,Normandie,France,50000,Saint-Lô,"50502",02 33 57 33 35,centre.mersier@netcourrier.com,http://centresocialmersier.fr/,O
EPN 50025-98,EPN,50025-98,EPN - Kiosk,,Kiosk,[50025] Saint-Lô Agglo,CRANT de la Manche,labellisé,0,,place,du Champ de Mars,Centre culturel Jean Lurçat,,Manche,Normandie,France,50000,Saint-Lô,"50502",02 33 72 52 57,espacemultimedia@saint-lo-agglo.fr,http://www.saint-lo-agglo.fr/espace-public-numerique,O
EPN 50025-211,EPN,50025-211,EPN - mobile,,,[50025] Saint-Lô Agglo,CRANT de la Manche,labellisé,101,,rue,Alexis de Tocqueville,,,Manche,Normandie,France,50008,Saint-Lô,"50502",02 14 29 00 54,espacemultimedia@saint-lo-agglo.fr,http://www.saint-lo-agglo.fr/espace-public-numerique,O
EPN 50032-202,EPN,50032-202,EPN Mobile de Sartilly,EPN mobile,Musique Expérience,[50032] Musique Expérience,CRANT de la Manche,labellisé,9,,,La Giberdière,salle culturelle,,Manche,Normandie,France,50530,Sartilly-Baie-Bocage,"50565",02 33 48 19 44,contact@musique-experience.net,http://www.musique-experience.net,O
EPN 50077-104,EPN,50077-104,EPN - Sourdeval,,Centre d'Animation et de Services,[50077] Communauté agglo Mont Saint-Michel  Normandie,CRANT de la Manche,labellisé,13,C,route,de Tinchebray,,,Manche,Normandie,France,50150,Sourdeval,"50582",02 33 79 30 60,epn.sourdeval@msm-normandie.fr,http://www.msm-normandie.fr/fr/culture/espaces-publics-numerique/495-espace-public-numerique-de-sourdeval,O
EPN 50077-87,EPN,50077-87,EPN - Le Teilleul,,,[50077] Communauté agglo Mont Saint-Michel  Normandie,CRANT de la Manche,labellisé,32,,rue,Beauregard,,,Manche,Normandie,France,50640,Le Teilleul,"50591",02 33 91 82 49,arnaud.geffroy@msm-normandie.fr,https://www.sites.google.com/site/epncdcdelaselune/,O
EPN 50061-154,EPN,50061-154,EPN - Espace Emploi Formation MEF du Cotentin,,Maison des Services Publics de CC Coeur Cotentin,[50061] MEF de Cherbourg-Octeville,CRANT de la Manche,labellisé,22,,rue,de Poterie,,,Manche,Normandie,France,50700,Valognes,"50615",02 33 40 08 60,eefvalognes@mef-cotentin.com,http://www.mef-cotentin.com/,O
EPN 61014-107,EPN,61014-107,EPN Mobile de l'Orne,,BIJ de l'Orne,[61014] BIJ de l'Orne,CRANT du BIJ de l'Orne,labellisé,4,,place,Poulet Malassis,Association Bureau Information Jeunesse de l'Orne,,Orne,Normandie,France,61000,Alençon,"61001",02 33 80 48 90,ludovic.dupont@bij-orne.com,http://bij61numerique.blogspot.fr/,O
EPN 61014-108,EPN,61014-108,EPN d'Alençon,,BIJ de l'Orne,[61014] BIJ de l'Orne,CRANT du BIJ de l'Orne,labellisé,4,,place,Poulet Malassis,Association Bureau Information Jeunesse de l'Orne,,Orne,Normandie,France,61000,Alençon,"61001",02 33 80 48 90,francois.potier@bij-orne.com,http://bij61numerique.blogspot.fr/,O
EPN 61113-220,EPN,61113-220,Centre social Croix Mercier,,,[61113] CENTRE SOCIAL CROIX MERCIER,CRANT du BIJ de l'Orne,labellisé,17,,rue,Augustin Fresnel,,,Orne,Normandie,France,61000,Alençon,"61001",02 33 31 83 39,cscm.secretariat@gmail.com,http://www.centresocialcroixmercier.com,O
EPN 61114-221,EPN,61114-221,Centre social Edith Bonnem,,,[61114] Centre Social Edith Bonnem,CRANT du BIJ de l'Orne,labellisé,0,,place,Edith Bonnem,,,Orne,Normandie,France,61000,Alençon,"61001",02 33 26 58 51,centre.edith.bonnem@orange.fr,http://www.centre-social-edith-bonnem.org,O
EPN 61115-222,EPN,61115-222,Médiathèque d'Alençon,,,[61115] Réseau des médiathèques de la CUA,CRANT du BIJ de l'Orne,labellisé,0,,place,Foch,CS 50362,,Orne,Normandie,France,61000,Alençon,"61001",02 33 82 46 00,aurelien.lebrun@ville-alencon.fr,http://mediatheques.communaute-urbaine-alencon.fr/,O
EPN 61115-223,EPN,61115-223,Médiathèque de Perseigne,,,[61115] Réseau des médiathèques de la CUA,CRANT du BIJ de l'Orne,antenne,34,,place,de la Paix,,,Orne,Normandie,France,61000,Alençon,"61001",02 33 26 69 82,sabine.michel@ville-alencon.fr,http://mediatheques.communaute-urbaine-alencon.fr/,O
EPN 61115-224,EPN,61115-224,Médiathèque de Courteille,,,[61115] Réseau des médiathèques de la CUA,CRANT du BIJ de l'Orne,antenne,57,,rue,Pierre et Marie Curie,,,Orne,Normandie,France,61000,Alençon,"61001",02 33 29 56 55,sabine.michel@ville-alencon.fr,,O
EPN 61036-170,EPN,61036-170,EPN Mobile - CRANT Argentan,,Médiathèque Argentan,[61036] Argentan Intercom,CRANT d'Argentan,antenne,1,,rue,des Rédemptoristes,,,Orne,Normandie,France,61200,Argentan,"61006",,multimedia.mediatheque@argentan-intercom.fr,http://www.mediatheques-argentan-intercom.fr,
EPN 61036-110,EPN,61036-110,EPN Argentan - Médiathèque F. Mitterrand,,Médiathèque François Mitterrand,[61036] Argentan Intercom,CRANT d'Argentan,labellisé,1,,rue,des Rédemptoristes,,,Orne,Normandie,France,61200,Argentan,"61006",02 33 67 02 50,multimedia.mediatheque@argentan-intercom.fr,http://www.mediatheques-argentan-intercom.fr,O
EPN 61035-226,EPN,61035-226,EPN du Pays Bellemois,EPNPB,Télécentre,[61035] ComCom des collines du Perche Normand,CRANT du BIJ de l'Orne,labellisé,0,,rue,du Collège,Pépinière d'entreprises - Télécentre,,Orne,Normandie,France,61130,Bellême,"61038",02 33 12 34 56,epnznmperche@gmail.com,https://www.cdcpaysbellemois.fr/vie-quotidienne/espace-public-numerique/,O
EPN 61003-3,EPN,61003-3,EPN - Médiathèque de Bretoncelles,,Centre culturel de Bretoncelles - Espace Abbé Fret,[61003] Mairie de Bretoncelles,CRANT du BIJ de l'Orne,labellisé,22,,place,général de Gaulle,,,Orne,Normandie,France,61110,Bretoncelles,"61061",02 37 37 25 27,epn@bretoncelles.fr,http://www.bretoncelles.fr,O
EPN 61037-172,EPN,61037-172,EPN - Courtomer,,Office de tourisme,[61037] ComCom Vallée de la Haute Sarthe,CRANT du BIJ de l'Orne,labellisé,17,,place,Albert Roger,,,Orne,Normandie,France,61390,Courtomer,"61133",02 33 31 87 70,cyber@cdcvalleedelahautesarthe.fr,http://www.cdcvalleedelahautesarthe.fr,O
EPN 61116-225,EPN,61116-225,Syntax Informatique,SYNTAX,,[61116] Syntax Informatique,CRANT du BIJ de l'Orne,labellisé,5,,rue,de Godras,,,Orne,Normandie,France,61700,Domfront en Poiraie,"61145",02 33 38 39 28,syntax.info@gmail.com,https://syntaxinfo.wordpress.com/,O
EPN 61036-196,EPN,61036-196,EPN Ecouché,,Médiathèque intercommunale des Courbes de l'Orne,[61036] Argentan Intercom,CRANT d'Argentan,antenne,0,,,,,,Orne,Normandie,France,61150,Écouché-les-Vallées,"61153",02 33 35 53 77,animations-mediatheque@argentan-intercom.fr,https://www.mediatheque-courbes-de-lorne.fr/,
EPN 61019-116,EPN,61019-116,EPN - Médiathèque de Flers,,Médiathèque de Flers,[61019] Communauté Agglomération Flers-Agglo,CRANT d'Argentan,labellisé,9,,rue,du Collège,,,Orne,Normandie,France,61100,Flers,"61169",02 33 98 42 23,ftabouret@flers-agglo.fr,http://www.flers-agglo.fr,O
EPN 61111-118,EPN,61111-118,EPN - Oxy-Jeunes,,,[61111] Oxy-Jeunes,CRANT d'Argentan,labellisé,2,,rue,Pierre Lemière,"163",,Orne,Normandie,France,61100,Flers,"61169",02 33 65 48 61,oxy.jeunes@wanadoo.fr,http://www.oxy-jeunes.net,O
EPN 61076-140,EPN,61076-140,EPN - MJC de L'Aigle / Université inter-âge,MJC / UIA,MJC Le Rond-Point de L'Aigle,[61076] MJC Le Rond-Point de L'Aigle,CRANT de L'Aigle,labellisé,12,,rue,des Tanneurs,,,Orne,Normandie,France,61300,L'Aigle,"61214",02 33 24 37 30,hugo.dupont.mjc@gmail.com,http://mjclaigle.com,O
EPN 61004-5,EPN,61004-5,EPN - Mortagne au Perche,,EPN - Télécentre,[61004] ComCom du Pays de Mortagne-au-Perche,CRANT du BIJ de l'Orne,labellisé,23,,rue,Ferdinand de Boyères,,,Orne,Normandie,France,61400,Mortagne-au-Perche,"61293",02 33 85 35 78,epnmortagne@gmail.com,http://epnmortagne.jimdo.com,O
EPN 61036-195,EPN,61036-195,EPN Ranes,,Médiathèque intercommunale,[61036] Argentan Intercom,CRANT d'Argentan,antenne,0,,,Le Château,,,Orne,Normandie,France,61150,Rânes,"61344",02 33 35 66 18,,,
EPN 61112-219,EPN,61112-219,Centre social ALCD,ALCD,,[61112] Centre social ALCD,CRANT du BIJ de l'Orne,labellisé,51,,rue,Principale,Le Moulin du Pont,,Orne,Normandie,France,61420,Saint-Denis-sur-Sarthon,"61382",02 33 27 40 02,laetitiaguilloux.alcd@hotmail.fr,,O
EPN 61110-122,EPN,61110-122,EPN du club de l'Albatros,,Club de l'Albatros,[61110] Club de l'Albatros,CRANT d'Argentan,labellisé,30,,avenue,Charles de Gaulle,,,Orne,Normandie,France,61100,Saint-Georges-des-Groseillers,"61391",02 33 64 24 36,epn.albatros61@gmail.com,https://www.clubalbatros.fr/blog/espace-public-numerique/,O
EPN 61036-169,EPN,61036-169,EPN TRUN - Médiathèque S. Hessel,,Médiathèque Stéphane Hessel,[61036] Argentan Intercom,CRANT d'Argentan,antenne,19,,rue,Vital Lenormand,,,Orne,Normandie,France,61160,Trun,"61494",02 33 12 71 60,mediatheque.trun@orange.fr,,
EPN 76090-178,EPN,76090-178,EPN Rives-en-Seine,,Maison de services au public,[76090] ComCom Caux vallée de Seine,CRANT de Lillebonne,labellisé,5,,rue,de la Sainte Gertrude,,Caudebec-en-Caux,Seine-Maritime,Normandie,France,76490,Rives-en-Seine,"76164",02 32 70 43 80,epn@cauxseine.fr,http://www.mdc-cauxseine.fr/initiation-a-linformatique/,O
EPN 76107-213,EPN,76107-213,La Boite à tic's,,,[76107] Maison Jacques Prévert,CRANT de Lillebonne,labellisé,0,,rue,Montigny,,,Seine-Maritime,Normandie,France,76200,Dieppe,"76217",02 35 82 71 20,boiteatics@maisonjacquesprevert-centresocial.fr,,O
EPN 76090-174,EPN,76090-174,EPN - Maison des Compétences,,Maison des Compétences,[76090] ComCom Caux vallée de Seine,CRANT de Lillebonne,labellisé,0,,parc,d’activité du Manoir,,,Seine-Maritime,Normandie,France,76170,Lillebonne,"76384",02 32 65 11 11,epn@cauxseine.fr,http://www.mdc-cauxseine.fr/initiation-a-linformatique/,O
EPN 76097-192,EPN,76097-192,Cyber espace séniors - ADEP,,ADEP,[76097] Agence pour le dvp des emplois de proximité,CRANT de Lillebonne,labellisé,65,,rue,Orbe,,,Seine-Maritime,Normandie,France,76000,Rouen,"76540",02 35 07 19 70,direction@adep.eu,http://adep.eu,O
EPN 76108-214,EPN,76108-214,Espace Public du Littoral,EPL,,[76108] Communauté de Communes de la Côte d'Albâtre,CRANT de Lillebonne,labellisé,0,,place,de la Gare,,,Seine-Maritime,Normandie,France,76460,Saint-Valery-en-Caux,"76655",02 35 57 92 00,espace.public@cote-albatre.com,http://cote-albatre.fr,O
EPN 76100-201,EPN,76100-201,EPN - Yvetot,MDQ,Maison de Quartier,[76100] Mairie d'Yvetot,CRANT de Lillebonne,labellisé,0,,rue,Pierre Varin,,,Seine-Maritime,Normandie,France,76190,Yvetot,"76758",02 35 16 15 78,maisondequartier@yvetot.fr,https://www.facebook.com/mdqyvetot/,O
